,request_id,orig_id,rq_time,start,end
0,0,79,406.0,77928,124253
1,1,6,539.0,15436,102533
2,2,176,668.0,142884,39363
3,3,106,850.0,24484,57515
4,4,329,858.0,100566,122003
5,5,150,1026.0,138756,90845
6,6,333,1163.0,37946,115641
7,7,470,1300.0,128818,31597
8,8,410,1319.0,92420,121973
9,9,624,1500.0,100974,33797
10,10,424,1519.0,10866,106829
11,11,585,1567.0,68944,91083
12,12,478,1607.0,102598,137365
13,13,560,1658.0,112140,122555
14,14,418,1663.0,140744,82529
15,15,610,1971.0,26406,113355
16,16,686,2183.0,698,22741
17,17,645,2397.0,91104,126527
18,18,771,2484.0,98152,62719
19,19,880,2890.0,112824,102329
20,20,792,3037.0,114852,19667
21,21,1108,4042.0,122852,66695
22,22,1057,4049.0,112130,28679
23,23,1128,4187.0,86618,77443
24,24,1231,4934.0,8778,77285
25,25,1386,5230.0,122388,140593
26,26,1393,5710.0,10382,121059
27,27,1445,5725.0,120376,64827
28,28,1639,5926.0,32586,102963
29,29,1481,5950.0,35512,42517
30,30,1467,6054.0,48370,36019
31,31,1502,6159.0,103454,119423
32,32,1622,6692.0,67560,137649
33,33,1813,7325.0,24848,98413
34,34,1993,7349.0,113354,28927
35,35,1920,7470.0,140744,84263
36,36,2077,7499.0,23402,87005
37,37,2047,7644.0,86218,61431
38,38,1957,7706.0,39340,16751
39,39,2134,7728.0,112940,73343
40,40,2095,7805.0,89966,35453
41,41,2240,7833.0,100576,134195
42,42,2300,7970.0,99998,41415
43,43,2171,8043.0,121478,27843
44,44,2375,8097.0,103350,130081
45,45,2447,8114.0,83600,142543
46,46,2475,8185.0,38012,98439
47,47,2297,8275.0,29976,37001
48,48,2384,8314.0,83800,11545
49,49,2281,8318.0,15376,61271
50,50,2254,8380.0,40672,86235
51,51,2338,8595.0,96250,43413
52,52,2543,8797.0,2016,132883
53,53,2701,8824.0,60584,20271
54,54,2702,9040.0,56842,69725
55,55,2759,9268.0,77510,341
56,56,2720,9388.0,141696,99145
57,57,2954,9637.0,43928,39375
58,58,2994,9743.0,88338,97385
59,59,3078,9888.0,68630,97083
60,60,3108,9902.0,52284,112639
61,61,3085,10070.0,66536,80243
62,62,3146,10078.0,53746,93133
63,63,3382,10252.0,138576,123809
64,64,3476,10260.0,62106,40493
65,65,3453,10281.0,75396,38293
66,66,3010,10387.0,132112,43207
67,67,3399,10447.0,83208,24777
68,68,3440,10461.0,33328,134253
69,69,3510,10483.0,6548,37287
70,70,3180,10529.0,7932,21353
71,71,3602,10546.0,101338,25433
72,72,3626,10559.0,95108,38953
73,73,3228,10607.0,64990,77429
74,74,3300,10711.0,61402,75495
75,75,3688,10716.0,73272,69405
76,76,3824,10935.0,1732,17821
77,77,3789,10966.0,69540,108723
78,78,3743,11038.0,93278,62883
79,79,3649,11066.0,118078,36825
80,80,3744,11307.0,10438,14627
81,81,3754,11344.0,127758,2179
82,82,3756,11412.0,20276,38831
83,83,4035,11485.0,112984,63939
84,84,4157,11699.0,78622,51687
85,85,4266,11749.0,108752,29163
86,86,4198,11797.0,78054,114489
87,87,4053,11955.0,110922,51145
88,88,4605,12028.0,109896,133701
89,89,4491,12057.0,23608,76185
90,90,4411,12126.0,98430,38509
91,91,4439,12135.0,100164,24807
92,92,4672,12248.0,31876,129165
93,93,4528,12249.0,5950,136947
94,94,4292,12249.0,112356,3561
95,95,4913,12383.0,36860,109475
96,96,4769,12414.0,132200,140139
97,97,4660,12509.0,65830,42665
98,98,4596,12600.0,67326,142861
99,99,5096,12753.0,130382,7209
100,100,5192,12757.0,27828,28911
101,101,4740,12771.0,75418,83541
102,102,4994,12797.0,43690,39471
103,103,4991,12806.0,115022,52193
104,104,5210,12996.0,24424,133029
105,105,5167,13134.0,88072,115219
106,106,5556,13262.0,107698,136111
107,107,5156,13360.0,18462,60753
108,108,5295,13563.0,41158,76249
109,109,6058,13571.0,36936,83557
110,110,6093,13643.0,127908,30893
111,111,5637,13732.0,71266,54857
112,112,6031,13763.0,97558,43155
113,113,6237,13807.0,16048,11953
114,114,6229,13845.0,112102,91977
115,115,5922,13898.0,131044,96457
116,116,5875,13926.0,43330,56057
117,117,5884,13964.0,85758,81555
118,118,6468,13986.0,4486,6357
119,119,5668,13990.0,90846,133109
120,120,5726,14000.0,67822,31697
121,121,6095,14018.0,16062,111739
122,122,6254,14018.0,62914,106325
123,123,5691,14036.0,44062,52013
124,124,6385,14066.0,106928,33797
125,125,6273,14083.0,73622,97885
126,126,6295,14097.0,43988,102123
127,127,6055,14173.0,19348,131559
128,128,6374,14237.0,57032,105635
129,129,6779,14399.0,11666,133663
130,130,6655,14411.0,13328,42249
131,131,6393,14412.0,45314,124705
132,132,6970,14455.0,32756,7689
133,133,6933,14485.0,128820,122885
134,134,6154,14531.0,115004,74241
135,135,6488,14557.0,114852,65035
136,136,6727,14577.0,33638,14897
137,137,6515,14586.0,140972,128837
138,138,6925,14642.0,45164,90097
139,139,6647,14646.0,57760,16963
140,140,6297,14666.0,27420,25373
141,141,7232,14726.0,137776,65509
142,142,6560,14794.0,10890,79139
143,143,6784,14799.0,64334,105883
144,144,6775,14830.0,109706,60431
145,145,7032,14966.0,140718,48575
146,146,7485,14998.0,108444,76125
147,147,6987,15059.0,104126,112085
148,148,7350,15059.0,7314,97375
149,149,7528,15080.0,26332,80309
150,150,7578,15139.0,86344,106429
151,151,7440,15180.0,48914,20885
152,152,7936,15212.0,120556,115065
153,153,7535,15231.0,54262,80309
154,154,7826,15250.0,5622,106929
155,155,7807,15299.0,74904,11909
156,156,8090,15300.0,68080,34409
157,157,8034,15385.0,18378,99377
158,158,7428,15396.0,107330,127837
159,159,7917,15488.0,108680,20333
160,160,8384,15521.0,10768,21033
161,161,8352,15548.0,95024,53275
162,162,8335,15568.0,131894,110241
163,163,7509,15642.0,73894,14001
164,164,8750,15668.0,61430,113063
165,165,7706,15755.0,59848,112267
166,166,8304,15780.0,3580,102767
167,167,9152,15841.0,16922,74859
168,168,8101,15841.0,97842,117021
169,169,8014,15842.0,41532,101175
170,170,8192,15846.0,62882,49429
171,171,7990,15853.0,83112,28599
172,172,8430,15866.0,64166,141041
173,173,7927,15918.0,115628,54459
174,174,8960,15951.0,6008,69061
175,175,8266,15954.0,32750,57879
176,176,9083,15963.0,67742,38255
177,177,8437,15975.0,134432,54951
178,178,8619,15991.0,76968,72457
179,179,8232,15996.0,14052,49617
180,180,9407,16001.0,110646,80847
181,181,8834,16056.0,72418,42657
182,182,8819,16107.0,141892,48501
183,183,8724,16117.0,118056,135287
184,184,8600,16189.0,86790,12575
185,185,8297,16192.0,24778,12575
186,186,8966,16219.0,101866,108567
187,187,8736,16225.0,84368,49265
188,188,8339,16246.0,71274,126727
189,189,9139,16303.0,28200,43953
190,190,9472,16439.0,107810,65645
191,191,10091,16464.0,120254,105069
192,192,9468,16507.0,53114,90943
193,193,9730,16547.0,72524,135827
194,194,8986,16556.0,104120,108305
195,195,9948,16625.0,84922,84369
196,196,10328,16632.0,51630,109457
197,197,10753,16654.0,107412,105691
198,198,10194,16695.0,38778,81083
199,199,10309,16700.0,10818,78295
200,200,10759,16705.0,47304,90325
201,201,9459,16720.0,97964,85183
202,202,10506,16852.0,33116,36577
203,203,9987,16855.0,11706,5737
204,204,10366,16894.0,80718,16043
205,205,11339,16930.0,20018,17087
206,206,11192,16939.0,97086,72255
207,207,10862,16983.0,13686,109157
208,208,10516,16995.0,118028,113369
209,209,9743,17040.0,43056,76067
210,210,9933,17050.0,48722,61619
211,211,11579,17061.0,78232,110015
212,212,9830,17065.0,84776,355
213,213,10061,17104.0,59886,24273
214,214,10941,17115.0,68468,46659
215,215,11873,17144.0,118924,60701
216,216,11732,17178.0,120220,125311
217,217,11229,17183.0,38912,31679
218,218,11165,17204.0,94756,9385
219,219,10207,17245.0,96120,88337
220,220,11015,17246.0,132124,51143
221,221,11297,17248.0,3200,140507
222,222,12321,17341.0,91560,78559
223,223,10799,17373.0,111314,39245
224,224,10522,17390.0,132346,92047
225,225,11372,17397.0,111098,64455
226,226,10557,17415.0,139116,13771
227,227,12065,17423.0,87594,42033
228,228,11341,17433.0,131638,118977
229,229,11124,17433.0,61610,36583
230,230,12658,17456.0,59196,33923
231,231,12360,17457.0,115710,37445
232,232,11507,17492.0,129858,100143
233,233,11739,17501.0,115822,80189
234,234,11568,17506.0,119146,60041
235,235,12247,17525.0,123468,27967
236,236,12087,17526.0,54468,51811
237,237,11146,17528.0,64430,32759
238,238,12031,17541.0,109002,64577
239,239,12529,17560.0,19190,44931
240,240,12939,17563.0,43236,4917
241,241,11493,17602.0,68216,136829
242,242,11088,17624.0,80300,86599
243,243,11708,17634.0,86712,141069
244,244,11901,17660.0,133768,106605
245,245,12936,17715.0,67016,98397
246,246,13456,17726.0,94734,97231
247,247,11416,17740.0,33932,113737
248,248,12621,17743.0,34192,33659
249,249,11723,17754.0,40214,68459
250,250,12878,17769.0,93278,58053
251,251,13957,17864.0,127154,95863
252,252,13770,17865.0,72820,36261
253,253,12636,17894.0,40654,137195
254,254,12313,17957.0,38498,15571
255,255,13864,17971.0,31538,126137
256,256,14259,17978.0,92078,98409
257,257,11877,17985.0,41170,95463
258,258,13705,17990.0,21578,56497
259,259,12839,17998.0,137640,51773
260,260,12736,18013.0,40392,116003
261,261,14547,18030.0,79022,67245
262,262,13251,18033.0,114206,67523
263,263,13990,18043.0,76928,45351
264,264,11948,18052.0,18664,33917
265,265,14305,18056.0,97740,133785
266,266,12002,18060.0,114384,109739
267,267,14541,18061.0,208,124015
268,268,12348,18075.0,84582,76429
269,269,13630,18083.0,65846,140949
270,270,14005,18113.0,95394,136627
271,271,14492,18116.0,33970,78539
272,272,12796,18151.0,12972,41893
273,273,12974,18244.0,18668,47787
274,274,14785,18271.0,62668,93415
275,275,14437,18282.0,34354,48883
276,276,13599,18286.0,4650,66537
277,277,15427,18309.0,95764,107619
278,278,15303,18311.0,70680,63273
279,279,13534,18324.0,68782,33669
280,280,13190,18340.0,97822,101063
281,281,15329,18340.0,34540,130383
282,282,14867,18344.0,124110,4247
283,283,15453,18349.0,6274,7749
284,284,15877,18378.0,19108,113139
285,285,15644,18415.0,14178,114315
286,286,15492,18430.0,100864,34711
287,287,14554,18459.0,3582,98567
288,288,16198,18471.0,38918,51877
289,289,13854,18501.0,142582,78553
290,290,15053,18502.0,88932,51965
291,291,15178,18550.0,66312,97133
292,292,16551,18560.0,41888,33691
293,293,13933,18596.0,7878,57631
294,294,15343,18597.0,13870,88343
295,295,16465,18633.0,94664,51337
296,296,15043,18637.0,127994,27233
297,297,14910,18655.0,16048,127263
298,298,16193,18657.0,105372,75645
299,299,16033,18663.0,142768,92069
300,300,17146,18675.0,93124,24827
301,301,16057,18682.0,49640,109001
302,302,14122,18695.0,69958,68195
303,303,15210,18696.0,116186,120545
304,304,15366,18698.0,3022,48459
305,305,13791,18710.0,136938,108235
306,306,16505,18732.0,38580,10951
307,307,16995,18734.0,103926,132991
308,308,16222,18736.0,884,37783
309,309,13924,18742.0,16874,28825
310,310,15241,18745.0,65512,83565
311,311,14042,18747.0,67266,19665
312,312,17036,18752.0,67102,111677
313,313,14869,18758.0,33092,39409
314,314,15126,18761.0,32920,113821
315,315,15936,18786.0,114424,10889
316,316,15617,18786.0,76736,119359
317,317,17797,18818.0,100576,134767
318,318,16586,18832.0,80586,123549
319,319,15062,18843.0,117516,38463
320,320,16749,18847.0,103874,94447
321,321,14327,18850.0,138340,10511
322,322,16280,18857.0,72256,138173
323,323,15071,18861.0,125388,101471
324,324,15580,18874.0,143076,89061
325,325,15361,18876.0,128006,100425
326,326,18211,18882.0,64268,107267
327,327,15042,18889.0,141692,36115
328,328,15659,18915.0,119494,57203
329,329,15141,18954.0,113078,91377
330,330,17663,18976.0,31318,11689
331,331,14871,18982.0,121650,97907
