,request_id,orig_id,rq_time,start,end
0,0,21,132.0,102254,107933
1,1,76,231.0,116340,142999
2,2,45,293.0,98422,115035
3,3,11,332.0,15094,78825
4,4,36,405.0,77934,46501
5,5,163,447.0,13550,121725
6,6,102,452.0,26046,58733
7,7,118,461.0,104,82339
8,8,201,479.0,141892,103119
9,9,193,479.0,104018,691
10,10,216,510.0,105854,39279
11,11,214,520.0,69716,112933
12,12,59,532.0,42570,42571
13,13,107,544.0,80202,116219
14,14,48,546.0,42014,50991
15,15,149,549.0,118842,134369
16,16,210,560.0,124402,56975
17,17,172,572.0,13324,90773
18,18,208,587.0,3694,133055
19,19,276,625.0,70670,86471
20,20,85,654.0,98728,63939
21,21,324,687.0,120376,141145
22,22,164,697.0,79356,102535
23,23,43,704.0,57358,108773
24,24,140,714.0,137706,52383
25,25,241,726.0,28722,29753
26,26,183,752.0,117162,108501
27,27,323,767.0,112428,132831
28,28,26,769.0,38986,79569
29,29,370,830.0,11366,67267
30,30,157,851.0,52788,133373
31,31,60,858.0,6214,139483
32,32,145,859.0,79486,52709
33,33,27,878.0,34464,108201
34,34,435,890.0,65194,36975
35,35,49,985.0,61430,37961
36,36,240,987.0,100702,41219
37,37,408,1016.0,121738,57067
38,38,111,1072.0,77934,126177
39,39,489,1143.0,39268,116377
40,40,440,1153.0,38292,37487
41,41,141,1177.0,133836,78539
42,42,543,1274.0,140740,79389
43,43,190,1302.0,79686,74227
44,44,417,1306.0,108726,96143
45,45,546,1321.0,98282,136581
46,46,224,1325.0,34572,30123
47,47,506,1368.0,112418,18709
48,48,232,1381.0,142250,118843
49,49,569,1436.0,112450,117341
50,50,319,1444.0,80026,50951
51,51,565,1466.0,126012,9225
52,52,444,1474.0,119440,134483
53,53,460,1485.0,42702,76743
54,54,492,1509.0,119162,104665
55,55,281,1511.0,110474,92833
56,56,362,1528.0,120376,94881
57,57,580,1551.0,26464,105789
58,58,439,1579.0,106308,101471
59,59,451,1582.0,92490,108877
60,60,519,1603.0,106328,25647
61,61,374,1613.0,129134,3095
62,62,658,1642.0,105556,135287
63,63,419,1656.0,119488,43019
64,64,448,1669.0,75644,118373
65,65,373,1677.0,80830,90863
66,66,426,1687.0,104294,126511
67,67,596,1753.0,3548,40247
68,68,445,1763.0,3694,73515
69,69,666,1798.0,38828,101051
70,70,630,1831.0,13860,4549
71,71,535,1833.0,37812,26103
72,72,582,1856.0,24366,11707
73,73,563,1893.0,11576,5705
74,74,640,1922.0,45888,52285
75,75,615,1961.0,122524,14099
76,76,555,1979.0,20278,88877
77,77,586,2013.0,103120,52275
78,78,553,2042.0,62680,4357
79,79,646,2053.0,142740,77425
80,80,622,2105.0,258,9275
81,81,571,2167.0,104328,130329
82,82,671,2181.0,57520,134505
83,83,778,2263.0,11938,100859
84,84,749,2471.0,14520,38323
85,85,791,2529.0,48378,136777
86,86,878,2657.0,15418,119911
87,87,887,2702.0,67618,37287
88,88,780,2781.0,67852,11729
89,89,732,2823.0,112422,76335
90,90,867,2870.0,99798,70935
91,91,758,2878.0,64484,102963
92,92,788,2902.0,61428,85635
93,93,852,2975.0,37630,88825
94,94,900,2978.0,112084,106867
95,95,949,3011.0,39468,94289
96,96,792,3037.0,114852,19667
97,97,921,3146.0,107006,693
98,98,913,3163.0,19668,138851
99,99,928,3174.0,73432,110087
100,100,884,3280.0,112426,30271
101,101,1018,3306.0,29926,4707
102,102,943,3394.0,65508,41853
103,103,1008,3423.0,139002,39327
104,104,1005,3726.0,47854,80595
105,105,1065,3781.0,33060,106099
106,106,1064,3846.0,96532,31839
107,107,1060,3924.0,101420,100975
108,108,1022,3969.0,12752,122665
109,109,1166,4010.0,52220,72343
110,110,1077,4070.0,116376,37225
111,111,1015,4071.0,108212,90441
112,112,1109,4245.0,111828,106309
113,113,1173,4271.0,6600,6099
114,114,1081,4424.0,51848,38811
115,115,1104,4448.0,77376,27153
116,116,1141,4585.0,86026,124271
117,117,1288,4670.0,124766,98729
118,118,1170,4742.0,39288,651
119,119,1277,4756.0,54362,40971
120,120,1339,4892.0,134148,59043
121,121,1168,4909.0,84060,97435
122,122,1220,4917.0,114842,35717
123,123,1233,4938.0,110392,138589
124,124,1208,4971.0,97258,110197
125,125,1215,4972.0,39182,132483
126,126,1389,4984.0,11576,121285
127,127,1314,4996.0,108112,77321
128,128,1360,5131.0,140310,106865
129,129,1376,5137.0,78054,137221
130,130,1270,5165.0,22184,23373
131,131,1415,5178.0,105504,80635
132,132,1329,5206.0,118452,37635
133,133,1399,5218.0,6094,37943
134,134,1236,5220.0,75588,60347
135,135,1337,5240.0,140142,89377
136,136,1241,5260.0,70586,90015
137,137,1357,5264.0,76464,139037
138,138,1426,5333.0,52130,50931
139,139,1361,5380.0,14098,118453
140,140,1472,5411.0,117830,141055
141,141,1383,5427.0,117472,42097
142,142,1434,5462.0,2166,116629
143,143,1469,5487.0,21026,104723
144,144,1307,5502.0,73586,62001
145,145,1384,5504.0,124740,73549
146,146,1303,5517.0,33556,121107
147,147,1522,5520.0,94606,16639
148,148,1494,5587.0,78302,133905
149,149,1514,5643.0,124858,79615
150,150,1617,5840.0,52342,115185
151,151,1512,5854.0,132524,46443
152,152,1479,5910.0,6092,132525
