request_id,orig_id,rq_time,start,end,routing_behavior_group,tt_adjustment
0,pv_0_6584_0,21.91,19808,31988,1,prob_0.7
1,pv_0_7183,77.57,39108,22464,0,prob_0.6
2,pv_0_2006,78.75,28194,17126,0,prob_0.6
3,pv_0_5776_1,86.57,32026,2100,0,prob_0.6
4,pv_0_5768_0,91.13,32026,22542,0,prob_0.6
5,pv_0_2366,161.11,13594,8866,0,prob_0.6
6,pv_0_7033_0,312.62,22444,100,0,prob_0.6
7,pv_0_4959_1,323.77,16842,19012,0,prob_0.6
8,pv_0_4676_0,358.48,9492,22130,0,prob_0.6
9,pv_0_981_1,372.03,1160,12660,0,prob_0.6
10,pv_0_5217,381.01,17532,41876,0,prob_0.6
11,pv_0_2582_0,431.08,9416,2396,0,prob_0.6
12,pv_0_5955_0,453.5,35728,2274,0,prob_0.6
13,pv_0_1097_1,454.37,24090,14944,1,prob_0.7
14,pv_0_1395_0,713.51,37574,22976,0,prob_0.6
15,pv_0_2690_0,789.74,17906,3330,0,prob_0.6
16,pv_0_4544_1,834.74,15390,26174,0,prob_0.6
17,pv_0_2938_1,892.16,34118,33616,0,prob_0.6
18,pv_0_6504,896.58,41864,14622,0,prob_0.6
19,pv_0_5740,1143.21,39284,15502,0,prob_0.6
20,pv_0_1781_1,1189.77,11788,30920,0,prob_0.6
21,pv_0_2813_1,1201.68,40768,1554,1,prob_0.7
22,pv_0_3280_0,1247.64,6548,2396,0,prob_0.6
23,pv_0_2163,1261.49,23780,13400,0,prob_0.6
24,pv_0_3965,1272.38,32898,23650,0,prob_0.6
25,pv_0_1051,1347.97,21850,41876,1,prob_0.7
26,pv_0_722_1,1420.68,4074,18572,1,prob_0.7
27,pv_0_3997,1537.63,33052,730,1,prob_0.7
28,pv_0_3857,1594.91,33556,29460,1,prob_0.7
29,pv_0_2444,1760.29,29436,29562,0,prob_0.6
30,pv_0_6399_1,1884.66,41864,25638,0,prob_0.6
31,pv_0_672_0,1898.96,15314,14254,0,prob_0.6
32,pv_0_3232_0,1987.71,34220,38730,0,prob_0.6
33,pv_0_2866,2051.88,6128,41876,0,prob_0.6
34,pv_0_1754_1,2074.31,15452,30920,0,prob_0.6
35,pv_0_4748,2138.51,9668,36308,1,prob_0.7
36,pv_0_4466,2176.38,35276,22444,0,prob_0.6
37,pv_0_3135_1,2202.62,38788,26242,0,prob_0.6
38,pv_0_6401_1,2354.89,41864,26390,0,prob_0.6
39,pv_0_6011,2460.14,35728,2750,0,prob_0.6
40,pv_0_630_1,2473.91,33598,41876,0,prob_0.6
41,pv_0_3097,2497.57,41778,8680,1,prob_0.7
42,pv_0_466_1,2537.28,2652,3510,0,prob_0.6
43,pv_0_473_1,2567.35,21092,14254,1,prob_0.7
44,pv_0_3660_1,2624.23,2250,35932,0,prob_0.6
45,pv_0_6584_1,2728.37,19808,31988,0,prob_0.6
46,pv_0_1582,2754.19,572,17126,0,prob_0.6
47,pv_0_2550,2756.15,18674,30164,0,prob_0.6
48,pv_0_2463,2850.73,32108,17126,0,prob_0.6
49,pv_0_4869_0,2936.65,30402,23534,0,prob_0.6
50,pv_0_749_1,3022.39,7290,14254,0,prob_0.6
51,pv_0_3851_1,3033.08,710,22702,0,prob_0.6
52,pv_0_4330,3096.73,22432,2396,1,prob_0.7
53,pv_0_5948,3131.31,35728,28268,0,prob_0.6
54,pv_0_5566,3160.32,2396,13860,0,prob_0.6
55,pv_0_4839_0,3298.05,9656,17926,1,prob_0.7
56,pv_0_5625_0,3326.1,39108,5202,0,prob_0.6
57,pv_0_2797_1,3352.35,18370,14254,0,prob_0.6
58,pv_0_4351_1,3357.98,26510,17126,0,prob_0.6
59,pv_0_2636_0,3423.01,39440,41876,0,prob_0.6
60,pv_0_3124,3488.2,13122,19940,1,prob_0.7
61,pv_1_1053_1,3614.4,19474,2848,0,prob_0.6
62,pv_1_5426,3699.45,22444,31322,1,prob_0.7
63,pv_1_3829,3960.42,36654,12520,1,prob_0.7
64,pv_1_1961,4031.62,6398,17126,0,prob_0.6
65,pv_1_6270,4150.86,41864,16502,0,prob_0.6
66,pv_1_2172_0,4323.54,2530,28128,0,prob_0.6
67,pv_1_4137_0,4356.94,13874,13914,0,prob_0.6
68,pv_1_5471_0,4421.42,39108,28848,0,prob_0.6
69,pv_1_627_0,4465.66,13946,17126,0,prob_0.6
70,pv_1_1539,4497.21,28194,17126,0,prob_0.6
71,pv_1_4659_0,4498.66,14020,33788,0,prob_0.6
72,pv_1_427,4508.64,36906,21934,0,prob_0.6
73,pv_1_4047_0,4649.03,11248,21556,1,prob_0.7
74,pv_1_204,4701.01,9788,37922,0,prob_0.6
75,pv_1_1948,4703.57,18040,3396,1,prob_0.7
76,pv_1_2318_1,4746.56,22508,14254,0,prob_0.6
77,pv_1_5186_0,4777.6,22976,41218,1,prob_0.7
78,pv_1_1057,5075.46,21850,22444,1,prob_0.7
79,pv_1_856_0,5139.05,38534,33746,1,prob_0.7
80,pv_1_6414_0,5351.5,34746,7906,1,prob_0.7
81,pv_1_1025_1,5542.59,4516,17126,1,prob_0.7
82,pv_1_2692_1,5548.76,11386,17922,0,prob_0.6
83,pv_1_876_0,5594.97,16670,2396,0,prob_0.6
84,pv_1_174_0,5606.52,22036,18212,0,prob_0.6
85,pv_1_4503_1,5835.62,15404,30920,0,prob_0.6
86,pv_1_6792,6037.79,19808,23578,0,prob_0.6
87,pv_1_7139,6068.22,10488,9466,0,prob_0.6
88,pv_1_2492,6111.5,39876,2396,0,prob_0.6
89,pv_1_926,6131.18,2254,15210,1,prob_0.7
90,pv_1_1557,6224.76,41452,736,0,prob_0.6
91,pv_1_4280_0,6256.01,13878,20408,1,prob_0.7
92,pv_1_1575,6256.48,39990,33776,0,prob_0.6
93,pv_1_2381,6311.39,31588,17126,1,prob_0.7
94,pv_1_4176,6416.65,26798,27968,0,prob_0.6
95,pv_1_3643,6451.46,34482,26562,0,prob_0.6
96,pv_1_3702,6468.72,30044,31610,0,prob_0.6
97,pv_1_823,6470.31,15510,28300,0,prob_0.6
98,pv_1_989,6482.98,1150,40196,0,prob_0.6
99,pv_1_2312,6617.66,35362,17126,1,prob_0.7
100,pv_1_2607_0,6703.59,8728,14254,1,prob_0.7
101,pv_1_4454,6754.65,32048,6374,1,prob_0.7
102,pv_1_2488_1,6782.72,18674,22976,0,prob_0.6
103,pv_1_1346_1,6798.79,37582,22976,0,prob_0.6
104,pv_1_6169,6840.05,19808,38996,0,prob_0.6
105,pv_1_1959,7012.79,11204,17126,0,prob_0.6
106,pv_1_6279_0,7112.26,41864,5206,1,prob_0.7
107,pv_1_4439,7139.32,37102,6460,1,prob_0.7
108,pv_2_3930_1,7368.57,13874,30920,0,prob_0.6
109,pv_2_1509_0,7380.86,38202,14254,0,prob_0.6
110,pv_2_678_0,7467.92,13968,17126,1,prob_0.7
111,pv_2_2503,7697.3,5482,41876,1,prob_0.7
112,pv_2_1814_1,7723.6,40458,23554,1,prob_0.7
113,pv_2_6245,7742.6,19808,3442,0,prob_0.6
114,pv_2_2325,7746.01,30138,22444,0,prob_0.6
115,pv_2_3688_1,7774.26,8432,3396,1,prob_0.7
116,pv_2_4980_0,7861.73,2396,35168,1,prob_0.7
117,pv_2_1063,7921.78,19084,41330,0,prob_0.6
118,pv_2_937,7993.32,212,22976,0,prob_0.6
119,pv_2_5669,8233.48,19808,26882,0,prob_0.6
120,pv_2_890,8372.24,10868,2396,1,prob_0.7
121,pv_2_5339,8394.27,32026,22790,0,prob_0.6
122,pv_2_5344,8518.35,32026,34982,0,prob_0.6
123,pv_2_6464,8539.09,2396,1240,1,prob_0.7
124,pv_2_3077,8550.01,41346,41876,0,prob_0.6
125,pv_2_2293,8690.82,12054,26662,0,prob_0.6
126,pv_2_619_1,8738.95,22130,30920,0,prob_0.6
127,pv_2_5455,8865.55,35728,3632,1,prob_0.7
128,pv_2_3797_1,9001.21,41180,1882,1,prob_0.7
129,pv_2_3613,9016.59,8016,30920,1,prob_0.7
130,pv_2_2781_0,9277.23,27236,7908,0,prob_0.6
131,pv_2_2469_1,9335.31,29638,34704,1,prob_0.7
132,pv_2_3439,9358.47,14892,15504,0,prob_0.6
133,pv_2_4335_1,9451.79,9706,20152,0,prob_0.6
134,pv_2_3229,9483.96,13394,20150,0,prob_0.6
135,pv_2_1418,9531.17,15458,17126,0,prob_0.6
136,pv_2_5471,9548.44,35728,7054,1,prob_0.7
137,pv_2_580,9681.83,37408,17126,0,prob_0.6
138,pv_2_5116_1,9682.28,39108,39838,0,prob_0.6
139,pv_2_2980_0,9737.58,23544,728,1,prob_0.7
140,pv_2_3922,9752.96,24518,14254,0,prob_0.6
141,pv_2_5092,9791.54,39108,8518,0,prob_0.6
142,pv_2_3228,9803.82,16800,34758,0,prob_0.6
143,pv_2_3644,9888.14,7378,31306,0,prob_0.6
144,pv_2_1888,10027.73,5004,5530,0,prob_0.6
145,pv_2_4480,10139.16,24954,36312,0,prob_0.6
146,pv_2_6863_0,10190.73,10980,12752,0,prob_0.6
147,pv_2_5407_1,10278.84,35728,1116,0,prob_0.6
148,pv_2_4617,10287.68,2448,30920,0,prob_0.6
149,pv_2_5672,10301.91,19808,20110,0,prob_0.6
150,pv_2_3505,10309.12,9072,28916,0,prob_0.6
151,pv_2_1825,10503.56,4466,17126,0,prob_0.6
152,pv_2_6242,10521.69,19808,13814,0,prob_0.6
153,pv_2_384_0,10579.78,28586,29228,0,prob_0.6
154,pv_2_5412_1,10625.89,35728,8384,0,prob_0.6
155,pv_2_2483,10666.59,12470,5856,0,prob_0.6
156,pv_2_2517,10752.73,6418,16276,0,prob_0.6
157,pv_2_4084,10785.38,20552,2946,0,prob_0.6
158,pv_3_2299_0,10809.07,39108,7906,0,prob_0.6
159,pv_3_2364,10939.68,32026,11502,0,prob_0.6
160,pv_3_243_1,10954.25,7654,34758,0,prob_0.6
161,pv_3_2647,11015.3,31482,9548,0,prob_0.6
162,pv_3_3038,11078.78,15274,19280,0,prob_0.6
163,pv_3_1601_1,11082.76,33030,26488,0,prob_0.6
164,pv_3_1138,11132.46,26622,3510,0,prob_0.6
165,pv_3_804_0,11155.99,6408,10798,1,prob_0.7
166,pv_3_1601,11225.93,33030,26488,0,prob_0.6
167,pv_3_2418_1,11491.46,35728,2878,0,prob_0.6
168,pv_3_1363,11507.59,13126,12520,1,prob_0.7
169,pv_3_2805,11519.04,2396,27126,0,prob_0.6
170,pv_3_256,11577.68,15316,30680,0,prob_0.6
171,pv_3_0,11607.15,40636,1254,0,prob_0.6
