request_id,orig_id,rq_time,start,end,routing_behavior_group,tt_adjustment
0,pv_0_3991,16.77,9460,3396,1,prob_0.8
1,pv_0_2000_1,40.92,5638,3396,0,prob_0.65
2,pv_0_4276,86.67,31316,3658,1,prob_0.8
3,pv_0_6809,89.24,19808,8042,0,prob_0.65
4,pv_0_3934,90.23,11880,34986,0,prob_0.65
5,pv_0_3688,134.79,41622,3372,0,prob_0.65
6,pv_0_1027_0,153.12,25964,17126,0,prob_0.65
7,pv_0_1050,174.05,19492,30920,0,prob_0.65
8,pv_0_37_0,226.17,1242,30920,0,prob_0.65
9,pv_0_5199,297.62,37476,17834,0,prob_0.65
10,pv_0_652,305.37,26578,17126,0,prob_0.65
11,pv_0_4866_0,376.48,30212,17126,0,prob_0.65
12,pv_0_2899_0,384.09,18638,22444,0,prob_0.65
13,pv_0_2395,385.69,18124,12518,0,prob_0.65
14,pv_0_5754_0,407.98,37196,32504,0,prob_0.65
15,pv_0_627,454.87,21960,41876,1,prob_0.8
16,pv_0_6814,467.8,19808,22870,0,prob_0.65
17,pv_0_2682,468.83,18626,20412,0,prob_0.65
18,pv_0_3641,625.53,36436,5672,1,prob_0.8
19,pv_0_399_0,774.03,23758,19488,0,prob_0.65
20,pv_0_5966_1,811.03,35728,18036,1,prob_0.8
21,pv_0_4614_0,830.52,29220,30920,0,prob_0.65
22,pv_0_2730_0,858.41,22500,10356,0,prob_0.65
23,pv_0_1012,919.49,20856,22444,1,prob_0.8
24,pv_0_772_1,922.72,33086,23554,0,prob_0.65
25,pv_0_4332,1133.57,41180,2396,0,prob_0.65
26,pv_0_2766_0,1247.11,6652,14254,0,prob_0.65
27,pv_0_7445,1268.99,3492,40228,1,prob_0.8
28,pv_0_4048,1293.42,28620,3322,0,prob_0.65
29,pv_0_2814_0,1305.42,19040,31556,1,prob_0.8
30,pv_0_3853_1,1451.2,33564,21556,1,prob_0.8
31,pv_0_407,1639.22,28166,29386,1,prob_0.8
32,pv_0_2820,1769.84,17752,17212,0,prob_0.65
33,pv_0_2458,1817.42,18990,17126,0,prob_0.65
34,pv_0_5447_0,1841.53,22444,11784,0,prob_0.65
35,pv_0_3716,1956.56,28484,12504,0,prob_0.65
36,pv_0_5786_0,2064.09,32026,28262,0,prob_0.65
37,pv_0_2797_0,2131.64,24136,14254,0,prob_0.65
38,pv_0_2923_0,2203.86,18558,22444,0,prob_0.65
39,pv_0_1804_0,2239.62,32588,41876,0,prob_0.65
40,pv_0_3228,2263.14,38942,40990,0,prob_0.65
41,pv_0_2508_0,2415.03,2738,41378,0,prob_0.65
42,pv_0_2210,2505.36,21414,40102,1,prob_0.8
43,pv_0_2675_1,2525.54,39972,14848,0,prob_0.65
44,pv_0_4992,2552.4,16090,18832,0,prob_0.65
45,pv_0_1912_1,2568.32,41316,2848,0,prob_0.65
46,pv_0_3225,2574.98,13050,19750,0,prob_0.65
47,pv_0_7206_1,2597.3,31478,2452,0,prob_0.65
48,pv_0_3648_0,2600.84,40552,30920,0,prob_0.65
