request_id,orig_id,rq_time,start,end,routing_behavior_group,tt_adjustment
0,pv_0_6947_0,27.6,22976,24528,0,det_1
1,pv_0_5767,104.43,32026,12372,0,det_1
2,pv_0_2442,105.47,33748,11274,0,det_1
3,pv_0_44_1,111.6,21036,41876,0,det_1
4,pv_0_5967,125.38,35728,25002,0,det_1
5,pv_0_6060_0,181.78,19808,28870,0,det_1
6,pv_0_4629_1,329.19,15434,17926,0,det_1
7,pv_0_4821,349.68,26018,41876,1,det_1.1
8,pv_0_7183_0,373.87,39108,262,0,det_1
9,pv_0_6918,398.82,19808,21726,0,det_1
10,pv_0_1559,421.11,41444,17126,0,det_1
11,pv_0_2467,436.77,15716,33780,1,det_1.1
12,pv_0_730,464.68,39788,2756,1,det_1.1
13,pv_0_1023,491.52,1134,17126,0,det_1
14,pv_0_5787_1,494.95,32026,28294,1,det_1.1
15,pv_0_4994,765.5,37478,31684,0,det_1
16,pv_0_5653,806.03,39108,8424,0,det_1
17,pv_0_881,821.41,1522,3294,0,det_1
18,pv_0_4766_1,846.02,3926,22444,0,det_1
19,pv_0_2866,877.87,40760,41876,0,det_1
20,pv_0_4680_0,890.75,19180,28458,0,det_1
21,pv_0_30,1129.61,10970,17126,0,det_1
22,pv_0_5988_1,1219.44,35728,37164,0,det_1
23,pv_0_7167_0,1245.21,39108,41162,0,det_1
24,pv_0_2217_1,1257.38,32158,7910,0,det_1
25,pv_0_2753,1274.47,15750,22286,0,det_1
26,pv_0_5622_0,1283.36,39108,27014,0,det_1
27,pv_0_6956,1297.42,2848,38290,0,det_1
28,pv_0_604_0,1378.02,22008,14254,0,det_1
29,pv_0_4660,1444.44,14422,17126,0,det_1
30,pv_0_2523,1557.89,14184,26920,0,det_1
31,pv_0_2789,1597.56,28950,4878,0,det_1
32,pv_0_1305_0,1828.93,16072,16540,1,det_1.1
33,pv_0_5753_1,1930.25,33024,7084,0,det_1
34,pv_0_3997,1940.1,36670,33794,0,det_1
35,pv_0_3990,2021.25,15060,3396,0,det_1
36,pv_0_2794,2106.79,32432,41038,0,det_1
37,pv_0_6215_0,2176.86,19808,22722,0,det_1
38,pv_0_4821_0,2218.42,26018,41876,0,det_1
39,pv_0_5395_1,2231.59,2396,2096,0,det_1
40,pv_0_1322_1,2360.59,18040,15218,1,det_1.1
41,pv_0_2837_1,2455.17,25984,5658,0,det_1
42,pv_0_3760,2478.38,41802,20322,0,det_1
43,pv_0_4595_0,2492.02,8596,16180,0,det_1
44,pv_0_1594,2525.14,38202,17126,1,det_1.1
45,pv_0_6504,2543.82,41864,41872,0,det_1
46,pv_0_6402,2584.09,41864,12494,1,det_1.1
47,pv_0_4680_1,2683.11,19180,28458,0,det_1
48,pv_0_4267,2709.37,10992,27962,0,det_1
49,pv_0_4842,2744.78,37020,40076,0,det_1
50,pv_0_4305_0,2745.2,7526,2848,0,det_1
51,pv_0_2225_0,2821.45,29692,15878,0,det_1
52,pv_0_3357_0,2907.99,40342,14254,1,det_1.1
53,pv_0_6590_1,2959.39,19808,28872,1,det_1.1
54,pv_0_6322_1,2978.34,41864,37352,1,det_1.1
55,pv_0_6816,3039.43,19808,2776,0,det_1
56,pv_0_5959_0,3120.11,35728,24750,0,det_1
57,pv_0_6315,3308.15,41864,30516,0,det_1
58,pv_0_54_0,3318.25,18446,20418,0,det_1
59,pv_0_2491,3325.26,11094,17126,0,det_1
60,pv_0_4075,3343.91,26708,28000,0,det_1
61,pv_0_104_1,3348.77,22084,30380,0,det_1
62,pv_0_2394,3397.52,29094,33792,0,det_1
63,pv_0_2868_1,3461.75,17398,41876,0,det_1
64,pv_0_3230,3551.54,10956,40984,0,det_1
65,pv_1_3869,3610.17,15088,33788,0,det_1
66,pv_1_6205_0,3797.33,41864,29860,1,det_1.1
67,pv_1_2762_1,3886.31,39848,3396,0,det_1
68,pv_1_3359,4027.11,36324,41876,0,det_1
69,pv_1_2150,4174.71,18876,27164,0,det_1
70,pv_1_741_1,4219.46,15320,41612,0,det_1
71,pv_1_1062_1,4296.5,24748,3396,0,det_1
72,pv_1_5468_1,4340.94,39108,36406,0,det_1
73,pv_1_7022,4354.22,39108,37796,0,det_1
74,pv_1_5503,4363.94,39108,24914,1,det_1.1
75,pv_1_3110,4372.67,34424,41876,0,det_1
76,pv_1_3736_1,4485.1,36760,21070,0,det_1
77,pv_1_21,4535.47,30564,30168,0,det_1
78,pv_1_459,4539.53,23756,24374,0,det_1
79,pv_1_951,4577.87,21246,41876,0,det_1
80,pv_1_4292_1,4855.89,3246,14254,1,det_1.1
81,pv_1_3942_1,4898.6,17260,22342,0,det_1
82,pv_1_3694,5233.77,31290,40234,0,det_1
83,pv_1_982_1,5410.59,16940,10590,0,det_1
84,pv_1_6273,5448.65,41864,32428,1,det_1.1
85,pv_1_643,5521.3,33698,17126,0,det_1
86,pv_1_4394,5532.82,35218,726,0,det_1
87,pv_1_343,5709.7,19640,14254,0,det_1
88,pv_1_5879,5792.79,35728,30228,0,det_1
89,pv_1_515,5995.75,28742,30920,0,det_1
90,pv_1_20_0,6053.58,31940,11860,0,det_1
91,pv_1_1524,6069.44,20234,17126,0,det_1
92,pv_1_4019_1,6084.6,3670,40080,0,det_1
93,pv_1_508,6173.54,11670,14254,0,det_1
94,pv_1_2697,6206.86,26266,22120,0,det_1
95,pv_1_2585,6268.83,8994,28584,1,det_1.1
96,pv_1_3680,6305.1,36060,9120,0,det_1
97,pv_1_3618,6374.91,24622,19070,0,det_1
98,pv_1_790,6401.06,28412,33792,1,det_1.1
100,pv_1_7245,6436.3,23664,634,0,det_1
99,pv_1_4272_1,6436.3,40790,17126,0,det_1
101,pv_1_857,6466.68,8140,19562,0,det_1
102,pv_1_2788,6588.01,21746,13292,0,det_1
103,pv_1_783_1,6656.04,18946,17126,0,det_1
104,pv_1_2352,6704.79,10694,31166,0,det_1
