from_node,to_node,source_edge_id,number_of_usable_lanes,travel_time,distance,connecting_edges
0,1,-1001053676,1,1.281,7.62,
2,3,-100280204#0,1,14.149799999999997,84.19,
4,5,-100280204#1,1,3.1835999999999998,18.94,
6,7,-10039481,1,24.997,148.73,
8,9,-10039819,1,34.234199999999994,203.69,
10,11,-100405260,1,13.5156,80.42,
12,13,-100541440#2,1,10.100999999999999,100.22,
14,15,-100541440#3,1,14.7518,146.36,
16,17,-10058489#0,1,21.5614,213.92,
18,19,-10081209,1,6.6178,39.38,
20,21,-10081218,1,76.73259999999999,456.56,
22,23,-10081229,1,2.3813999999999997,23.62,
24,25,-10081232#0,1,3.1346,31.1,
26,27,-10081232#1,1,3.2214,31.96,
28,29,-100832885,1,165.69979999999998,985.91,
30,31,-10098785#10,1,20.4526,121.69,
32,33,-10098785#3,1,14.428399999999998,85.85,
34,35,-10098785#4,1,15.509199999999998,92.28,
36,37,-10098785#9,1,20.5548,122.3,
38,39,-10099393,1,18.6466,110.95,
40,41,-1011477795,1,1.3916,8.28,
42,43,-101290089#2,1,18.502399999999998,110.09,
44,45,-101290089#3,1,16.752399999999998,99.68,
46,47,-101290089#4,1,12.0106,71.46,
48,49,-101290091,1,10.647,63.35,
50,51,-101290092,1,50.1732,298.53,
52,53,-101290094#0,1,15.920799999999998,94.73,
54,55,-101290094#1,1,9.6908,57.66,
56,57,-101290094#2,1,13.699,81.51,
58,59,-101290094#3,1,16.4654,97.97,
60,61,-101290094#4,1,29.775199999999998,177.16,
62,63,-101290094#5,1,33.602799999999995,199.94,
64,65,-101290096#0,1,15.832599999999998,94.2,
66,67,-101290096#1,1,34.1446,203.16,
68,69,-101290099,1,39.78939999999999,236.75,
70,71,-1013117571,1,10.9676,108.81,
72,73,-101345892#0,1,14.757399999999999,87.81,
74,75,-101345892#1,1,30.542399999999997,181.73,
76,77,-101345893,1,84.5264,335.69,
78,79,-101345894,1,37.995999999999995,150.9,
80,81,-101702340#0,1,4.4436,26.44,
82,83,-101702340#1,1,26.523,157.81,
84,85,-10195357,1,1.8745999999999998,18.6,
86,87,-10210930#0,1,6.6136,39.35,
88,89,-10210930#1,1,32.8524,195.47,
90,91,-1022564256,1,32.3064,320.52,
92,93,-1022564256.327,1,24.325,241.34,
94,95,-102486174#1,1,9.2624,91.9,
96,97,-102486193#2,1,38.038,226.33,
98,99,-102486193#3,1,13.803999999999998,82.13,
100,101,-102486193#4,1,32.755799999999994,194.9,
102,103,-102486193#5,1,6.3602,37.84,
104,105,-102486231#0,1,253.46579999999997,1508.12,
106,107,-102486254#0,1,0.6468,3.85,
108,109,-102486254#2,1,15.596,92.8,
110,111,-102486254#3,1,31.764599999999998,189.0,
112,113,-102486268,1,32.5458,193.65,
114,115,-102527800,1,21.6622,128.89,
116,117,-102532387#0,1,10.1374,100.58,
118,119,-102532387#1,1,22.618399999999998,224.4,
120,121,-10258782,1,34.5618,205.64,
122,123,-10258813#0,1,7.0489999999999995,41.94,
124,125,-10258813#1,1,21.345799999999997,127.01,
126,127,-10258834#0,1,66.8556,397.79,
128,129,-10258834#1,1,16.4752,98.03,
130,131,-10258856#2,1,39.37779999999999,234.3,
132,133,-10258856#3,1,51.1994,304.64,
134,135,-10266792#0,1,16.625,98.92,
136,137,-10266792#1,1,39.6256,235.77,
138,139,-10266792#2,1,34.379799999999996,204.56,
