from_node,to_node,edge_id,edge_tt,edge_var
2,3,-100280204#0,13.0625,2.5958333333333337
8,9,-10039819,28.0,3.333333333333334
10,11,-100405260,12.3,1.596551724137931
12,13,-100541440#2,11.884615384615385,12.044809559372663
14,15,-100541440#3,13.065420560747663,3.40134015164874
16,17,-10058489#0,19.384615384615383,2.423076923076923
18,19,-10081209,7.25,0.24999999999999992
20,21,-10081218,61.32432432432432,27.947447447447445
22,23,-10081229,6.25,0.24999999999999992
24,25,-10081232#0,5.666666666666667,1.0666666666666669
26,27,-10081232#1,5.5,0.5
28,29,-100832885,125.63888888888889,134.12301587301585
30,31,-10098785#10,20.875,9.316666666666666
32,33,-10098785#3,16.264150943396228,10.736574746008706
34,35,-10098785#4,17.36111111111111,5.4944444444444445
36,37,-10098785#9,21.151515151515152,21.13257575757576
38,39,-10099393,17.16176470588235,4.018217734855135
42,43,-101290089#2,26.583333333333332,48.446969696969695
46,47,-101290089#4,11.25,0.9166666666666666
48,49,-101290091,10.285714285714286,1.3968253968253972
50,51,-101290092,41.6875,16.09583333333333
52,53,-101290094#0,14.245283018867925,2.2271407837445576
54,55,-101290094#1,10.0,2.75
56,57,-101290094#2,12.75,2.0217391304347827
58,59,-101290094#3,15.0,2.2608695652173907
60,61,-101290094#4,25.5,5.733333333333335
62,63,-101290094#5,30.666666666666668,10.06060606060606
64,65,-101290096#0,13.5,0.3333333333333333
66,67,-101290096#1,27.555555555555557,7.527777777777779
68,69,-101290099,31.55,5.628947368421053
70,71,-1013117571,12.193979933110368,37.26425893919327
72,73,-101345892#0,13.583333333333334,1.7196969696969695
74,75,-101345892#1,24.25,0.9166666666666657
78,79,-101345894,34.25,10.916666666666666
80,81,-101702340#0,5.375,0.2499999999999999
82,83,-101702340#1,21.5,3.0000000000000013
84,85,-10195357,2.1130434782608694,0.13623188405797104
86,87,-10210930#0,7.777777777777778,1.9444444444444453
88,89,-10210930#1,28.0,4.666666666666668
90,91,-1022564256,24.625,3.1250000000000004
92,93,-1022564256.327,18.5,1.0999999999999996
94,95,-102486174#1,13.05019305019305,14.171889497470898
96,97,-102486193#2,35.166666666666664,20.94285714285715
98,99,-102486193#3,13.397058823529411,3.6161106233538183
100,101,-102486193#4,31.125,15.553571428571432
102,103,-102486193#5,7.125,0.6964285714285714
104,105,-102486231#0,194.48958333333334,380.9893640350876
106,107,-102486254#0,3.45,32.15526315789473
108,109,-102486254#2,13.80952380952381,1.661904761904762
110,111,-102486254#3,25.666666666666668,8.666666666666668
112,113,-102486268,29.0625,4.8625
114,115,-102527800,19.75,2.25
116,117,-102532387#0,8.867469879518072,1.5338444687842283
118,119,-102532387#1,21.128048780487806,6.603134819691756
120,121,-10258782,26.25,1.5833333333333324
122,123,-10258813#0,7.416666666666667,0.2651515151515151
124,125,-10258813#1,17.571428571428573,1.6190476190476186
126,127,-10258834#0,49.75,3.5833333333333317
128,129,-10258834#1,13.333333333333334,0.6666666666666663
130,131,-10258856#2,40.5,23.0
132,133,-10258856#3,44.75,28.916666666666675
136,137,-10266792#1,32.125,6.41071428571429
138,139,-10266792#2,27.625,4.839285714285714
140,141,-10266792#3,9.375,1.6964285714285723
142,143,-10266792#4,3.75,0.9166666666666666
144,145,-10266792#5,3.5,0.3333333333333333
146,147,-102684769,11.5,0.33333333333333304
152,153,-10271173,14.88888888888889,2.361111111111111
154,155,-10272054,84.75,38.54347826086957
156,157,-10272252,28.75,12.916666666666666
158,159,-10272494#0,8.466666666666667,5.123809523809526
160,161,-10272517#0,6.0,0.2857142857142857
162,163,-10274921,10.8,1.326315789473684
166,167,-10275794,9.76923076923077,1.3226773226773227
168,169,-102945288#2,21.9123595505618,28.679238789351146
170,171,-102945288#3,23.372916666666665,5.729118823938751
