from_node,to_node,edge_id,edge_tt,edge_var
2,3,-100280204#0,12.494123157894736,0.4853801169590641
4,5,-100280204#1,4.98715,0.6666666666666666
6,7,-10039481,21.713283846153846,7.0256410256410255
8,9,-10039819,27.741021875,7.495833333333332
10,11,-100405260,12.246223888888892,1.271241830065359
12,13,-100541440#2,13.046818065217392,28.68850525717534
14,15,-100541440#3,12.870346754385965,2.575284364758046
16,17,-10058489#0,18.95117,2.0
18,19,-10081209,6.649533333333334,0.4242424242424239
20,21,-10081218,63.098289130434786,46.019762845849804
22,23,-10081229,6.127070000000001,0.2857142857142857
24,25,-10081232#0,5.63931576923077,0.3953846153846154
26,27,-10081232#1,6.233937500000001,0.3863636363636363
28,29,-100832885,131.75143545454546,197.0409731113957
30,31,-10098785#10,21.31795305084746,12.081993336230616
32,33,-10098785#3,16.65633105263158,12.514923672818396
34,35,-10098785#4,16.889368389261747,3.400870669327044
36,37,-10098785#9,20.310499380530974,12.643963337547408
38,39,-10099393,16.926535970149253,4.4201548647738775
40,41,-1011477795,1.5345076923076921,0.2692307692307693
42,43,-101290089#2,23.331188695652177,88.70355731225298
44,45,-101290089#3,14.961450000000001,4.666666666666667
46,47,-101290089#4,11.96916,0.9090909090909104
48,49,-101290091,10.463236274509804,1.0549019607843138
50,51,-101290092,40.833811097560975,11.465371875940978
52,53,-101290094#0,14.17038482758621,2.748563218390805
54,55,-101290094#1,9.820849230769234,1.2572115384615392
56,57,-101290094#2,12.377942786885246,1.7792349726775951
58,59,-101290094#3,14.768963508771929,2.301378446115289
60,61,-101290094#4,24.64238823529412,8.291764705882356
62,63,-101290094#5,28.94266706896552,11.596188747731404
64,65,-101290096#0,14.961450000000001,3.142857142857142
66,67,-101290096#1,28.04402023255814,6.771871539313397
68,69,-101290099,32.06321854166667,13.318705673758869
70,71,-1013117571,15.571936166097839,90.38805486665582
72,73,-101345892#0,13.278286875000001,0.8958333333333336
74,75,-101345892#1,26.182537500000002,5.071428571428574
78,79,-101345894,32.91519,10.285714285714286
80,81,-101702340#0,5.765965205479453,0.4235159817351597
82,83,-101702340#1,22.541918000000003,5.972881355932205
84,85,-10195357,2.2284353797468355,0.3576853526220613
86,87,-10210930#0,10.926392272727275,52.90259740259741
90,91,-1022564256,24.437035,4.5
92,93,-1022564256.327,19.449885000000002,4.5
94,95,-102486174#1,13.637427876106196,17.763164501349397
96,97,-102486193#2,33.8094375862069,19.37116858237549
