from_node,to_node,edge_id,edge_tt,edge_var
2,3,-100280204#0,13.0,2.6699507389162562
4,5,-100280204#1,5.0,0.36428571428571427
6,7,-10039481,21.0,7.332015810276684
8,9,-10039819,28.0,11.957142857142859
10,11,-100405260,13.0,7.467701863354036
12,13,-100541440#2,13.0,24.886348401123286
14,15,-100541440#3,13.0,2.667945814557377
16,17,-10058489#0,22.0,0.0
18,19,-10081209,7.0,0.4107142857142857
20,21,-10081218,63.5,52.28571428571429
22,23,-10081229,6.0,0.07142857142857145
24,25,-10081232#0,6.0,0.22222222222222224
26,27,-10081232#1,7.0,0.0
28,29,-100832885,131.0,192.68403852769165
30,31,-10098785#10,21.0,17.687145969498914
32,33,-10098785#3,16.0,18.288335517693323
34,35,-10098785#4,17.0,4.788312586445368
36,37,-10098785#9,20.0,12.444695508404513
38,39,-10099393,17.0,3.272569971464999
40,41,-1011477795,2.0,0.0
42,43,-101290089#2,25.0,60.99569892473119
44,45,-101290089#3,15.0,3.729166666666667
46,47,-101290089#4,12.0,1.4766666666666663
48,49,-101290091,10.0,1.0110741971207087
50,51,-101290092,40.0,20.995004995004987
52,53,-101290094#0,14.0,2.276334942158891
54,55,-101290094#1,10.0,1.8144504390140692
56,57,-101290094#2,12.0,1.5676207513416818
58,59,-101290094#3,15.0,2.249448428019856
60,61,-101290094#4,25.0,6.214223222097233
62,63,-101290094#5,29.0,19.462267193420953
64,65,-101290096#0,14.0,2.1958333333333324
66,67,-101290096#1,28.0,7.699472096530919
68,69,-101290099,33.0,9.275308641975304
70,71,-1013117571,12.0,87.0318087906524
72,73,-101345892#0,14.0,3.5777777777777766
74,75,-101345892#1,25.0,8.313090418353582
78,79,-101345894,31.0,29.714285714285715
80,81,-101702340#0,6.0,0.690239625949737
82,83,-101702340#1,22.0,4.543434343434343
84,85,-10195357,2.0,0.27721793542938317
86,87,-10210930#0,8.0,89.82758620689656
88,89,-10210930#1,28.0,1.5833333333333324
90,91,-1022564256,24.0,15.000000000000007
92,93,-1022564256.327,19.0,10.0
94,95,-102486174#1,13.0,26.845275061804422
96,97,-102486193#2,34.0,20.024832701765696
98,99,-102486193#3,14.0,4.61893746822572
100,101,-102486193#4,29.0,19.272038712392167
102,103,-102486193#5,6.0,0.5061708860759493
104,105,-102486231#0,202.0,371.8107088331512
106,107,-102486254#0,4.0,7350.3314591518765
108,109,-102486254#2,14.0,9328.066183443976
110,111,-102486254#3,26.0,5.791118421052633
112,113,-102486268,26.0,10.16324324324324
114,115,-102527800,20.0,0.6999999999999997
116,117,-102532387#0,9.0,5.968142652972624
118,119,-102532387#1,22.0,6.217677764388021
120,121,-10258782,29.0,7.521256038647346
122,123,-10258813#0,7.0,0.5833333333333331
124,125,-10258813#1,18.5,2.4108734402852052
126,127,-10258834#0,48.5,149.58333333333334
128,129,-10258834#1,15.0,3.1576086956521734
130,131,-10258856#2,33.0,24.04166666666667
132,133,-10258856#3,41.0,9.517316017316015
134,135,-10266792#0,15.5,749.644927536232
136,137,-10266792#1,33.0,6.0256410256410255
138,139,-10266792#2,29.0,8.17641129032258
140,141,-10266792#3,8.0,0.7099999999999995
142,143,-10266792#4,4.0,0.3823529411764707
144,145,-10266792#5,3.0,0.08695652173913042
146,147,-102684769,11.0,0.4
148,149,-10271170#0,18.0,5.460000000000001
150,151,-10271170#1,14.0,2.534391534391534
152,153,-10271173,15.0,52.81384615384614
154,155,-10272054,82.0,94.75576036866363
156,157,-10272252,30.0,6.873517786561266
158,159,-10272494#0,9.0,6.760912698412699
160,161,-10272517#0,6.0,5.129166666666666
162,163,-10274921,11.0,1.6377104377104372
164,165,-10274922,33.5,14.000000000000002
166,167,-10275794,10.0,1.5764018070688268
168,169,-102945288#2,24.0,108.2587721044519
170,171,-102945288#3,24.0,6.479499293357548
174,175,-102947004,10.5,0.33333333333333304
176,177,-102984483,7.0,2.3603118532235707
178,179,-103012039#0,14.5,2.9090909090909083
180,181,-103012039#1,10.5,1.4545454545454546
182,183,-103012039#2,7.0,0.7034632034632035
184,185,-103012044#0,19.0,4.749999999999998
186,187,-103012044#1,14.0,1.5955882352941184
188,189,-103012045,35.0,15.091596638655451
190,191,-103027592,19.0,3.2095238095238097
192,193,-10303261,29.0,7.300865800865806
194,195,-10303507,19.0,4.68253968253968
196,197,-10303731,12.0,1.1798029556650251
198,199,-10303737#0,7.0,0.5681818181818181
200,201,-10303737#1,18.0,1.9285714285714288
202,203,-10303802#0,12.0,10.901010101010101
204,205,-10303802#1,4.0,0.2857142857142857
206,207,-10303825,33.0,14.03571428571428
208,209,-10307191,55.0,28.691994572591586
210,211,-10307242,39.0,15.737820512820507
212,213,-10307320#0,33.5,10.81060606060606
214,215,-10307320#1,8.0,0.7740863787375418
216,217,-10307356#0,20.0,4.578494623655913
218,219,-10307356#1,30.5,8.112554112554113
220,221,-10307375#0,6.0,18.13780487804878
222,223,-103096147#0,5.0,0.4189723320158103
224,225,-103096147#1,17.0,1.6190476190476204
226,227,-103096147#2,32.0,19.11111111111112
228,229,-103136604#1,16.0,3.218824653607262
230,231,-103136604#2,7.0,1.0382302405498278
232,233,-103136607#0,18.5,2.9166666666666665
234,235,-103136607#1,16.0,2.775155279503106
236,237,-103136613,32.0,11.647985347985346
238,239,-103141581#0,22.0,40.46846846846848
240,241,-103141581#1,26.0,6.760912698412696
242,243,-103141581#2,34.0,14.018082788671023
244,245,-103141583#0,8.0,1.024547283702213
246,247,-103141583#1,19.0,3.3513548387096774
248,249,-103141583#2,18.0,3.2041836356904874
250,251,-103141585#0,18.0,3.4460602855631954
252,253,-103141585#1,19.0,3.773109243697477
254,255,-103141585#2,8.0,0.6545454545454548
256,257,-103141585#3,29.0,11.337149672033394
258,259,-103141585#4,33.5,24.06183310533516
260,261,-103141587#0,23.0,5.459080601937741
262,263,-103141587#1,34.0,19.151621044457396
264,265,-103141587#2,26.0,5.087922705314009
266,267,-103141587#3,23.0,27.56916803830615
268,269,-1031838776,10.0,2.9521329365079385
270,271,-1031838777,4.0,0.36284722222222204
272,273,-1031838778,12.0,1.6302259887005641
274,275,-103258836#0,20.0,5.3223684210526345
276,277,-103258836#1,37.5,17.806243154435926
278,279,-103293007#0,23.0,5.606060606060608
280,281,-103293007#1,12.5,1.8402298850574712
282,283,-103295134#0,19.0,4.889784946236559
284,285,-103295134#1,24.0,12.939209726443764
286,287,-103385574,20.0,1.3571428571428565
288,289,-103405406#0,14.0,1.748571428571429
290,291,-103405406#1,10.0,0.874825174825175
292,293,-103405406#2,10.0,0.717948717948718
294,295,-103405406#3,18.5,9.0914095320875
296,297,-103405409#0,32.0,8.91397849462364
298,299,-103405409#1,34.0,15.390476190476184
300,301,-103405409#2,20.0,3.7826086956521747
302,303,-103405409#3,21.5,5.0851449275362315
304,305,-103405409#4,34.5,5.212121212121214
306,307,-103405410,41.0,6.163742690058481
308,309,-103405413#0,31.5,4.992424242424243
310,311,-103405413#1,19.0,3.9523809523809526
312,313,-103405413#2,20.0,4.238095238095238
314,315,-103405415#0,38.0,18.352941176470587
316,317,-103405415#1,12.0,5.267857142857143
318,319,-103405415#2,15.0,3.0277777777777772
320,321,-103405417#0,40.0,0.0
322,323,-103405417#1,13.0,0.0
324,325,-103405421#0,27.0,8.777777777777779
326,327,-103405421#1,36.0,44.14492753623186
328,329,-103405422#0,22.0,5.985294117647057
330,331,-103405422#1,14.5,2.2045454545454546
332,333,-103405422#2,12.0,1.1666666666666676
334,335,-103405422#3,14.0,1.3246753246753247
336,337,-103405422#4,16.0,3.0806451612903243
338,339,-103406017#0,41.0,16.345454545454547
340,341,-103406017#1,28.5,5.884210526315791
342,343,-103406018#0,17.0,3.4102564102564097
344,345,-103406018#1,14.0,2.4675324675324672
346,347,-103406018#2,14.0,0.872727272727273
348,349,-103406018#3,15.5,2.166666666666666
350,351,-103406018#4,6.0,0.3222222222222222
352,353,-103406018#5,12.0,1.3104575163398695
354,355,-103453514#0,48.5,23.13926607563685
356,357,-103453514#1,7.0,0.40792838874680315
358,359,-103453514#2,10.0,0.9337662337662341
360,361,-103453514#3,7.0,0.4036734693877553
362,363,-103453514#4,10.0,1.0814536340852132
364,365,-103453514#5,11.0,1.465945945945947
366,367,-103453524,38.0,14.395856223512778
368,369,-103499522#0,18.0,3.9696969696969706
370,371,-103499522#1,24.0,6.93333333333333
372,373,-103499522#2,40.0,24.09269162210339
374,375,-103499523,18.0,4.55357142857143
376,377,-103499527#0,10.0,1.3142857142857147
378,379,-103499527#1,27.0,6.881773399014778
380,381,-103499527#2,4.0,1.4545454545454546
382,383,-103499527#3,18.0,4.77536231884058
384,385,-103500282,19.5,3.8777777777777778
388,389,-103502694#0,8.0,0.7173615857826382
390,391,-103502694#1,15.0,2.635701805474664
394,395,-103502696#1,16.5,3.533333333333333
396,397,-103502696#2,15.0,1.0666666666666664
