from_node,to_node,edge_id,edge_tt,edge_var
2,3,-100280204#0,14.2,2.1945812807881766
4,5,-100280204#1,5.0,0.33269230769230784
6,7,-10039481,24.0,5.389492753623191
8,9,-10039819,31.0,7.513833992094862
10,11,-100405260,16.0,5.3503521126760605
12,13,-100541440#2,19.0,23.791712656830697
14,15,-100541440#3,15.0,2.9078509798002705
18,19,-10081209,7.0,0.26785714285714285
20,21,-10081218,65.0,18.204545454545453
22,23,-10081229,6.0,0.0
24,25,-10081232#0,7.0,0.4625
26,27,-10081232#1,7.0,0.0
28,29,-100832885,153.3,192.54807869093565
30,31,-10098785#10,28.0,19.18314176245211
32,33,-10098785#3,23.0,18.070289657323297
34,35,-10098785#4,19.0,3.8249042980299373
36,37,-10098785#9,26.0,14.711787596670108
38,39,-10099393,19.0,3.883714521906864
40,41,-1011477795,2.0,0.0
42,43,-101290089#2,38.5,99.6785714285714
44,45,-101290089#3,16.5,2.462499999999999
46,47,-101290089#4,13.0,0.9492753623188398
48,49,-101290091,12.0,0.9217391304347825
50,51,-101290092,46.0,29.691049382716045
52,53,-101290094#0,16.0,2.6928050928891714
54,55,-101290094#1,11.0,1.4435185185185186
56,57,-101290094#2,14.0,1.9807894046682404
58,59,-101290094#3,17.0,3.817987567987566
60,61,-101290094#4,29.0,5.6125863704105114
62,63,-101290094#5,36.900000000000006,20.920021470746107
64,65,-101290096#0,16.0,2.2424242424242427
66,67,-101290096#1,32.800000000000004,8.152394775036283
68,69,-101290099,36.900000000000006,14.035531466425773
70,71,-1013117571,34.0,113.70469210758459
72,73,-101345892#0,16.0,2.225000000000001
74,75,-101345892#1,28.0,4.98397435897436
78,79,-101345894,41.0,17.928571428571438
80,81,-101702340#0,6.0,0.46971153846153846
82,83,-101702340#1,26.0,5.95567375886525
84,85,-10195357,3.0,0.296234436683875
86,87,-10210930#0,25.0,90.73978494623654
88,89,-10210930#1,29.0,2.25
90,91,-1022564256,28.0,5.099415204678364
92,93,-1022564256.327,22.0,3.589473684210526
94,95,-102486174#1,20.0,24.78314792087306
96,97,-102486193#2,40.0,16.65562106918239
98,99,-102486193#3,16.0,3.8669261822376035
100,101,-102486193#4,36.0,20.810328091632698
102,103,-102486193#5,7.200000000000003,0.5656281920326864
104,105,-102486231#0,230.0,404.81241649533087
106,107,-102486254#0,304.0,13484.337459475382
