,from_node,to_node,edge_tt,edge_var,distance
1,12.0,13.0,9.65,0.0,100.22
2,14.0,15.0,11.25,0.0,146.36
3,28.0,29.0,124.2,0.0,985.91
4,32.0,33.0,10.54,0.0,85.85
5,34.0,35.0,11.53,0.0,92.28
6,36.0,37.0,21.42,0.0,122.3
7,52.0,53.0,13.1,0.0,94.73
8,70.0,71.0,8.27,0.0,108.81
9,104.0,105.0,180.86,0.0,1508.12
10,168.0,169.0,16.33,0.0,216.12
11,170.0,171.0,18.98,0.0,257.92
12,176.0,177.0,5.69,0.0,61.87
13,188.0,189.0,31.77,0.0,261.11
14,228.0,229.0,13.35,0.0,105.1
15,230.0,231.0,5.79,0.0,43.03
16,244.0,245.0,9.27,0.0,48.79
17,246.0,247.0,15.64,0.0,128.27
18,250.0,251.0,16.83,0.0,124.7
19,252.0,253.0,16.5,0.0,129.62
20,254.0,255.0,6.01,0.0,46.71
21,256.0,257.0,25.14,0.0,205.56
22,258.0,259.0,33.39,0.0,225.51
23,260.0,261.0,27.11,0.0,161.16
24,262.0,263.0,33.71,0.0,254.73
25,284.0,285.0,19.35,0.0,142.03
26,586.0,587.0,13.08,0.0,96.52
27,658.0,659.0,4.95,0.0,41.57
28,682.0,683.0,11.44,0.0,118.63
29,690.0,691.0,22.5,0.0,164.6
30,692.0,693.0,6.44,0.0,52.41
31,694.0,695.0,6.79,0.0,52.57
32,696.0,697.0,5.51,0.0,40.16
33,698.0,699.0,11.09,0.0,61.2
34,702.0,703.0,17.24,0.0,139.36
35,710.0,711.0,9.14,0.0,101.21
36,732.0,733.0,2.2,0.0,8.09
37,734.0,735.0,12.89,0.0,127.56
38,792.0,793.0,11.3,0.0,35.39
39,794.0,795.0,15.32,0.0,164.22
40,810.0,811.0,3.84,0.0,27.59
41,816.0,817.0,0.97,0.0,6.9
42,824.0,825.0,12.33,0.0,104.54
43,830.0,831.0,51.98,0.0,719.18
44,872.0,873.0,20.83,0.0,148.55
,874.0,875.0,30.66,0.0,220.58
,916.0,917.0,8.07,0.0,65.51
,934.0,935.0,20.59,0.0,171.6
,938.0,939.0,9.25,0.0,68.48
,940.0,941.0,13.37,0.0,67.63
,942.0,943.0,15.8,0.0,199.81
,984.0,985.0,56.09,0.0,360.42
,986.0,987.0,6.44,0.0,50.77
,1006.0,1007.0,40.43,0.0,306.01
,1016.0,1017.0,28.67,0.0,332.63
,1060.0,1061.0,10.08,0.0,81.72
,1076.0,1077.0,23.55,0.0,132.84
,1092.0,1093.0,10.89,0.0,91.11
,1094.0,1095.0,22.71,0.0,197.13
,1096.0,1097.0,28.19,0.0,385.8
,1102.0,1103.0,5.82,0.0,72.89
,1132.0,1133.0,6.49,0.0,81.52
,1140.0,1141.0,2.5,0.0,33.75
,1236.0,1237.0,2.38,0.0,25.06
,1346.0,1347.0,23.17,0.0,282.93
,1590.0,1591.0,16.07,0.0,151.37
,1710.0,1711.0,13.36,0.0,108.07
,1712.0,1713.0,9.0,0.0,35.19
,1758.0,1759.0,42.52,0.0,318.02
,1760.0,1761.0,23.57,0.0,168.35
,1788.0,1789.0,1.33,0.0,17.54
,1790.0,1791.0,1.13,0.0,13.4
,1802.0,1803.0,32.66,0.0,270.99
,1804.0,1805.0,6.82,0.0,46.81
,1818.0,1819.0,28.38,0.0,204.98
,1832.0,1833.0,17.19,0.0,34.34
,1862.0,1863.0,16.76,0.0,211.46
,1864.0,1865.0,18.02,0.0,251.72
,1978.0,1979.0,14.33,0.0,89.49
,1994.0,1995.0,8.61,0.0,109.09
,1996.0,1997.0,5.17,0.0,72.02
,1998.0,1999.0,12.43,0.0,171.29
,2004.0,2005.0,6.21,0.0,84.12
,2006.0,2007.0,8.07,0.0,101.44
,2008.0,2009.0,11.7,0.0,141.72
,2010.0,2011.0,16.61,0.0,226.58
,2012.0,2013.0,16.42,0.0,200.71
,2014.0,2015.0,11.58,0.0,121.13
,2016.0,2017.0,11.08,0.0,149.44
,2024.0,2025.0,12.43,0.0,90.83
,2026.0,2027.0,3.82,0.0,44.49
,2028.0,2029.0,9.93,0.0,72.27
,2030.0,2031.0,14.9,0.0,89.27
,2032.0,2033.0,11.61,0.0,87.92
,2042.0,2043.0,19.08,0.0,158.81
