from_node,to_node,edge_tt,distance,edge_var
8.0,9.0,21.46,203.69,0.0
12.0,13.0,10.26,100.22,0.0
14.0,15.0,10.56,146.36,0.0
30.0,31.0,14.44,121.69,0.0
32.0,33.0,12.85,85.85,0.0
34.0,35.0,10.94,92.28,0.0
36.0,37.0,14.56,122.3,0.0
38.0,39.0,12.83,110.95,0.0
52.0,53.0,12.96,94.73,0.0
54.0,55.0,7.96,57.66,0.0
56.0,57.0,11.19,81.51,0.0
58.0,59.0,13.82,97.97,0.0
60.0,61.0,24.65,177.16,0.0
70.0,71.0,10.29,108.81,0.0
84.0,85.0,1.42,18.6,0.0
94.0,95.0,7.46,91.9,0.0
96.0,97.0,33.88,226.33,0.0
104.0,105.0,191.98,1508.12,0.0
116.0,117.0,8.48,100.58,0.0
118.0,119.0,18.84,224.4,0.0
130.0,131.0,36.69,234.3,0.0
132.0,133.0,39.86,304.64,0.0
158.0,159.0,2.84,26.69,0.0
168.0,169.0,20.66,216.12,0.0
170.0,171.0,18.79,257.92,0.0
176.0,177.0,6.44,61.87,0.0
188.0,189.0,32.36,261.11,0.0
236.0,237.0,29.13,221.3,0.0
274.0,275.0,17.01,141.42,0.0
276.0,277.0,35.08,264.42,0.0
294.0,295.0,13.13,99.03,0.0
314.0,315.0,37.72,304.68,0.0
316.0,317.0,8.99,75.29,0.0
318.0,319.0,14.5,94.0,0.0
320.0,321.0,42.63,283.05,0.0
322.0,323.0,10.98,69.1,0.0
338.0,339.0,43.32,301.51,0.0
340.0,341.0,27.88,210.69,0.0
350.0,351.0,3.79,30.27,0.0
352.0,353.0,8.97,70.73,0.0
362.0,363.0,7.36,60.7,0.0
364.0,365.0,8.81,70.23,0.0
366.0,367.0,39.96,283.62,0.0
550.0,551.0,15.75,114.48,0.0
552.0,553.0,4.09,33.57,0.0
582.0,583.0,4.24,56.23,0.0
584.0,585.0,1.25,4.12,0.0
586.0,587.0,22.89,96.52,0.0
598.0,599.0,69.66,529.75,0.0
602.0,603.0,75.42,617.94,0.0
612.0,613.0,28.15,224.8,0.0
634.0,635.0,2.58,38.72,0.0
636.0,637.0,1.57,10.98,0.0
650.0,651.0,16.76,98.0,0.0
658.0,659.0,6.06,41.57,0.0
668.0,669.0,0.95,8.14,0.0
712.0,713.0,14.14,122.89,0.0
732.0,733.0,2.23,8.09,0.0
740.0,741.0,23.22,279.64,0.0
792.0,793.0,11.15,35.39,0.0
794.0,795.0,12.37,164.22,0.0
824.0,825.0,14.22,104.54,0.0
830.0,831.0,64.43,719.18,0.0
834.0,835.0,12.01,99.9,0.0
840.0,841.0,9.58,71.89,0.0
932.0,933.0,12.64,94.93,0.0
934.0,935.0,24.18,171.6,0.0
940.0,941.0,7.74,67.63,0.0
942.0,943.0,14.91,199.81,0.0
982.0,983.0,16.85,134.88,0.0
984.0,985.0,46.71,360.42,0.0
1070.0,1071.0,21.17,147.05,0.0
1074.0,1075.0,20.84,152.38,0.0
1102.0,1103.0,6.22,72.89,0.0
1132.0,1133.0,5.97,81.52,0.0
1140.0,1141.0,2.8,33.75,0.0
1178.0,1179.0,8.62,64.52,0.0
1200.0,1201.0,4.51,41.08,0.0
1236.0,1237.0,2.04,25.06,0.0
1250.0,1251.0,39.23,529.32,0.0
1254.0,1255.0,16.31,208.3,0.0
1258.0,1259.0,8.24,66.96,0.0
1346.0,1347.0,22.58,282.93,0.0
1592.0,1593.0,0.47,4.22,0.0
1654.0,1655.0,31.01,254.45,0.0
1706.0,1707.0,5.66,29.46,0.0
1708.0,1709.0,28.59,239.77,0.0
1710.0,1711.0,15.29,108.07,0.0
1712.0,1713.0,6.77,35.19,0.0
1720.0,1721.0,18.37,120.71,0.0
1730.0,1731.0,67.63,863.43,0.0
1732.0,1733.0,7.81,32.39,0.0
1740.0,1741.0,8.28,101.75,0.0
1742.0,1743.0,8.7,108.63,0.0
1744.0,1745.0,16.45,206.35,0.0
1746.0,1747.0,9.43,117.7,0.0
1758.0,1759.0,41.28,318.02,0.0
1762.0,1763.0,31.46,222.74,0.0
1764.0,1765.0,21.13,149.56,0.0
1770.0,1771.0,16.26,148.39,0.0
1772.0,1773.0,8.66,73.98,0.0
1774.0,1775.0,3.97,36.86,0.0
1776.0,1777.0,9.52,85.83,0.0
1778.0,1779.0,7.25,60.28,0.0
1780.0,1781.0,8.44,71.94,0.0
1782.0,1783.0,9.03,71.27,0.0
1784.0,1785.0,10.03,73.48,0.0
1786.0,1787.0,51.71,389.2,0.0
1788.0,1789.0,3.76,17.54,0.0
1790.0,1791.0,3.19,13.4,0.0
1802.0,1803.0,29.02,270.99,0.0
1806.0,1807.0,24.88,209.64,0.0
1808.0,1809.0,9.38,76.24,0.0
