from_node,to_node,edge_id,edge_tt,edge_var
2,3,-100280204#0,12.1284,2.2666666666666666
4,5,-100280204#1,2.7288,0.0
8,9,-10039819,29.3436,0.0
10,11,-100405260,11.5848,1.3076923076923075
12,13,-100541440#2,8.658,15.76272727272727
14,15,-100541440#3,12.644400000000001,2.3580810965162766
16,17,-10058489#0,18.481199999999998,2.09090909090909
18,19,-10081209,5.6724000000000006,0.25000000000000006
20,21,-10081218,65.7708,32.0910384068279
22,23,-10081229,2.0412,0.0
24,25,-10081232#0,2.6868,0.24999999999999992
28,29,-100832885,142.0284,166.10396825396833
30,31,-10098785#10,17.5308,4.089743589743594
32,33,-10098785#3,12.367199999999999,12.05411764705882
34,35,-10098785#4,13.2936,2.963709677419352
36,37,-10098785#9,17.6184,17.849753694581278
38,39,-10099393,15.982800000000001,2.4952406134320464
40,41,-1011477795,1.1927999999999999,0.0
42,43,-101290089#2,15.859199999999998,104.6060606060606
46,47,-101290089#4,10.2948,1.5833333333333333
48,49,-101290091,9.126,1.3833992094861658
50,51,-101290092,43.0056,13.685714285714287
52,53,-101290094#0,13.6464,1.6646464646464645
54,55,-101290094#1,8.3064,0.4935064935064937
56,57,-101290094#2,11.741999999999999,0.4415584415584418
58,59,-101290094#3,14.113199999999999,1.0389610389610389
60,61,-101290094#4,25.5216,1.4499999999999995
62,63,-101290094#5,28.8024,3.9636363636363647
66,67,-101290096#1,29.266799999999996,4.694444444444442
68,69,-101290099,34.105199999999996,17.694736842105264
70,71,-1013117571,9.400799999999998,82.08172798216277
72,73,-101345892#0,12.6492,4.992424242424242
74,75,-101345892#1,26.179199999999998,13.666666666666666
78,79,-101345894,32.568,13.666666666666671
80,81,-101702340#0,3.8087999999999997,0.3589743589743591
82,83,-101702340#1,22.733999999999998,6.78787878787879
84,85,-10195357,1.6068,0.21557211613103555
86,87,-10210930#0,5.6688,16.75
88,89,-10210930#1,28.159200000000002,21.583333333333332
90,91,-1022564256,27.6912,6.57142857142857
92,93,-1022564256.327,20.849999999999998,3.9523809523809526
94,95,-102486174#1,7.9392,15.095475241889586
96,97,-102486193#2,32.604,11.321951219512197
98,99,-102486193#3,11.831999999999999,2.0799703813402433
100,101,-102486193#4,28.076399999999996,13.333333333333334
102,103,-102486193#5,5.4516,0.4444444444444444
104,105,-102486231#0,217.25639999999999,490.47268604411465
106,107,-102486254#0,0.5544,0.4315789473684209
108,109,-102486254#2,13.368,1.221052631578947
110,111,-102486254#3,27.2268,4.699999999999999
112,113,-102486268,27.8964,2.923076923076923
114,115,-102527800,18.5676,0.25
