from_node,to_node,source_edge_id,number_of_usable_lanes,travel_time,distance,connecting_edges
0,1,-1009190409#0,1,1.378,19.14,
2,3,-1009190409#1,1,1.04,14.45,
4,5,-1009190409#2,1,3.465,48.13,
6,7,-1011550312#1,1,0.515,7.16,
8,9,-1011550312#2,1,0.014,0.2,
10,11,-1011550313#0,1,4.063,56.44,
12,13,-1011550313#1,1,0.714,9.92,
14,15,-1011550313#2,1,1.9,26.39,
16,17,-101359799#1,1,5.419,75.27,
18,19,-101359799#2,1,2.926,40.64,
20,21,-101359799#3,1,1.775,24.65,
22,23,-1013866703,1,8.486,23.59,
24,25,-1029361017#1,1,12.85,107.04,
26,27,-1031379293#0,1,1.226,10.21,
28,29,-1031379293#1,1,0.024,0.2,
30,31,-1031379293#3,1,4.974,41.43,
32,33,-1031379294#1,1,3.477,48.29,
34,35,-1031706981#0,1,0.538,4.48,
36,37,-104405209#1,1,3.568,49.56,
38,39,-104405210#0,1,7.298,60.79,
40,41,-1047454053,1,4.561,37.99,
42,43,-104821491#0,1,2.228,30.95,
44,45,-104821491#1,1,2.477,34.41,
46,47,-104821491#2,1,2.369,32.91,
48,49,-104821491#3,1,2.194,30.48,
50,51,-104821491#4,1,2.122,29.47,
52,53,-104821491#5,1,0.77,10.69,
54,55,-1049699801#0,1,2.144,17.86,
56,57,-1050809452#0,1,0.541,7.52,
58,59,-1050809452#1,1,1.957,27.18,
60,61,-1051042921,1,0.045,0.62,
62,63,-1052726233,1,18.275,152.23,
64,65,-1056044838,1,3.112,25.92,
66,67,-1059952450#0,1,0.024,0.2,
68,69,-1059952450#1,1,0.112,0.93,
70,71,-1059952451,1,6.592,54.91,
72,73,-1059952452,1,0.064,0.53,
74,75,-1059959971#0,1,1.152,9.6,
76,77,-1059959972#0,1,7.3,60.81,
78,79,-1059959973#0,1,6.457,53.79,
80,81,-1059959974#0,1,1.09,9.08,
82,83,-1059959975#1,1,2.99,24.91,
84,85,-1059959975#2,1,2.921,24.33,
86,87,-1060490109#0,1,1.812,15.09,
88,89,-1060490109#1,1,0.289,2.41,
90,91,-1061155061,1,6.754,56.26,
92,93,-106412904#0,3,0.583,8.1,
94,95,-106412904#1,3,0.014,0.2,
96,97,-106412904#2,3,0.202,2.8,
98,99,-1066019131#0,1,1.632,22.67,
100,101,-1066019132,1,2.056,28.56,
102,103,-1073733970#1,1,1.431,11.92,
104,105,-1073733970#2,1,7.618,63.46,
106,107,-1073733970#3,1,0.256,2.13,
108,109,-107440946#0,1,3.18,26.49,
110,111,-107440946#2,1,1.946,16.21,
112,113,-107440946#3,1,4.752,39.58,
114,115,-107440946#4,1,10.377,86.44,
116,117,-1075829175,1,3.489,48.46,
118,119,-1075829183#1,1,1.842,25.58,
120,121,-1076894533,1,0.024,0.2,
122,123,-1078663441,1,8.702,72.49,
124,125,-1078663652,1,6.52,54.31,
126,127,-1078663668,1,0.623,8.65,
128,129,-1079997538#0,1,6.672,55.58,
130,131,-1079997538#1,1,1.182,9.85,
132,133,-1079997538#2,1,3.053,25.43,
134,135,-1079997538#3,1,4.753,39.59,
136,137,-1083522482#0,1,4.435,36.94,
138,139,-1083522483#0,1,7.474,62.26,
140,141,-1083522484#2,1,3.382,28.17,
142,143,-1083522485,1,3.126,26.04,
144,145,-1083772900#0,1,4.611,38.41,
146,147,-1091914557#1,1,9.911,82.56,
148,149,-1091914558#1,1,12.46,103.79,
150,151,-1091914561#1,1,2.61,21.74,
152,153,-1091960699#0,1,1.7,14.16,
154,155,-1091960699#1,1,2.034,16.94,
156,157,-1091960699#2,1,0.024,0.2,
158,159,-1091960700#0,1,9.771,81.39,
160,161,-1091960700#1,1,0.024,0.2,
162,163,-1091960707#1,1,3.568,29.72,
164,165,-1091960707#2,1,4.161,34.66,
166,167,-1091960707#3,1,0.788,6.56,
168,169,-1091960707#4,1,0.101,0.84,
170,171,-1091960707#5,1,0.785,6.54,
172,173,-1091960707#6,1,1.892,15.76,
174,175,-1091960707#7,1,0.114,0.95,
176,177,-1091960708#2,1,0.024,0.2,
178,179,-1091960708#3,1,1.987,16.55,
180,181,-1091960708#4,1,2.771,23.08,
182,183,-1091960708#5,1,0.271,2.26,
184,185,-1091961623,1,4.376,36.45,
186,187,-1091961648,1,10.966,91.35,
188,189,-1093316378#1,1,1.851,15.42,
190,191,-1093316379#0,1,15.132,126.05,
192,193,-1093795367#1,1,0.993,8.27,
194,195,-1093795367#2,1,1.992,16.59,
196,197,-109754456#0,2,0.007,0.1,
198,199,-109754456#1,2,1.688,23.45,
200,201,-109754456#2,2,0.014,0.2,
202,203,-109754456#3,2,0.075,1.04,
204,205,-109860640#0,1,9.199,127.78,
206,207,-109860640#1,1,12.593,174.91,
208,209,-109860646,2,4.698,65.25,
210,211,-1098613985#0,1,1.612,13.43,
212,213,-1098614014#1,2,1.958,27.2,
214,215,-1098614014#2,2,0.922,12.81,
216,217,-1098614014#3,2,1.663,23.1,
218,219,-1098926674#0,1,20.349,169.51,
220,221,-1098926674#1,1,7.192,59.91,
222,223,-1103306569#1,1,2.932,24.42,
224,225,-1103306569#2,1,1.187,9.89,
226,227,-1103306569#3,1,1.148,9.56,
228,229,-1103306569#4,1,0.325,2.71,
230,231,-1103306570#0,1,0.67,5.58,
232,233,-1103306570#1,1,0.622,5.18,
234,235,-1103431555#0,1,0.681,5.67,
236,237,-1103431555#1,1,1.906,15.88,
238,239,-1103431556#0,1,2.448,20.39,
240,241,-1103644159#0,1,0.024,0.2,
242,243,-1103644159#2,1,1.528,12.73,
244,245,-1103644166,1,1.327,11.05,
246,247,-1103644276#0,1,0.024,0.2,
248,249,-1103644287,1,2.659,22.15,
250,251,-1103644332#1,1,13.392,37.23,
252,253,-110414335#0,1,3.529,29.4,
254,255,-110414335#1,1,4.758,39.63,
256,257,-1104447574#0,1,1.742,14.51,
258,259,-1104447574#1,1,1.742,14.51,
260,261,-1105486997,1,1.301,10.84,
262,263,-1107420806#0,1,4.096,34.12,
264,265,-1107420806#1,1,11.061,92.14,
266,267,-1107420806#2,1,1.61,13.41,
268,269,-1110497124#0,2,0.862,11.97,
270,271,-1110497124#2,2,2.012,27.95,
272,273,-1112096117,1,1.569,13.07,
274,275,-1112105427#0,1,14.753,122.89,
276,277,-1112105427#1,1,7.824,65.17,
278,279,-1112315583#1,1,3.706,30.87,
280,281,-1112315583#2,1,1.541,12.84,
282,283,-1112315583#3,1,2.95,24.57,
284,285,-1113041312#0,1,5.393,44.92,
286,287,-1113041312#1,1,0.836,6.96,
288,289,-111628106#0,1,0.767,10.65,
290,291,-111628106#2,1,1.549,21.51,
292,293,-111636189#1,1,3.258,45.25,
294,295,-111636189#10,1,2.644,36.72,
296,297,-111636189#11,1,0.291,4.04,
298,299,-111636189#12,1,2.754,38.26,
300,301,-111636189#13,1,3.251,45.16,
302,303,-111636189#14,1,0.947,13.16,
304,305,-111636189#15,1,2.218,30.81,
306,307,-111636189#16,1,1.775,24.65,
308,309,-111636189#3,1,2.974,41.31,
310,311,-111636189#4,1,5.891,81.82,
312,313,-111636189#5,1,1.289,17.91,
314,315,-111636189#6,1,1.443,20.04,
316,317,-111636189#7,1,4.719,65.54,
318,319,-111636189#8,1,1.95,27.08,
320,321,-111636189#9,1,2.359,32.77,
322,323,-111636206#0,1,1.657,23.01,
324,325,-111636206#1,1,1.427,19.82,
326,327,-111636206#2,1,3.277,45.52,
328,329,-111636206#4,1,0.676,9.39,
330,331,-111636206#5,1,2.814,39.09,
332,333,-1116981912#0,1,1.139,9.49,
334,335,-1116981912#1,1,0.084,0.7,
336,337,-1116981912#2,1,3.149,26.23,
338,339,-1116981912#3,1,12.146,101.18,
340,341,-1116981963#0,1,1.965,16.37,
342,343,-1116981963#1,1,3.642,30.34,
344,345,-1116981963#2,1,0.36,3.0,
346,347,-1116981964,1,1.053,8.77,
348,349,-1116982074#0,1,7.962,66.32,
350,351,-1116982074#1,1,1.397,11.64,
352,353,-1116982074#2,1,1.921,16.0,
354,355,-1119854904#1,1,1.668,23.17,
356,357,-1119854909#1,1,0.271,3.76,
358,359,-1119854960,1,3.648,30.39,
360,361,-1119854984,1,0.014,0.2,
362,363,-1119855026#0,1,11.086,153.99,
364,365,-112297307#0,1,11.228,93.53,
366,367,-112297307#1,1,1.461,12.17,
368,369,-112297307#2,1,2.205,18.37,
370,371,-112297307#3,1,0.761,6.34,
372,373,-112297307#4,1,2.599,21.65,
374,375,-112297307#5,1,6.938,57.79,
376,377,-112297307#6,1,18.007,150.0,
378,379,-112297309#0,1,1.03,8.58,
380,381,-112297309#1,1,0.245,2.04,
382,383,-112297309#10,1,2.45,20.41,
384,385,-112297309#11,1,2.206,18.38,
386,387,-112297309#14,1,3.181,26.5,
388,389,-112297309#16,1,3.193,26.6,
390,391,-112297309#17,1,3.663,30.51,
392,393,-112297309#3,1,4.01,33.4,
394,395,-112297309#4,1,3.86,32.15,
396,397,-112297309#5,1,3.503,29.18,
398,399,-112297309#8,1,2.61,21.74,
400,401,-112297309#9,1,1.964,16.36,
402,403,-112602870#0,1,24.004,66.73,
404,405,-112602870#1,1,49.662,138.06,
406,407,-112602874,1,3.473,28.93,
408,409,-112602876#0,1,10.138,84.45,
410,411,-112602876#1,1,5.172,43.08,
412,413,-11284805,1,7.731,107.38,
414,415,-113054552#1,1,0.051,0.71,
416,417,-113054552#2,1,2.26,31.39,
418,419,-113054552#3,1,5.525,76.74,
420,421,-113054552#5,1,0.723,10.04,
422,423,-113078530#0,1,3.152,26.26,
424,425,-113078530#1,1,0.324,2.7,
426,427,-113078530#2,1,3.719,30.98,
428,429,-113078530#3,1,1.556,12.96,
430,431,-113078530#4,1,2.481,20.67,
432,433,-113078530#5,1,0.839,6.99,
434,435,-113078530#6,1,1.778,14.81,
436,437,-113078530#7,1,0.292,2.43,
438,439,-113078530#8,1,0.702,5.85,
440,441,-113078532#0,1,0.669,5.57,
442,443,-113078532#1,1,1.641,13.67,
444,445,-1133377391,1,7.259,60.47,
446,447,-113470996#0,1,1.808,15.06,
448,449,-113470996#1,1,1.005,8.37,
450,451,-113470997,1,1.316,10.96,
452,453,-113853327,2,3.459,48.05,
454,455,-113853342#1,1,4.062,33.84,
456,457,-113853349#1,2,4.005,55.63,
458,459,-113858490#0,1,1.082,9.01,
460,461,-113858490#1,1,0.993,8.27,
462,463,-113858490#3,1,8.157,67.95,
464,465,-113858490#4,1,3.715,30.95,
466,467,-1141500747#2,1,7.812,65.07,
468,469,-1141500747#3,1,5.121,42.66,
470,471,-1141500748#0,1,0.498,4.15,
472,473,-1141500748#1,1,0.149,1.24,
474,475,-1144624279,1,11.882,98.98,
476,477,-114576829#0,1,21.691,60.3,
478,479,-114576829#1,1,10.284,28.59,
480,481,-1146782742#0,1,0.073,0.61,
482,483,-1146783332#0,1,8.64,71.97,
484,485,-1146783332#1,1,7.025,58.52,
486,487,-1146783332#2,1,10.16,84.63,
488,489,-1147623682,1,0.092,0.77,
490,491,-1147623683#0,1,1.792,14.93,
492,493,-1147623683#2,1,2.094,17.44,
494,495,-1147623683#3,1,0.038,0.32,
496,497,-1147623683#4,1,8.909,74.21,
498,499,-1147633970#0,1,1.742,24.2,
500,501,-1147633971#0,1,2.559,35.55,
502,503,-1157158088#1,1,4.132,34.42,
504,505,-1157158088#2,1,4.938,41.13,
506,507,-1157158088#3,1,2.609,21.73,
508,509,-1157158088#4,1,2.565,21.37,
510,511,-1157158088#5,1,3.661,30.5,
512,513,-1157158088#6,1,0.93,7.75,
514,515,-1157158088#7,1,0.024,0.2,
516,517,-1157158088#8,1,6.403,53.34,
518,519,-1157158088#9,1,5.978,49.8,
520,521,-1157907931#1,1,1.391,11.59,
522,523,-1157907931#2,1,6.623,55.17,
524,525,-1157907931#3,1,3.166,26.37,
526,527,-1158191459#0,1,1.631,13.59,
528,529,-1158503636#0,1,1.766,14.71,
530,531,-1158503636#1,1,11.233,93.57,
532,533,-1158503648,1,8.012,66.74,
534,535,-1158503741,1,3.234,26.94,
536,537,-1158503838#0,1,8.938,74.45,
538,539,-1158503838#1,1,2.017,16.8,
540,541,-1158503854#1,1,2.605,21.7,
542,543,-1158503860,1,4.21,35.07,
544,545,-1159196383,1,3.642,30.34,
546,547,-1159196385,1,7.074,58.93,
548,549,-1161766527,1,1.544,12.86,
550,551,-1163570031#0,1,0.629,5.24,
552,553,-1163570031#1,1,4.269,35.56,
554,555,-1163570031#2,1,8.09,67.39,
556,557,-1167566265,1,14.721,122.63,
558,559,-1167566266#0,1,5.547,46.21,
560,561,-1167566266#1,1,2.633,21.93,
562,563,-1167566266#3,1,3.304,27.52,
564,565,-1167566266#4,1,6.259,52.14,
566,567,-1170520012#0,1,2.921,24.33,
568,569,-1173248154#0,1,0.15,1.25,
570,571,-1173248154#1,1,0.498,4.15,
572,573,-1173681268#0,1,3.703,30.85,
574,575,-1173681269,1,3.788,31.55,
576,577,-1173681271,1,4.694,39.1,
578,579,-1173681272,1,0.187,1.56,
580,581,-1173681273#0,1,2.691,22.42,
582,583,-1173681273#1,1,0.685,5.71,
584,585,-1173681273#2,1,2.311,19.25,
586,587,-1173681273#3,1,1.499,12.49,
588,589,-1173681273#4,1,1.881,15.67,
590,591,-1173681276#2,1,4.679,38.98,
592,593,-1173681276#3,1,1.46,12.16,
594,595,-1173681276#4,1,0.968,8.06,
596,597,-1173681276#5,1,2.369,19.73,
598,599,-1173681276#6,1,6.396,53.28,
600,601,-1173794035#1,1,4.279,59.44,
602,603,-1174562480,1,0.916,7.63,
604,605,-1174828672#1,1,9.683,80.66,
606,607,-1175023585#0,1,0.014,0.2,
608,609,-1175023585#2,1,3.052,42.39,
610,611,-1175027831,1,3.071,25.58,
612,613,-1175366460#0,1,11.379,94.79,
614,615,-1175370229#2,1,3.206,26.71,
616,617,-1175370229#4,1,0.024,0.2,
618,619,-1175370230,1,0.265,2.21,
620,621,-1175370987#0,1,0.189,2.63,
