node_index,source_node_id,pos_x,pos_y,is_stop_only
0,cluster_6704213643_9436587876_9436587877,1070.34,4075.25,False
1,cluster_1955147_2507254541,1074.51,4045.56,False
2,cluster_9436587882_9436587883,1056.09,4101.41,False
3,cluster_6704213643_9436587876_9436587877,1070.34,4075.25,False
4,cluster_259755889_292861766,1032.0,4151.41,False
5,cluster_9436587882_9436587883,1056.09,4101.41,False
6,2615363754,3142.59,1320.59,False
7,660987177,3123.82,1311.06,False
8,cluster_3485155837_4415171276_4415171277_513761281,3153.74,1332.42,False
9,2615363754,3142.59,1320.59,False
10,cluster_4415171257_703802598,3146.66,1234.56,False
11,4415171268,3148.49,1295.15,False
12,cluster_1216417800_4415171254,3145.34,1215.27,False
13,cluster_4415171257_703802598,3146.66,1234.56,False
14,cluster_1216417625_4415171249_4415171250,3141.76,1178.06,False
15,cluster_1216417800_4415171254,3145.34,1215.27,False
16,cluster_316622976_363147,735.18,3666.89,False
17,cluster_6283439461_6283439462_6283439464,649.61,3635.53,False
18,3619394607,783.33,3692.63,False
19,cluster_316622976_363147,735.18,3666.89,False
20,cluster_251742043_2671766574_29628905,817.96,3707.61,False
21,3619394607,783.33,3692.63,False
22,9353919083,2334.18,2088.97,False
23,cluster_2967883127_7906515718,2332.74,2055.01,False
24,4416313500,626.3,1425.22,False
25,cluster_260418725_27515082,512.85,1378.3,False
26,1312813723,2015.19,1966.34,False
27,32942992,2016.24,1988.17,False
28,cluster_2867357794_2867357847,2014.2,1958.88,False
29,1312813723,2015.19,1966.34,False
30,31031626,2003.84,1906.64,False
31,cluster_2867357794_2867357847,2014.2,1958.88,False
32,3167622816,1683.67,1903.36,False
33,cluster_1216048453_27515293_389444770_389444777,1666.4,1964.78,False
34,1505064182,737.94,2846.53,False
35,1204222057,725.17,2843.13,False
36,1551606457,3955.59,1516.91,False
37,cluster_1551606451_770001903_7986994584_9738386410,3957.36,1454.02,False
38,cluster_1747939624_2882857936_2882857948_2882857949_#1more,3362.45,1114.73,False
39,158681180,3363.12,1043.94,False
40,1037235979,8068.29,3739.49,False
41,15076586,8040.85,3702.84,False
42,1278474291,978.3,2658.11,False
43,322651016,965.9,2696.8,False
44,1278474279,990.33,2620.53,False
45,1278474291,978.3,2658.11,False
46,1278474309,1001.89,2584.46,False
47,1278474279,990.33,2620.53,False
48,1278474322,1012.71,2550.66,False
49,1278474309,1001.89,2584.46,False
50,1209062589,1023.05,2517.76,False
51,1278474322,1012.71,2550.66,False
52,2272920587,1027.22,2505.34,False
53,1209062589,1023.05,2517.76,False
54,2867357824,2025.85,1850.88,False
55,826665993,2050.08,1850.99,False
56,10104419219,4421.29,1803.16,False
57,9656371829,4418.12,1789.48,False
58,4192181706,4428.05,1832.35,False
59,10104419219,4421.29,1803.16,False
60,1242150720,1027.93,4151.59,False
61,cluster_259755889_292861766,1032.0,4151.41,False
62,21474419,2166.87,271.2,False
63,26821145,2138.21,427.27,False
64,27223724,2991.02,2950.78,False
65,27223719,2986.16,2987.35,False
66,cluster_3059963473_3059963493,3718.69,1587.02,False
67,1807553855,3727.37,1587.03,False
68,1807553889,3719.61,1598.29,False
69,cluster_3059963473_3059963493,3718.69,1587.02,False
70,1807553855,3727.37,1587.03,False
71,444004136,3784.56,1577.22,False
72,444004136,3784.56,1577.22,False
73,32956238,3791.02,1571.77,False
74,cluster_1551606446_7986994582,4116.64,1408.7,False
75,1551606447,4127.07,1425.27,False
76,1551606454,4143.96,1483.29,False
77,158319566,4083.46,1506.84,False
78,158319566,4083.46,1506.84,False
79,1551606460,4026.26,1524.82,False
80,1551606460,4026.26,1524.82,False
81,442310359,4017.31,1517.55,False
82,3060545032,4006.33,1485.57,False
83,cluster_1551606450_7986994583,3993.84,1449.15,False
84,442310359,4017.31,1517.55,False
85,3060545032,4006.33,1485.57,False
86,8564928437,2978.44,2146.78,False
87,31728107,2971.03,2119.9,False
88,31728109,2982.25,2158.12,False
89,8564928437,2978.44,2146.78,False
90,15688105,5032.58,1079.93,False
91,15688106,5060.96,1144.31,False
92,8936703856,2423.0,3144.28,False
93,cluster_103584819_1223056846_1223056882_1223056891_#10more,2399.73,3165.57,False
94,2925245790,2428.88,3138.52,False
95,8936703856,2423.0,3144.28,False
96,6767443299,2437.89,3129.6,False
97,2925245790,2428.88,3138.52,False
98,16147817,7628.08,1972.23,False
99,264897079,7651.39,1944.57,False
100,cluster_15327553_2007374442_7791477452,7596.98,2003.91,False
101,16147817,7628.08,1972.23,False
102,8761906668,3926.63,732.66,False
103,cluster_1077285035_1077285170_8761906678_9849388789,3901.89,740.65,False
104,794876262,3994.08,711.4,False
105,8761906668,3926.63,732.66,False
106,cluster_21675413_794876302,4003.85,703.15,False
107,794876262,3994.08,711.4,False
108,cluster_15076577_2966890488,7929.45,3558.81,False
109,1234800871,7899.52,3525.98,False
110,2982458777,7947.62,3582.28,False
111,cluster_15076577_2966890488,7929.45,3558.81,False
112,15076584,7979.16,3622.98,False
113,2982458777,7947.62,3582.28,False
114,15076586,8040.85,3702.84,False
115,15076584,7979.16,3622.98,False
116,2577430696,5338.12,1123.59,False
117,cluster_1223097651_821911700_821911738,5291.68,1136.96,False
118,cluster_15355014_1841297399_2543206246_292744428_#9more,5266.55,1157.12,False
119,15688116,5213.72,1179.65,False
120,674385779,3273.57,2533.26,False
121,31797854,3271.54,2539.23,False
122,16059516,5339.49,3971.72,False
123,13344085,5264.72,4004.63,False
124,63374491,6764.22,2863.88,False
125,1281872960,6699.57,2846.56,False
126,cluster_15369682_411501318,6905.08,2690.63,False
127,20938340,6917.58,2701.6,False
128,886125901,5827.54,3466.31,False
129,cluster_15247067_7439423019,5770.21,3499.14,False
130,410273307,5840.43,3458.93,False
131,886125901,5827.54,3466.31,False
132,16059505,5870.97,3442.46,False
133,410273307,5840.43,3458.93,False
134,cluster_10777605147_16059506_34034039_7439423008,5916.28,3417.95,False
135,16059505,5870.97,3442.46,False
136,cluster_1855994538_703074939,428.53,2385.8,False
137,cluster_1855994496_1855994497_1855994517_1856132963_#2more,376.01,2372.09,False
138,cluster_1855994496_1855994497_1855994517_1856132963_#2more,376.01,2372.09,False
139,cluster_11197792844_1855994515_25231080_703074936,292.48,2373.83,False
140,cluster_1855994394_25231078_623062722,269.16,2213.91,False
141,cluster_1686944361_3460049159_3460049162_3460049165_#4more,275.42,2160.45,False
142,cluster_263365860_32961777,74.0,2667.19,False
143,3665035893,55.53,2631.16,False
144,32960138,796.69,2495.85,False
145,cluster_32960137_3916747224,744.57,2479.27,False
146,32621185,1338.48,345.35,False
147,cluster_32621183_3851338785_3851338788_3851338795_#1more,1319.04,439.98,False
148,568474229,1271.17,546.53,False
149,cluster_32621183_3851338785_3851338788_3851338795_#1more,1319.04,439.98,False
150,32459331,263.64,1284.04,False
151,cluster_1380939128_3957865543_3957865545,233.46,1267.88,False
152,1499459930,2944.09,2797.14,False
153,cluster_1510068345_8616078653_8616078655,2947.65,2773.8,False
154,cluster_2966563687_2966563690,2935.99,2817.04,False
155,1499459930,2944.09,2797.14,False
156,2385671807,2939.74,2819.52,False
157,cluster_2966563687_2966563690,2935.99,2817.04,False
158,2895088661,2458.88,2416.0,False
159,cluster_31727516_5351043357,2542.43,2406.32,False
160,31726410,2454.98,2420.13,False
161,2895088661,2458.88,2416.0,False
162,cluster_1216481871_2882857927,3359.57,931.45,False
163,cluster_1496565826_1513205544_21675477_2882857929_#1more,3357.42,887.83,False
164,1216417520,3358.29,973.61,False
165,cluster_1216481871_2882857927,3359.57,931.45,False
166,cluster_1165928216_2882857944,3356.39,987.49,False
167,1216417520,3358.29,973.61,False
168,644826485,3359.56,997.73,False
169,cluster_1165928216_2882857944,3356.39,987.49,False
170,cluster_282639258_2882857943,3357.84,1013.69,False
171,644826485,3359.56,997.73,False
172,28179416,3362.29,1037.15,False
173,cluster_282639258_2882857943,3357.84,1013.69,False
174,158681180,3363.12,1043.94,False
175,28179416,3362.29,1037.15,False
176,4415172498,3314.99,1373.14,False
177,cluster_4415172495_4415172497_8561739795_8616078240_#1more,3302.34,1372.91,False
178,8515290388,3340.68,1375.68,False
179,4415172498,3314.99,1373.14,False
180,4415172501,3370.73,1377.26,False
181,8515290388,3340.68,1375.68,False
182,cluster_21675480_4415172500,3384.98,1375.08,False
183,4415172501,3370.73,1377.26,False
184,1034311736,558.51,3099.2,False
185,1034311749,600.76,3089.17,False
186,1170449710,316.96,3392.16,False
187,cluster_29533012_648117763,328.57,3493.94,False
188,1807554060,3844.03,1815.79,False
189,cluster_12774715130_494225357,3848.7,1842.78,False
190,cluster_32947480_684338080,3952.27,1758.8,False
191,1807554060,3844.03,1815.79,False
192,1855994326,5225.47,1881.43,False
193,cluster_1855994334_243531314,5207.37,1885.27,False
194,cluster_1073199598_1073199630,5246.59,1866.78,False
195,1855994326,5225.47,1881.43,False
196,1217767951,1295.01,3531.06,False
197,cluster_301010839_32709646,1284.62,3539.96,False
198,1455188505,1306.92,3500.56,False
199,1217767951,1295.01,3531.06,False
200,1479402559,1308.95,3495.38,False
201,1455188505,1306.92,3500.56,False
202,1255559351,1312.83,3485.51,False
203,1479402559,1308.95,3495.38,False
204,cluster_2543206120_3701299746_7801392705,5654.24,909.0,False
205,cluster_15486473_2543206152_821911697,5540.56,987.23,False
206,269181575,5811.4,815.95,False
207,cluster_2543206120_3701299746_7801392705,5654.24,909.0,False
208,1856132823,5490.85,1021.15,False
209,cluster_15612650_821911759,5428.79,1066.43,False
210,cluster_1545232714_7632460679,2147.61,3240.41,False
211,cluster_31802986_444693379,2177.01,3243.97,False
212,cluster_2345065291_2345065298,3061.06,2158.03,False
213,cluster_1686979167_3682351301_3682351304_671691653_#1more,3028.91,2186.63,False
214,12121665441,3072.18,2138.31,False
215,cluster_2345065291_2345065298,3061.06,2158.03,False
216,31728191,3093.09,2114.35,False
217,12121665441,3072.18,2138.31,False
218,1566687296,4037.92,1715.59,False
219,25877806,4215.26,1655.51,False
220,cluster_1566687300_684338082,3968.8,1732.19,False
221,1566687296,4037.92,1715.59,False
222,2617478514,2994.91,4141.57,False
223,cluster_10096375338_32265650,3025.74,4123.62,False
224,2617478516,2981.77,4149.29,False
225,2617478514,2994.91,4141.57,False
226,2917838009,2967.07,4157.93,False
227,2617478516,2981.77,4149.29,False
228,cluster_1073051620_32265515,2956.02,4168.29,False
229,2917838009,2967.07,4157.93,False
230,2617478509,3039.14,4117.69,False
231,32265649,3053.45,4113.43,False
232,cluster_10096375338_32265650,3025.74,4123.62,False
233,2617478509,3039.14,4117.69,False
234,570088346,432.7,3461.56,False
235,29556515,424.63,3454.88,False
236,3417063654,449.43,3473.77,False
237,570088346,432.7,3461.56,False
238,cluster_29557333_786716329,474.13,3492.05,False
239,3417063654,449.43,3473.77,False
240,cluster_2617478501_4308322028,3072.13,4108.51,False
241,10099162768,3074.98,4107.7,False
242,32265649,3053.45,4113.43,False
243,cluster_2617478501_4308322028,3072.13,4108.51,False
244,1798428097,3457.0,4010.26,False
245,cluster_32268793_540321556,3479.34,4004.46,False
246,1286487678,3246.63,2882.36,False
247,11598335,3238.5,2882.14,False
248,31800226,3316.82,2350.91,False
249,282047136,3310.73,2376.97,False
250,cluster_1569394925_2753812732,3592.91,1313.51,False
251,cluster_1569394930_801798700,3641.28,1326.31,False
252,320612226,1957.93,3545.9,False
253,32264751,1933.22,3517.43,False
254,320612234,1995.52,3577.81,False
255,320612226,1957.93,3545.9,False
256,3633369931,107.7,3001.17,False
257,32962699,87.06,3010.83,False
258,cluster_3633369930_583087186,126.07,2992.56,False
259,3633369931,107.7,3001.17,False
260,32942862,1956.27,1846.49,False
261,32268804,1982.94,1849.62,False
262,15369678,6882.24,2734.32,False
263,cluster_15369682_411501318,6905.08,2690.63,False
264,15369666,6810.29,2804.59,False
265,15369678,6882.24,2734.32,False
266,15369664,6796.24,2818.81,False
267,15369666,6810.29,2804.59,False
268,759033041,3164.96,2036.79,False
269,1686979156,3146.02,2057.3,False
270,4184184755,3189.09,2010.19,False
271,759033041,3164.96,2036.79,False
272,14574997,6631.65,4045.11,False
273,1252306943,6617.62,4056.7,False
274,267771738,7585.95,2968.65,False
275,16938916,7491.89,3067.18,False
276,16146516,7638.93,2909.2,False
277,267771738,7585.95,2968.65,False
278,535592426,978.98,2999.48,False
279,cluster_10176218228_10176218230_10176218231_1452043736_#2more,973.36,2950.9,False
280,535592411,983.15,3019.3,False
281,535592426,978.98,2999.48,False
282,32945772,987.45,3055.97,False
283,535592411,983.15,3019.3,False
284,1450833935,1262.2,2842.66,False
285,20982516,1311.07,2812.02,False
286,10183409346,1251.31,2849.61,False
287,1450833935,1262.2,2842.66,False
288,cluster_15369685_6852420117,6946.64,2689.42,False
289,15369687,6963.66,2683.12,False
290,20938340,6917.58,2701.6,False
291,cluster_15369685_6852420117,6946.64,2689.42,False
292,cluster_2007374444_327063552,7547.89,2036.04,False
293,cluster_15327553_2007374442_7791477452,7596.98,2003.91,False
294,2007374454,7304.57,2324.55,False
295,335859685,7331.72,2290.4,False
296,936367768,7295.79,2333.61,False
297,2007374454,7304.57,2324.55,False
298,266521137,7270.66,2369.99,False
299,936367768,7295.79,2333.61,False
300,15327548,7244.36,2415.11,False
301,266521137,7270.66,2369.99,False
302,7554537310,7234.66,2432.7,False
303,15327548,7244.36,2415.11,False
304,5094639328,7218.8,2466.92,False
305,7554537310,7234.66,2432.7,False
306,266532592,7205.82,2493.42,False
307,5094639328,7218.8,2466.92,False
308,7569020169,7506.94,2065.83,False
309,cluster_2007374444_327063552,7547.89,2036.04,False
310,1716071911,7435.47,2120.59,False
311,7569020169,7506.94,2065.83,False
312,13084195002,7420.26,2138.84,False
313,1716071911,7435.47,2120.59,False
314,1270055812,7405.96,2163.88,False
315,13084195002,7420.26,2138.84,False
316,7545702243,7370.84,2227.37,False
317,1270055812,7405.96,2163.88,False
318,7090959836,7354.11,2256.88,False
319,7545702243,7370.84,2227.37,False
320,335859685,7331.72,2290.4,False
321,7090959836,7354.11,2256.88,False
322,7569028195,7681.92,1914.91,False
323,1271352910,7661.93,1933.1,False
324,15327555,7701.52,1899.19,False
325,7569028195,7681.92,1914.91,False
326,cluster_11136223387_264897202,7746.82,1862.66,False
327,15327555,7701.52,1899.19,False
328,264942523,7768.77,1847.03,False
329,cluster_11136223387_264897202,7746.82,1862.66,False
330,15327556,7805.71,1825.92,False
331,264942523,7768.77,1847.03,False
332,886125682,4898.82,4000.59,False
333,363098,4882.05,4007.8,False
334,4697384951,4903.98,3998.17,False
335,886125682,4898.82,4000.59,False
336,13569900,4936.17,3983.13,False
337,4697384951,4903.98,3998.17,False
338,13569902,5036.82,3932.64,False
339,13569900,4936.17,3983.13,False
340,12023268074,5040.9,3178.1,False
341,cluster_14658510_300949859,5044.24,3205.23,False
342,1992396461,5026.85,3143.19,False
343,12023268074,5040.9,3178.1,False
344,cluster_15355010_2949200986,5022.2,3131.61,False
345,1992396461,5026.85,3143.19,False
346,1992396459,5022.26,3110.51,False
347,cluster_15355010_2949200986,5022.2,3131.61,False
348,1646886760,5563.92,1302.84,False
349,340301964,5560.73,1379.13,False
350,3057885193,5564.7,1284.25,False
351,1646886760,5563.92,1302.84,False
352,cluster_1651712914_7902856788,5565.78,1258.22,False
353,3057885193,5564.7,1284.25,False
354,cluster_11658148_278776205_278776888_278776889_#6more,3172.75,1848.07,False
355,2840520506,3217.22,1856.56,False
356,31800659,3330.66,1879.26,False
357,cluster_21508270_278777806_742128013,3343.9,1893.17,False
358,cluster_21675487_801798632,3772.12,1076.68,False
359,cluster_673647355_801798520,3805.24,1040.79,False
360,4415171274,3149.87,1316.55,False
361,cluster_3485155837_4415171276_4415171277_513761281,3153.74,1332.42,False
362,300575553,2507.13,822.77,False
363,cluster_12934751675_669837269,2371.51,736.1,False
364,27224233,3619.46,4074.75,False
365,cluster_17884346_1985103910_269944489,3515.97,4097.13,False
366,27224231,3641.26,4069.71,False
367,27224233,3619.46,4074.75,False
368,1985103894,3670.82,4062.89,False
369,27224231,3641.26,4069.71,False
370,540402546,3684.02,4059.84,False
371,1985103894,3670.82,4062.89,False
372,18289686,3714.59,4052.78,False
373,540402546,3684.02,4059.84,False
374,18289672,3785.04,4036.51,False
375,18289686,3714.59,4052.78,False
376,18289671,3947.87,3998.94,False
377,18289672,3785.04,4036.51,False
378,8827967354,3443.75,4013.65,False
379,1798428097,3457.0,4010.26,False
380,cluster_8827967363_8827967373,3436.35,4015.54,False
381,8827967354,3443.75,4013.65,False
382,7928674558,3226.09,4069.47,False
383,227195319,3253.2,4062.62,False
384,cluster_32700932_8842464358_8842464362,3193.02,4077.83,False
385,7928674558,3226.09,4069.47,False
386,cluster_12889002336_2920163358,3152.15,4088.2,False
387,cluster_32700932_8842464358_8842464362,3193.02,4077.83,False
388,32265648,3112.99,4098.08,False
389,cluster_12889002336_2920163358,3152.15,4088.2,False
390,10099162768,3074.98,4107.7,False
391,32265648,3112.99,4098.08,False
392,32701561,3394.52,4026.24,False
393,cluster_8827967363_8827967373,3436.35,4015.54,False
394,8827228102,3354.58,4036.58,False
395,32701561,3394.52,4026.24,False
396,cluster_32701256_8318792930_8318792933,3313.84,4047.12,False
397,8827228102,3354.58,4036.58,False
398,7928674557,3277.9,4056.31,False
399,cluster_32701256_8318792930_8318792933,3313.84,4047.12,False
400,227195319,3253.2,4062.62,False
401,7928674557,3277.9,4056.31,False
402,20958709,2242.69,764.21,False
403,1955194,2262.58,687.46,False
404,20958708,2209.2,910.07,False
405,20958709,2242.69,764.21,False
406,26821263,2245.49,914.23,False
407,20958708,2209.2,910.07,False
408,1279486842,2196.7,1005.76,False
409,20958708,2209.2,910.07,False
410,1955193,2189.95,1058.26,False
