from_node,to_node,edge_id,edge_tt
0,1,-1006817039#1,18.150000000000002
2,3,-1006817039#4,35.04705882352941
4,5,-1007105130,26.64
12,13,-1011550312#2,6.1
14,15,-1011550313#3,18.853714285714286
18,19,-1018200867,39.96
20,21,-1018511006,9.771428571428572
22,23,-1018511009#0,8.76
24,25,-1018511009#10,15.434999999999999
26,27,-1018511010#10,6.66
28,29,-1018511010#3,15.200000000000001
30,31,-1018511010#8,9.040000000000001
32,33,-1019530040,28.8
34,35,-1020927804#2,6.48
36,37,-1022656065,9.144
38,39,-1023577198#3,61.92
40,41,-1025916124#2,16.2
42,43,-1026477620#2,137.52
44,45,-1026481746,18.534375
46,47,-1026482587#1,14.332500000000001
48,49,-1027093575,6.0600000000000005
50,51,-1031379293#3,18.36
52,53,-1031379294#1,8.026666666666667
54,55,-103335175,29.11764705882353
56,57,-1037102222#1,9.145161290322582
60,61,-104178895#10,29.0448
62,63,-104178895#3,36.998709677419356
64,65,-104178895#6,17.133333333333336
66,67,-1042975685#1,27.971999999999998
68,69,-1042975685#4,12.4
70,71,-104405209#1,9.383333333333333
72,73,-104405210#1,17.82
74,75,-1044541592,38.232
76,77,-1044541593,28.739076923076922
82,83,-1050809452#1,8.46
84,85,-1052726233,37.080000000000005
88,89,-1053387542#1,15.3
90,91,-1054840087#1,11.64
92,93,-1056364553#2,78.12
96,97,-1056364673#3,4.956521739130435
98,99,-1056366243#1,6.923076923076923
100,101,-1056366248#1,14.621052631578948
102,103,-1059952450#1,3.6
104,105,-1059952451,16.38
106,107,-1059959971#1,77.76
108,109,-1060016495#1,13.885714285714286
110,111,-1060458931#1,18.03103448275862
112,113,-1060490109#1,9.450000000000001
114,115,-1061155061,17.0
116,117,-1061840671,12.78
118,119,-10630916#1,54.64675324675325
120,121,-106412904#2,4.222556390977443
122,123,-1064424518,46.800000000000004
124,125,-1066019131#0,9.24
126,127,-1066019132,5.483333333333333
128,129,-1073367264,41.6
130,131,-1073733970#3,42.095454545454544
132,133,-1073791856#3,11.176119402985075
134,135,-1073791857#2,9.0
138,139,-107440946#3,18.0
140,141,-107440946#4,24.12
142,143,-1074505532#5,26.354545454545455
144,145,-1075515371,14.4
146,147,-1075817469#2,4.707692307692308
150,151,-1075827538,20.82857142857143
152,153,-1075829175,26.105944517833553
154,155,-1075829183#2,10.623631123919308
156,157,-1075893330#0,1.8
158,159,-1076894533,10.476
160,161,-1077048394#1,29.52
164,165,-1078576469,19.08
166,167,-1078663441,20.52
168,169,-1078663652,59.694545454545455
170,171,-1078663668,5.354621848739496
172,173,-107990164,10.728
174,175,-1079997538#2,28.632558139534883
176,177,-1082387578#12,41.76
178,179,-1082387578#21,72.78
180,181,-1082387578#4,20.61
182,183,-1082387578#5,11.205
184,185,-1082387578#6,21.240000000000002
186,187,-1082387601#0,63.36000000000001
188,189,-1082389421,7.920000000000001
190,191,-1082389492,13.68
192,193,-1082683182#0,48.27857142857143
194,195,-1082683182#1,1.08
196,197,-1082683183#2,147.24
198,199,-1082683187#1,28.384615384615387
200,201,-108481093#12,45.11908396946565
202,203,-1085274538#3,40.68000000000001
204,205,-1086509243#0,41.97446808510638
206,207,-1086509243#3,8.82857142857143
208,209,-108918727#1,36.69230769230769
210,211,-1089917568,3.7800000000000002
212,213,-1089917569#1,104.03999999999999
214,215,-1091914555#1,20.340000000000003
216,217,-1091914557#1,24.12
224,225,-1091960707#7,37.080000000000005
226,227,-1091960708#5,19.963636363636365
228,229,-1091961841#1,11.16
234,235,-1093620277,15.48
236,237,-1093795367#2,11.879999999999999
238,239,-109860640#1,53.73011734028683
240,241,-109860646,15.388235294117647
242,243,-1098613985#1,8.914285714285715
244,245,-1098614014#3,22.533333333333335
252,253,-1101621068,7.8
254,255,-1101800565,38.519999999999996
256,257,-1101800583#0,20.454545454545453
258,259,-1101800620,20.2
260,261,-1101800625,11.600000000000001
266,267,-1103306569#0,2.3400000000000003
268,269,-1103306569#4,19.08
270,271,-1103306570#1,6.6240000000000006
272,273,-1103375976#0,12.946153846153846
274,275,-1103375976#2,23.7
276,277,-1103375976#3,14.4
280,281,-1103644159#2,5.04
282,283,-1103644287,6.411570247933884
284,285,-1103644332#1,33.12
286,287,-1103644649#1,21.06
288,289,-1103644654,14.04
290,291,-1105486997,5.876470588235295
292,293,-1107297578,3.6
294,295,-1107420806#2,38.66511627906977
296,297,-1110497124#2,19.656
300,301,-1112105427#0,33.12
304,305,-111628106#2,6.942857142857143
306,307,-111636189#16,91.19469026548673
308,309,-111636206#5,27.062068965517245
312,313,-1116758652#0,4.304347826086957
314,315,-1116981912#2,14.563636363636366
316,317,-1116981912#3,30.375
318,319,-1116981963#3,19.08
320,321,-1116982074#3,30.240000000000002
322,323,-1116982084#10,17.627586206896552
324,325,-1116982084#5,20.400000000000002
326,327,-1116982084#9,19.610526315789475
328,329,-1118986376#1,27.560000000000002
330,331,-1119854904#2,27.446616541353386
332,333,-1119854960,12.54857142857143
334,335,-112297307#1,30.900000000000002
336,337,-112297307#4,18.391304347826086
338,339,-112297307#5,18.2
340,341,-112297307#6,37.575
342,343,-112297309#12,30.419999999999998
344,345,-112297309#16,19.08
346,347,-112297309#17,8.91
348,349,-112297309#3,20.952
350,351,-112297309#6,20.28
352,353,-112602870#1,190.44
356,357,-112602876#1,35.1
360,361,-113054552#6,27.107142857142858
362,363,-113078530#3,25.965000000000003
364,365,-113078530#8,19.975609756097562
366,367,-113078532#1,9.72
368,369,-1131704044#10,59.760000000000005
374,375,-1133070114#1,23.400000000000002
376,377,-1133377391,18.163636363636364
378,379,-113470996#1,11.78019801980198
380,381,-113470997,6.84
382,383,-1136828359#3,32.83098591549295
384,385,-1141500748#0,41.160000000000004
388,389,-1143691192#0,10.44
390,391,-1143691192#1,9.189473684210528
392,393,-1143691192#2,10.042105263157895
394,395,-1143691192#3,9.663157894736843
396,397,-1143691196#0,21.0
398,399,-1143691585,39.362264150943396
400,401,-1143691615#1,12.78
402,403,-1143691639#0,18.0
404,405,-1143691643,39.6
408,409,-1144624279,35.46
414,415,-1146783332#1,17.46
418,419,-1147633970#0,12.497560975609757
420,421,-1147633970#1,0.7734375
422,423,-1148164786#1,34.690909090909095
424,425,-1149710650#1,178.92000000000002
426,427,-1149710667#0,52.753846153846155
428,429,-1149710710#1,14.4
430,431,-1149710710#3,39.78
432,433,-1150110368#3,84.96000000000001
434,435,-1150110945#1,14.85
436,437,-1150111109,42.912
440,441,-1151011676,58.32
444,445,-1151182472#1,3.9600000000000004
446,447,-1151183128#1,72.0
448,449,-1151184999#1,12.799999999999999
452,453,-1151285243#0,21.0
454,455,-1151285247,29.057142857142857
456,457,-1151285252#1,11.048275862068966
458,459,-1151435937,7.094117647058824
460,461,-1151535808#0,55.800000000000004
462,463,-11526678#2,23.025
464,465,-11526678#5,27.0
466,467,-11526678#6,26.64
468,469,-11526678#7,31.65
470,471,-1152714215,18.720000000000002
472,473,-1154677975,6.6461538461538465
474,475,-1154677976,29.97391304347826
476,477,-1154849086#0,30.905084745762714
478,479,-1154849092,18.73469387755102
480,481,-1154849095#1,16.363636363636367
482,483,-1154849101#1,13.151612903225807
486,487,-1155184437,11.520000000000001
488,489,-1157125514#0,10.04
490,491,-1157125514#2,4.14
492,493,-1157125536#1,12.06
494,495,-1157125539,17.28
502,503,-1157158088#2,28.2
504,505,-1157158088#3,6.84
