from_node,to_node,edge_id,edge_tt,edge_var
0,1,-1006817039#1,10.166666666666666,1.4242424242424234
2,3,-1006817039#4,19.705882352941178,6.4705882352941195
4,5,-1007105130,14.7,1.7888888888888899
12,13,-1011550312#2,3.5277777777777777,1.8873348873348874
14,15,-1011550313#3,10.432748538011696,2.564568283453729
18,19,-1018200867,22.68,5.726666666666669
20,21,-1018511006,5.314285714285714,0.9865546218487395
22,23,-1018511009#0,4.622222222222222,0.9222222222222226
24,25,-1018511009#10,8.6,1.2717948717948717
26,27,-1018511010#10,3.64,0.7657142857142859
28,29,-1018511010#3,8.422222222222222,1.2494949494949508
30,31,-1018511010#8,4.911111111111111,0.5828282828282833
32,33,-1019530040,15.6,1.7999999999999998
34,35,-1020927804#2,3.8,0.2
36,37,-1022656065,5.04,0.5400000000000001
38,39,-1023577198#3,35.6,18.488888888888887
40,41,-1025916124#2,9.2,0.19999999999999996
42,43,-1026477620#2,74.6,165.8
44,45,-1026481746,10.516129032258064,0.8767847699629827
46,47,-1026482587#1,7.847117794486215,1.5268195614664806
48,49,-1027093575,3.433333333333333,0.2540229885057471
50,51,-1031379293#3,11.0,0.9999999999999999
52,53,-1031379294#1,4.496124031007752,0.40818798449612387
54,55,-103335175,17.71764705882353,30.181232492997196
56,57,-1037102222#1,4.934426229508197,0.32896174863387984
60,61,-104178895#10,15.808,2.833806451612903
62,63,-104178895#3,19.54193548387097,38.35374947633012
64,65,-104178895#6,9.451851851851853,1.1450525152017694
66,67,-1042975685#1,15.673913043478262,2.9801932367149764
68,69,-1042975685#4,7.181818181818182,1.2987012987012985
70,71,-104405209#1,5.252336448598131,1.1527067536589666
72,73,-104405210#1,10.3,1.788888888888889
74,75,-1044541592,21.254901960784313,161.67372549019603
76,77,-1044541593,16.366153846153846,49.337739791073076
82,83,-1050809452#1,4.4,2.9333333333333336
84,85,-1052726233,20.2,2.171428571428571
88,89,-1053387542#1,9.0,2.0
90,91,-1054840087#1,6.0,0.8571428571428569
92,93,-1056364553#2,42.2,27.511111111111106
96,97,-1056364673#3,2.626865671641791,0.7222976028946178
98,99,-1056366243#1,3.875,1.0865384615384617
100,101,-1056366248#1,8.11864406779661,1.037405026300409
102,103,-1059952450#1,2.0,0.0
104,105,-1059952451,9.3,1.3444444444444446
106,107,-1059959971#1,38.4,20.299999999999997
108,109,-1060016495#1,7.777777777777778,1.1794871794871797
110,111,-1060458931#1,9.869565217391305,1.2898550724637685
112,113,-1060490109#1,5.2,0.37894736842105275
114,115,-1061155061,9.333333333333334,0.5000000000000001
116,117,-1061840671,7.1,1.4333333333333331
118,119,-10630916#1,30.128755364806867,13.448867840757726
120,121,-106412904#2,2.3358208955223883,0.5856245090337779
122,123,-1064424518,26.4,14.300000000000002
124,125,-1066019131#0,5.2,1.0285714285714285
126,127,-1066019132,3.05607476635514,0.6005995415270676
128,129,-1073367264,21.647058823529413,13.867647058823536
130,131,-1073733970#3,23.045454545454547,5.6723044397462985
132,133,-1073791856#3,6.159420289855072,1.4889173060528564
134,135,-1073791857#2,5.2,0.20000000000000007
138,139,-107440946#3,10.8,0.7
140,141,-107440946#4,13.3,2.4555555555555557
142,143,-1074505532#5,14.709844559585493,2.7903713298791035
144,145,-1075515371,7.866666666666666,0.4095238095238095
146,147,-1075817469#2,2.9166666666666665,0.2651515151515152
150,151,-1075827538,11.523809523809524,1.9619047619047614
152,153,-1075829175,14.047619047619047,55.11825922421946
154,155,-1075829183#2,5.928571428571429,0.9490380679492424
156,157,-1075893330#0,1.0,0.0
158,159,-1076894533,5.88,1.1571717171717173
160,161,-1077048394#1,15.6,1.2999999999999994
164,165,-1078576469,9.4,2.8000000000000003
166,167,-1078663441,10.4,1.3
168,169,-1078663652,32.44578313253012,12.612194231471323
170,171,-1078663668,2.948717948717949,0.11803713527851462
172,173,-107990164,6.0,0.7500000000000001
174,175,-1079997538#2,15.822222222222223,1.9676767676767677
176,177,-1082387578#12,22.5,3.611111111111112
178,179,-1082387578#21,39.833333333333336,13.798850574712647
180,181,-1082387578#4,11.1,1.9384615384615376
182,183,-1082387578#5,5.975,0.7429487179487179
184,185,-1082387578#6,11.8,0.7000000000000002
186,187,-1082387601#0,34.24,21.773333333333337
188,189,-1082389421,4.0,0.5
190,191,-1082389492,7.0,0.5
192,193,-1082683182#0,27.620689655172413,25.31527093596059
194,195,-1082683182#1,0.4,0.3
196,197,-1082683183#2,78.2,161.20000000000005
198,199,-1082683187#1,16.785714285714285,1.7197802197802194
200,201,-108481093#12,24.65984654731458,17.512204078955996
202,203,-1085274538#3,21.4,3.8000000000000003
204,205,-1086509243#0,23.125,8.111702127659575
206,207,-1086509243#3,4.953488372093023,0.7120708748615727
208,209,-108918727#1,19.535714285714285,3.517195767195767
210,211,-1089917568,2.0,0.0
212,213,-1089917569#1,50.0,29.000000000000004
214,215,-1091914555#1,12.2,1.7333333333333332
216,217,-1091914557#1,13.6,1.8222222222222217
224,225,-1091960707#7,21.3,3.566666666666666
226,227,-1091960708#5,11.1875,1.1895161290322587
228,229,-1091961841#1,6.048780487804878,0.8975609756097558
234,235,-1093620277,8.5,0.4999999999999999
236,237,-1093795367#2,6.428571428571429,0.26373626373626385
238,239,-109860640#1,29.817945383615086,12.834000460554838
240,241,-109860646,8.244444444444444,11.946713205351939
242,243,-1098613985#1,4.928571428571429,0.2142857142857143
244,245,-1098614014#3,12.932642487046632,35.87564766839376
252,253,-1101621068,4.0,0.0
254,255,-1101800565,20.0,3.4999999999999987
