from_node,to_node,edge_id,edge_tt
0,1,-1006817039#1,9.777777777777779
2,3,-1006817039#4,20.22222222222222
4,5,-1007105130,15.0
6,7,-1007696318#2,24.75
12,13,-1011550312#2,3.6255506607929515
14,15,-1011550313#3,10.126582278481013
18,19,-1018200867,22.22222222222222
20,21,-1018511006,5.68
22,23,-1018511009#0,4.947368421052632
24,25,-1018511009#10,8.39344262295082
26,27,-1018511010#10,3.1818181818181817
28,29,-1018511010#3,8.257575757575758
30,31,-1018511010#8,5.049180327868853
34,35,-1020927804#2,4.2
36,37,-1022656065,5.7368421052631575
38,39,-1023577198#3,32.25
40,41,-1025916124#2,9.0
42,43,-1026477620#2,69.2
44,45,-1026481746,10.435294117647059
46,47,-1026482587#1,8.00253164556962
48,49,-1027093575,3.4
50,51,-1031379293#3,11.0
52,53,-1031379294#1,4.330357142857143
54,55,-103335175,16.4
56,57,-1037102222#1,5.0508474576271185
60,61,-104178895#10,16.00507614213198
62,63,-104178895#3,19.343915343915345
64,65,-104178895#6,9.562189054726367
66,67,-1042975685#1,15.25
68,69,-1042975685#4,7.166666666666667
70,71,-104405209#1,5.080459770114943
72,73,-104405210#1,9.866666666666667
74,75,-1044541592,20.207792207792206
76,77,-1044541593,15.462633451957295
82,83,-1050809452#1,2.8
84,85,-1052726233,20.2
88,89,-1053387542#1,8.692307692307692
90,91,-1054840087#1,5.733333333333333
92,93,-1056364553#2,40.6
96,97,-1056364673#3,2.3333333333333335
98,99,-1056366243#1,3.727272727272727
100,101,-1056366248#1,8.257142857142858
102,103,-1059952450#1,1.7826086956521738
104,105,-1059952451,8.5
108,109,-1060016495#1,7.863636363636363
110,111,-1060458931#1,9.813432835820896
112,113,-1060490109#1,5.4
114,115,-1061155061,9.625
116,117,-1061840671,7.5
118,119,-10630916#1,30.430976430976433
120,121,-106412904#2,2.195266272189349
122,123,-1064424518,25.0
124,125,-1066019131#0,5.6
126,127,-1066019132,3.028985507246377
128,129,-1073367264,21.055555555555557
130,131,-1073733970#3,22.88235294117647
132,133,-1073791856#3,5.742424242424242
134,135,-1073791857#2,5.3
136,137,-107440946#0,5.6
138,139,-107440946#3,10.866666666666667
140,141,-107440946#4,13.333333333333334
142,143,-1074505532#5,14.216216216216216
144,145,-1075515371,8.142857142857142
146,147,-1075817469#2,2.3
150,151,-1075827538,11.529411764705882
152,153,-1075829175,13.726315789473684
154,155,-1075829183#2,5.9209039548022595
158,159,-1076894533,6.056338028169014
160,161,-1077048394#1,15.8
162,163,-1077048396#1,16.4
164,165,-1078576469,9.2
166,167,-1078663441,10.933333333333334
168,169,-1078663652,33.30882352941177
170,171,-1078663668,2.979020979020979
172,173,-107990164,5.84
174,175,-1079997538#2,15.529411764705882
176,177,-1082387578#12,23.2
178,179,-1082387578#21,40.266666666666666
180,181,-1082387578#4,10.86
182,183,-1082387578#5,6.105263157894737
184,185,-1082387578#6,10.8
186,187,-1082387601#0,33.1
188,189,-1082389421,4.0
190,191,-1082389492,7.4
192,193,-1082683182#0,32.266666666666666
194,195,-1082683182#1,1.0
198,199,-1082683187#1,16.733333333333334
200,201,-108481093#12,25.05438066465257
204,205,-1086509243#0,23.761904761904763
206,207,-1086509243#3,5.214285714285714
208,209,-108918727#1,19.897959183673468
210,211,-1089917568,2.4
212,213,-1089917569#1,53.0
214,215,-1091914555#1,12.6
216,217,-1091914557#1,13.4
224,225,-1091960707#7,19.955555555555556
226,227,-1091960708#5,10.378378378378379
228,229,-1091961841#1,6.725806451612903
230,231,-1093316379#1,37.0
232,233,-1093620238,44.6
234,235,-1093620277,6.6
236,237,-1093795367#2,7.4
238,239,-109860640#1,29.79136690647482
240,241,-109860646,8.51061320754717
242,243,-1098613985#1,4.813953488372093
