from_node,to_node,edge_id,edge_tt
0,1,-1006817039#1,11.0
2,3,-1006817039#4,23.0
4,5,-1007105130,17.6
6,7,-1007696318#2,27.8
12,13,-1011550312#2,5.0
14,15,-1011550313#3,11.0
18,19,-1018200867,23.2
20,21,-1018511006,8.0
22,23,-1018511009#0,7.0
24,25,-1018511009#10,9.0
26,27,-1018511010#10,4.0
28,29,-1018511010#3,10.0
30,31,-1018511010#8,6.0
34,35,-1020927804#2,5.0
36,37,-1022656065,7.199999999999999
38,39,-1023577198#3,36.1
40,41,-1025916124#2,9.0
42,43,-1026477620#2,73.6
44,45,-1026481746,12.0
46,47,-1026482587#1,9.0
48,49,-1027093575,4.0
50,51,-1031379293#3,11.1
52,53,-1031379294#1,5.0
54,55,-103335175,19.0
56,57,-1037102222#1,6.0
60,61,-104178895#10,18.0
62,63,-104178895#3,28.200000000000017
64,65,-104178895#6,11.0
66,67,-1042975685#1,17.5
68,69,-1042975685#4,8.5
70,71,-104405209#1,6.0
72,73,-104405210#1,11.0
74,75,-1044541592,38.80000000000001
76,77,-1044541593,24.0
82,83,-1050809452#1,3.0
84,85,-1052726233,22.0
88,89,-1053387542#1,10.0
90,91,-1054840087#1,7.0
92,93,-1056364553#2,44.1
96,97,-1056364673#3,3.0
98,99,-1056366243#1,4.600000000000001
100,101,-1056366248#1,10.0
102,103,-1059952450#1,2.0
104,105,-1059952451,10.0
108,109,-1060016495#1,9.0
110,111,-1060458931#1,12.0
112,113,-1060490109#1,6.0
114,115,-1061155061,10.3
116,117,-1061840671,8.100000000000001
118,119,-10630916#1,35.0
120,121,-106412904#2,3.0
122,123,-1064424518,27.8
124,125,-1066019131#0,6.0
126,127,-1066019132,4.0
128,129,-1073367264,26.6
130,131,-1073733970#3,27.0
132,133,-1073791856#3,7.0
134,135,-1073791857#2,6.0
136,137,-107440946#0,6.0
138,139,-107440946#3,12.6
140,141,-107440946#4,15.0
142,143,-1074505532#5,16.0
144,145,-1075515371,9.0
146,147,-1075817469#2,3.0
150,151,-1075827538,13.7
152,153,-1075829175,24.0
154,155,-1075829183#2,7.0
158,159,-1076894533,7.0
160,161,-1077048394#1,17.0
162,163,-1077048396#1,18.1
164,165,-1078576469,9.6
166,167,-1078663441,12.0
168,169,-1078663652,38.0
170,171,-1078663668,3.0
172,173,-107990164,6.600000000000001
174,175,-1079997538#2,17.0
176,177,-1082387578#12,25.6
178,179,-1082387578#21,45.0
180,181,-1082387578#4,12.100000000000001
182,183,-1082387578#5,7.0
184,185,-1082387578#6,11.6
186,187,-1082387601#0,37.2
188,189,-1082389421,4.0
190,191,-1082389492,8.0
192,193,-1082683182#0,37.0
194,195,-1082683182#1,1.0
198,199,-1082683187#1,18.1
200,201,-108481093#12,31.0
204,205,-1086509243#0,26.0
206,207,-1086509243#3,6.0
208,209,-108918727#1,22.200000000000003
210,211,-1089917568,3.0
212,213,-1089917569#1,56.6
214,215,-1091914555#1,13.6
216,217,-1091914557#1,15.1
224,225,-1091960707#7,22.0
226,227,-1091960708#5,12.0
228,229,-1091961841#1,7.0
230,231,-1093316379#1,41.8
232,233,-1093620238,51.2
234,235,-1093620277,7.0
236,237,-1093795367#2,8.0
238,239,-109860640#1,34.0
240,241,-109860646,14.0
242,243,-1098613985#1,5.0
244,245,-1098614014#3,22.0
246,247,-1098926674#2,35.4
248,249,-1099418498#1,37.1
250,251,-1099418562,84.4
252,253,-1101621068,5.0
254,255,-1101800565,23.2
256,257,-1101800583#0,12.0
258,259,-1101800620,12.0
260,261,-1101800625,7.0
262,263,-1101800627,14.5
266,267,-1103306569#0,1.6
270,271,-1103306570#1,5.0
272,273,-1103375976#0,9.0
274,275,-1103375976#2,19.0
276,277,-1103375976#3,12.0
278,279,-1103375976#5,16.0
280,281,-1103644159#2,4.0
282,283,-1103644287,4.0
286,287,-1103644649#1,12.1
288,289,-1103644654,8.2
290,291,-1105486997,4.0
292,293,-1107297578,2.0
294,295,-1107420806#2,25.0
296,297,-1110497124#2,21.0
300,301,-1112105427#0,19.2
302,303,-1112105427#1,11.7
304,305,-111628106#2,4.0
306,307,-111636189#16,58.0
308,309,-111636206#5,14.0
310,311,-1116756785,54.0
312,313,-1116758652#0,3.0
314,315,-1116981912#2,9.0
316,317,-1116981912#3,18.0
318,319,-1116981963#3,11.299999999999999
320,321,-1116982074#3,19.2
322,323,-1116982084#10,10.6
326,327,-1116982084#9,13.0
328,329,-1118986376#1,17.1
330,331,-1119854904#2,17.0
332,333,-1119854960,8.0
334,335,-112297307#1,19.0
336,337,-112297307#4,10.0
338,339,-112297307#5,9.9
340,341,-112297307#6,23.4
342,343,-112297309#12,18.0
344,345,-112297309#16,12.0
346,347,-112297309#17,5.199999999999999
348,349,-112297309#3,13.0
350,351,-112297309#6,12.0
352,353,-112602870#1,126.8
356,357,-112602876#1,24.8
360,361,-113054552#6,17.0
362,363,-113078530#3,16.700000000000003
364,365,-113078530#8,12.0
366,367,-113078532#1,6.1
368,369,-1131704044#10,35.3
370,371,-1132693873,23.0
374,375,-1133070114#1,13.1
376,377,-1133377391,11.3
378,379,-113470996#1,7.6000000000000085
380,381,-113470997,3.6
382,383,-1136828359#3,20.0
384,385,-1141500748#0,27.400000000000002
388,389,-1143691192#0,7.6
390,391,-1143691192#1,6.0
392,393,-1143691192#2,7.0
394,395,-1143691192#3,7.0
396,397,-1143691196#0,12.0
398,399,-1143691585,24.0
400,401,-1143691615#1,8.0
402,403,-1143691639#0,11.0
408,409,-1144624279,23.0
414,415,-1146783332#1,11.0
416,417,-1146783332#2,12.1
418,419,-1147633970#0,8.0
420,421,-1147633970#1,1.0
422,423,-1148164786#1,17.0
424,425,-1149710650#1,102.5
426,427,-1149710667#0,36.0
428,429,-1149710710#1,8.0
430,431,-1149710710#3,21.6
432,433,-1150110368#3,52.8
434,435,-1150110945#1,9.0
436,437,-1150111109,26.200000000000003
438,439,-1150976671#3,26.6
442,443,-1151181347,7.0
444,445,-1151182472#1,3.0
446,447,-1151183128#1,46.2
448,449,-1151184999#1,7.600000000000001
450,451,-1151285235,9.0
452,453,-1151285243#0,14.7
454,455,-1151285247,21.6
456,457,-1151285252#1,7.0
458,459,-1151435937,4.0
460,461,-1151535808#0,38.1
462,463,-11526678#2,14.9
464,465,-11526678#5,17.200000000000003
466,467,-11526678#6,17.6
468,469,-11526678#7,23.0
470,471,-1152714215,10.0
472,473,-1154677975,3.0
474,475,-1154677976,18.3
476,477,-1154849086#0,20.6
478,479,-1154849092,13.0
480,481,-1154849095#1,11.0
482,483,-1154849101#1,8.3
484,485,-1155184434#3,33.6
486,487,-1155184437,6.0
488,489,-1157125514#0,6.0
490,491,-1157125514#2,3.0
494,495,-1157125539,10.0
502,503,-1157158088#2,17.0
504,505,-1157158088#3,5.0
506,507,-1157158088#7,17.1
508,509,-1157158088#9,18.2
514,515,-1157357278#1,38.4
516,517,-115785376#1,7.0
518,519,-1158503741,6.0
520,521,-1158503838#2,16.4
522,523,-1159196383,5.0
526,527,-1160388322#1,3.0
528,529,-1160388322#4,16.5
530,531,-1160388322#5,5.0
532,533,-11610479,18.0
536,537,-1162386121#4,30.4
538,539,-1162386122#0,8.2
540,541,-1162386122#3,21.8
542,543,-1162733661#1,18.4
546,547,-1162733669,19.299999999999997
548,549,-1162733681,34.8
550,551,-1163570031#1,16.0
552,553,-1163570031#3,19.300000000000004
554,555,-1165333705#2,33.0
558,559,-1166164530,30.0
560,561,-1167302174,53.699999999999996
562,563,-1167302176,17.400000000000006
564,565,-1167302178#5,11.0
566,567,-1167483585#0,11.0
570,571,-1167483590,12.0
574,575,-1167566266#0,9.0
576,577,-1167566266#2,5.0
578,579,-1167566266#4,15.0
582,583,-1167897907,33.2
584,585,-1167897920#0,25.8
586,587,-1167897921#0,22.1
588,589,-1167898077#4,20.3
590,591,-1167898097#1,33.0
592,593,-1167898268,16.0
594,595,-1169236534,38.0
596,597,-1169236539,12.0
598,599,-1169240234,15.299999999999999
600,601,-1169240238,3.0
602,603,-1169240239#1,5.0
604,605,-1169240240#1,13.1
608,609,-1170520012#1,14.5
612,613,-1172656244#1,7.699999999999999
614,615,-1172656249,2.0
616,617,-1172656251,1.0
618,619,-1172656258,6.0
620,621,-1172656259#2,30.2
624,625,-1172656308#0,9.0
626,627,-1172656308#2,8.0
628,629,-1172656314,6.0
632,633,-1173245043#2,47.0
634,635,-1173248154#1,4.0
636,637,-1173249810,13.0
638,639,-1173257673,3.0
642,643,-1173262122,2.0
644,645,-1173262123#1,3.0
646,647,-1173262124,2.0
648,649,-1173262126#1,5.0
650,651,-1173262126#2,1.8
652,653,-1173262128#1,7.0
654,655,-1173262129#3,16.0
656,657,-1173262130,1.0
658,659,-1173681273#4,17.6
660,661,-1173681276#6,42.2
662,663,-1173697288#1,15.0
668,669,-1173874835#0,14.0
670,671,-1173874836#0,16.5
672,673,-1174502377#3,52.6
680,681,-1174502383#4,22.0
682,683,-1174502387#1,31.0
684,685,-1174502390,32.0
686,687,-1175023585#3,10.0
688,689,-1175366460#1,19.200000000000003
690,691,-1175370229#4,9.0
692,693,-1175370230,1.0
698,699,-1175984708,2.0
700,701,-1175984923#1,5.0
702,703,-1177913776#1,42.599999999999994
706,707,-1181076292#0,9.6
708,709,-1181975781#1,3.0
712,713,-1182175653#5,9.2
716,717,-1187531871#3,26.200000000000003
718,719,-1187586139,6.0
720,721,-1187586140#0,17.2
722,723,-1187586141,35.1
724,725,-1187671354,5.0
726,727,-1187769792,6.0
728,729,-1188526668#3,14.0
730,731,-118916215#1,11.0
732,733,-1191607936#1,13.0
734,735,-1194464327,8.1
736,737,-1194464328,5.0
738,739,-1194824694,36.0
742,743,-1194824701#10,23.0
744,745,-1194824706,33.9
746,747,-119925917#1,2.0
748,749,-1203936127,14.2
750,751,-1203936651#2,33.4
752,753,-1205527065,1.0
756,757,-1207124658,27.0
760,761,-1215659170#1,15.0
762,763,-1215659171#1,33.6
764,765,-1221928943#1,29.8
766,767,-1222261301,20.1
768,769,-1222294826#2,27.2
770,771,-1222588065,8.1
772,773,-1222694073#1,13.0
774,775,-1224943549,6.0
776,777,-122688706,9.0
778,779,-122688707#5,18.0
780,781,-122798265#3,39.6
782,783,-1228389305#2,19.0
784,785,-1236052176,10.2
786,787,-1236052177#8,29.7
788,789,-123900703,6.0
792,793,-124768369,8.8
794,795,-1251294733,6.0
796,797,-1251294863,5.0
800,801,-1252126947,2.0
806,807,-1259136474#2,7.0
808,809,-1263001493,13.0
810,811,-1270686454#2,11.0
812,813,-1270686454#5,9.0
814,815,-1271080432,1.0
816,817,-1271094345#1,5.0
818,819,-1271382121,2.0
820,821,-1279825053,6.0
822,823,-1280470925,15.9
824,825,-1282570523,7.3
826,827,-1282623902,11.0
828,829,-1286120530,14.899999999999999
830,831,-1286120542#1,29.4
834,835,-128648105#13,28.0
836,837,-128648105#6,35.4
838,839,-1288641268,12.0
840,841,-1288641269#6,59.7
842,843,-1291137211#1,9.0
844,845,-129512264#3,11.0
846,847,-1297143168#3,20.0
848,849,-1303137705#2,14.0
850,851,-1308110841,7.0
852,853,-1315489390#1,11.0
856,857,-1317643239,19.0
860,861,-1323216742#1,5.1
864,865,-13234675#16,31.0
866,867,-13234675#17,4.0
868,869,-13234675#25,13.0
870,871,-13234675#3,16.0
872,873,-13234675#4,2.0
874,875,-13234675#43,19.0
876,877,-13234675#5,1.0
878,879,-13234675#52,6.0
880,881,-13234675#57,9.0
882,883,-13246859#1,3.0
884,885,-1327195034,14.0
890,891,-133186296#0,5.0
892,893,-133186686,3.0
894,895,-133399929#2,31.200000000000003
898,899,-133664978#18,63.6
900,901,-1351535321,9.0
904,905,-1354374540,2.0
906,907,-136071661#3,52.599999999999994
908,909,-136278554#1,6.0
912,913,-136278554#12,44.2
914,915,-136441320#6,41.0
918,919,-1367612076#1,29.200000000000003
920,921,-1368782934#1,6.0
926,927,-1374204588,21.0
928,929,-1376856664,6.0
930,931,-137699102#2,24.2
932,933,-137699103#5,24.6
934,935,-137730212#4,75.0
936,937,-137732185,4.0
938,939,-137732187#6,24.0
944,945,-1392163360#1,17.0
948,949,-1396268307#1,17.2
