from_node,to_node,edge_id,edge_tt,edge_var
0,1,-1006817039#1,8.0113,1.4242424242424234
2,3,-1006817039#4,15.8015,6.4705882352941195
4,5,-1007105130,12.6126,1.7888888888888899
12,13,-1011550312#2,0.8140000000000001,1.8873348873348874
14,15,-1011550313#3,9.683300000000001,2.564568283453729
18,19,-1018200867,20.537000000000003,5.726666666666669
20,21,-1018511006,3.8885000000000005,0.9865546218487395
22,23,-1018511009#0,3.5156000000000005,0.9222222222222226
24,25,-1018511009#10,7.546000000000001,1.2717948717948717
26,27,-1018511010#10,2.1912000000000003,0.7657142857142859
28,29,-1018511010#3,7.191800000000001,1.2494949494949508
30,31,-1018511010#8,3.9699000000000004,0.5828282828282833
32,33,-1019530040,13.366100000000001,1.7999999999999998
34,35,-1020927804#2,3.4144000000000005,0.2
36,37,-1022656065,5.1557,0.5400000000000001
38,39,-1023577198#3,31.0255,18.488888888888887
40,41,-1025916124#2,5.3856,0.19999999999999996
42,43,-1026477620#2,71.1238,165.8
44,45,-1026481746,9.8076,0.8767847699629827
46,47,-1026482587#1,5.644100000000001,1.5268195614664806
48,49,-1027093575,1.4740000000000002,0.2540229885057471
50,51,-1031379293#3,9.131100000000002,0.9999999999999999
52,53,-1031379294#1,3.8214000000000006,0.40818798449612387
54,55,-103335175,14.370400000000002,30.181232492997196
56,57,-1037102222#1,2.5762000000000005,0.32896174863387984
60,61,-104178895#10,14.1339,2.833806451612903
62,63,-104178895#3,11.4015,38.35374947633012
64,65,-104178895#6,7.773700000000001,1.1450525152017694
66,67,-1042975685#1,13.439800000000002,2.9801932367149764
68,69,-1042975685#4,6.582400000000001,1.2987012987012985
70,71,-104405209#1,4.3516,1.1527067536589666
72,73,-104405210#1,8.0212,1.788888888888889
74,75,-1044541592,5.3614,161.67372549019603
76,77,-1044541593,8.176300000000001,49.337739791073076
82,83,-1050809452#1,3.1053,2.9333333333333336
84,85,-1052726233,20.1025,2.171428571428571
88,89,-1053387542#1,6.787000000000001,2.0
90,91,-1054840087#1,3.9050000000000002,0.8571428571428569
92,93,-1056364553#2,40.073,27.511111111111106
96,97,-1056364673#3,1.287,0.7222976028946178
98,99,-1056366243#1,2.4134,1.0865384615384617
100,101,-1056366248#1,6.913500000000001,1.037405026300409
102,103,-1059952450#1,1.0604,0.0
104,105,-1059952451,7.8507,1.3444444444444446
106,107,-1059959971#1,38.0974,20.299999999999997
108,109,-1060016495#1,5.6364,1.1794871794871797
110,111,-1060458931#1,6.3074,1.2898550724637685
112,113,-1060490109#1,3.6069,0.37894736842105275
114,115,-1061155061,7.4294,0.5000000000000001
116,117,-1061840671,7.029,1.4333333333333331
118,119,-10630916#1,26.0557,13.448867840757726
120,121,-106412904#2,1.6104,0.5856245090337779
122,123,-1064424518,23.058200000000003,14.300000000000002
124,125,-1066019131#0,3.5464000000000007,1.0285714285714285
126,127,-1066019132,2.1758,0.6005995415270676
128,129,-1073367264,13.1483,13.867647058823536
130,131,-1073733970#3,21.169500000000003,5.6723044397462985
132,133,-1073791856#3,4.686,1.4889173060528564
134,135,-1073791857#2,2.4706,0.20000000000000007
138,139,-107440946#3,9.3115,0.7
140,141,-107440946#4,11.414700000000002,2.4555555555555557
142,143,-1074505532#5,13.6873,2.7903713298791035
144,145,-1075515371,6.0181000000000004,0.4095238095238095
146,147,-1075817469#2,2.2275,0.2651515151515152
150,151,-1075827538,9.392900000000001,1.9619047619047614
152,153,-1075829175,5.254700000000001,55.11825922421946
154,155,-1075829183#2,2.5663000000000005,0.9490380679492424
156,157,-1075893330#0,0.6545,0.0
158,159,-1076894533,4.9676,1.1571717171717173
160,161,-1077048394#1,14.373700000000001,1.2999999999999994
164,165,-1078576469,7.540500000000001,2.8000000000000003
166,167,-1078663441,9.5557,1.3
168,169,-1078663652,30.378700000000002,12.612194231471323
170,171,-1078663668,0.6853,0.11803713527851462
172,173,-107990164,4.3318,0.7500000000000001
174,175,-1079997538#2,13.785200000000001,1.9676767676767677
176,177,-1082387578#12,20.579900000000002,3.611111111111112
178,179,-1082387578#21,38.1458,13.798850574712647
180,181,-1082387578#4,8.4161,1.9384615384615376
182,183,-1082387578#5,3.9380000000000006,0.7429487179487179
184,185,-1082387578#6,8.9441,0.7000000000000002
186,187,-1082387601#0,30.2874,21.773333333333337
188,189,-1082389421,3.124,0.5
190,191,-1082389492,6.5054,0.5
192,193,-1082683182#0,19.9265,25.31527093596059
194,195,-1082683182#1,0.0792,0.3
196,197,-1082683183#2,68.6466,161.20000000000005
198,199,-1082683187#1,14.234,1.7197802197802194
200,201,-108481093#12,20.8637,17.512204078955996
202,203,-1085274538#3,18.580099999999998,3.8000000000000003
204,205,-1086509243#0,21.112300000000005,8.111702127659575
206,207,-1086509243#3,2.3056,0.7120708748615727
208,209,-108918727#1,19.742800000000003,3.517195767195767
210,211,-1089917568,0.66,0.0
212,213,-1089917569#1,52.595400000000005,29.000000000000004
214,215,-1091914555#1,9.838400000000002,1.7333333333333332
216,217,-1091914557#1,11.050600000000001,1.8222222222222217
224,225,-1091960707#7,19.6493,3.566666666666666
226,227,-1091960708#5,8.840700000000002,1.1895161290322587
228,229,-1091961841#1,2.5289,0.8975609756097558
234,235,-1093620277,5.3559,0.4999999999999999
236,237,-1093795367#2,6.1149000000000004,0.26373626373626385
238,239,-109860640#1,29.5548,12.834000460554838
240,241,-109860646,5.2063,11.946713205351939
242,243,-1098613985#1,2.6015000000000006,0.2142857142857143
244,245,-1098614014#3,6.666,35.87564766839376
252,253,-1101621068,2.8138,0.0
254,255,-1101800565,18.8133,3.4999999999999987
256,257,-1101800583#0,8.846200000000001,1.5378787878787876
258,259,-1101800620,8.9001,2.1481481481481484
260,261,-1101800625,4.2526,0.6438746438746441
266,267,-1103306569#0,0.026400000000000003,0.16551724137931037
268,269,-1103306569#4,8.8154,1.3000000000000005
270,271,-1103306570#1,3.3154,0.44
272,273,-1103375976#0,5.182100000000001,0.8043478260869563
274,275,-1103375976#2,11.479600000000001,2.7
276,277,-1103375976#3,7.3007,0.0
278,279,-1103375976#5,8.873700000000001,0.0
280,281,-1103644159#2,2.5498000000000003,0.22333333333333338
282,283,-1103644287,3.1405000000000003,0.38422977916271506
284,285,-1103644332#1,16.2393,7.257142857142858
286,287,-1103644649#1,5.9312000000000005,2.7111111111111104
288,289,-1103644654,5.123800000000001,2.3
290,291,-1105486997,1.4311,0.20409982174688066
292,293,-1107297578,0.2288,0.25
294,295,-1107420806#2,20.542500000000004,5.105377906976745
296,297,-1110497124#2,3.762,42.299241756304006
300,301,-1112105427#0,16.2283,5.288888888888888
302,303,-1112105427#1,8.6064,0.0
304,305,-111628106#2,3.4529,0.330238726790451
306,307,-111636189#16,51.1137,29.175032175032175
308,309,-111636206#5,14.187800000000001,3.3817733990147785
312,313,-1116758652#0,0.4202,0.2272727272727272
314,315,-1116981912#2,6.1248000000000005,0.6923076923076922
316,317,-1116981912#3,13.360600000000002,1.9999999999999996
318,319,-1116981963#3,8.4689,5.9555555555555575
320,321,-1116982074#3,14.391300000000001,1.9523809523809537
322,323,-1116982084#10,8.332500000000001,1.2592592592592597
324,325,-1116982084#5,9.6965,1.4107142857142843
326,327,-1116982084#9,9.235600000000002,1.4411764705882357
328,329,-1118986376#1,10.347700000000001,3.954545454545456
330,331,-1119854904#2,11.654500000000002,2.732796660703635
332,333,-1119854960,5.0842,1.4403361344537817
334,335,-112297307#1,15.427500000000002,2.61764705882353
336,337,-112297307#4,8.0234,0.8023715415019759
338,339,-112297307#5,7.9365000000000006,0.4999999999999999
340,341,-112297307#6,19.807700000000004,1.0714285714285716
342,343,-112297309#12,14.676200000000001,3.1555555555555554
344,345,-112297309#16,8.918800000000001,1.3523809523809522
346,347,-112297309#17,4.0293,0.5157894736842106
348,349,-112297309#3,9.8978,1.3066666666666678
350,351,-112297309#6,9.1465,1.596551724137931
352,353,-112602870#1,83.8772,219.20000000000002
356,357,-112602876#1,17.8057,6.418181818181816
360,361,-113054552#6,12.1462,2.6596638655462193
