from_node,to_node,edge_id,edge_tt
0,1,-1006817039#1,13.1094
2,3,-1006817039#4,25.857
4,5,-1007105130,20.6388
6,7,-1007696318#2,41.724000000000004
12,13,-1011550312#2,1.332
14,15,-1011550313#3,15.845400000000001
18,19,-1018200867,33.606
20,21,-1018511006,6.363
22,23,-1018511009#0,5.752800000000001
24,25,-1018511009#10,12.348
26,27,-1018511010#10,3.5856
28,29,-1018511010#3,11.768400000000002
30,31,-1018511010#8,6.4962
34,35,-1020927804#2,5.5872
36,37,-1022656065,8.4366
38,39,-1023577198#3,50.769
40,41,-1025916124#2,8.8128
42,43,-1026477620#2,116.3844
44,45,-1026481746,16.0488
46,47,-1026482587#1,9.235800000000001
48,49,-1027093575,2.4120000000000004
50,51,-1031379293#3,14.9418
52,53,-1031379294#1,6.2532000000000005
54,55,-103335175,23.5152
56,57,-1037102222#1,4.2156
60,61,-104178895#10,23.1282
62,63,-104178895#3,18.657
64,65,-104178895#6,12.720600000000001
66,67,-1042975685#1,21.9924
68,69,-1042975685#4,10.7712
70,71,-104405209#1,7.1208
72,73,-104405210#1,13.1256
74,75,-1044541592,8.7732
76,77,-1044541593,13.3794
82,83,-1050809452#1,5.0814
84,85,-1052726233,32.894999999999996
88,89,-1053387542#1,11.106
90,91,-1054840087#1,6.39
92,93,-1056364553#2,65.574
96,97,-1056364673#3,2.106
98,99,-1056366243#1,3.9492
100,101,-1056366248#1,11.313
102,103,-1059952450#1,1.7352
104,105,-1059952451,12.846599999999999
108,109,-1060016495#1,9.2232
110,111,-1060458931#1,10.321200000000001
112,113,-1060490109#1,5.9022
114,115,-1061155061,12.1572
116,117,-1061840671,11.501999999999999
118,119,-10630916#1,42.6366
120,121,-106412904#2,2.6352
122,123,-1064424518,37.7316
124,125,-1066019131#0,5.8032
126,127,-1066019132,3.5604
128,129,-1073367264,21.5154
130,131,-1073733970#3,34.641000000000005
132,133,-1073791856#3,7.668
134,135,-1073791857#2,4.0428
136,137,-107440946#0,5.724
138,139,-107440946#3,15.237
140,141,-107440946#4,18.678600000000003
142,143,-1074505532#5,22.3974
144,145,-1075515371,9.847800000000001
146,147,-1075817469#2,3.645
150,151,-1075827538,15.3702
152,153,-1075829175,8.598600000000001
154,155,-1075829183#2,4.199400000000001
158,159,-1076894533,8.1288
160,161,-1077048394#1,23.5206
162,163,-1077048396#1,23.5422
164,165,-1078576469,12.339
166,167,-1078663441,15.6366
168,169,-1078663652,49.7106
170,171,-1078663668,1.1214
172,173,-107990164,7.0884
174,175,-1079997538#2,22.5576
176,177,-1082387578#12,33.6762
178,179,-1082387578#21,62.420399999999994
180,181,-1082387578#4,13.7718
182,183,-1082387578#5,6.444
184,185,-1082387578#6,14.635800000000001
186,187,-1082387601#0,49.5612
188,189,-1082389421,5.112
190,191,-1082389492,10.645199999999999
192,193,-1082683182#0,32.607
194,195,-1082683182#1,0.1296
198,199,-1082683187#1,23.291999999999998
200,201,-108481093#12,34.1406
204,205,-1086509243#0,34.5474
206,207,-1086509243#3,3.7728
208,209,-108918727#1,32.306400000000004
210,211,-1089917568,1.08
212,213,-1089917569#1,86.0652
214,215,-1091914555#1,16.099200000000003
216,217,-1091914557#1,18.0828
224,225,-1091960707#7,32.1534
226,227,-1091960708#5,14.466600000000001
228,229,-1091961841#1,4.1382
230,231,-1093316379#1,58.345200000000006
232,233,-1093620238,69.3378
234,235,-1093620277,8.7642
236,237,-1093795367#2,10.0062
238,239,-109860640#1,48.3624
240,241,-109860646,8.5194
242,243,-1098613985#1,4.257000000000001
244,245,-1098614014#3,10.908
246,247,-1098926674#2,54.2016
248,249,-1099418498#1,54.75600000000001
250,251,-1099418562,104.031
252,253,-1101621068,4.6044
254,255,-1101800565,30.785400000000003
256,257,-1101800583#0,14.4756
258,259,-1101800620,14.563799999999999
260,261,-1101800625,6.9588
262,263,-1101800627,18.5058
266,267,-1103306569#0,0.0432
270,271,-1103306570#1,5.425199999999999
272,273,-1103375976#0,8.479800000000001
274,275,-1103375976#2,18.7848
276,277,-1103375976#3,11.9466
278,279,-1103375976#5,14.5206
280,281,-1103644159#2,4.1724000000000006
282,283,-1103644287,5.139
286,287,-1103644649#1,9.7056
288,289,-1103644654,8.384400000000001
290,291,-1105486997,2.3418
292,293,-1107297578,0.3744
294,295,-1107420806#2,33.615
296,297,-1110497124#2,6.156
300,301,-1112105427#0,26.555400000000002
302,303,-1112105427#1,14.0832
304,305,-111628106#2,5.6502
306,307,-111636189#16,83.6406
308,309,-111636206#5,23.2164
310,311,-1116756785,86.58359999999999
312,313,-1116758652#0,0.6876
314,315,-1116981912#2,10.0224
316,317,-1116981912#3,21.862800000000004
318,319,-1116981963#3,13.8582
320,321,-1116982074#3,23.549400000000002
322,323,-1116982084#10,13.635
326,327,-1116982084#9,15.112800000000002
328,329,-1118986376#1,16.9326
330,331,-1119854904#2,19.071
332,333,-1119854960,8.3196
334,335,-112297307#1,25.245
336,337,-112297307#4,13.129199999999999
338,339,-112297307#5,12.987
340,341,-112297307#6,32.412600000000005
342,343,-112297309#12,24.015600000000003
344,345,-112297309#16,14.594400000000002
346,347,-112297309#17,6.5934
348,349,-112297309#3,16.1964
350,351,-112297309#6,14.966999999999999
352,353,-112602870#1,137.2536
356,357,-112602876#1,29.1366
360,361,-113054552#6,19.8756
362,363,-113078530#3,19.9476
364,365,-113078530#8,16.9542
366,367,-113078532#1,5.7276
368,369,-1131704044#10,46.690200000000004
370,371,-1132693873,31.2228
374,375,-1133070114#1,16.790399999999998
