from_node,to_node,edge_id,edge_tt,edge_var
0,1,--153692837#1,13.12707182320442,485.20184162062617
2,3,-101238042,6.0,4.0
4,5,-101731827#0,3.6818181818181817,0.7539184952978052
6,7,-101731827#1,3.6363636363636362,1.9067599067599066
8,9,-101731827#2,5.52,0.4888888888888888
10,11,-101731858,13.2,0.0
12,13,-102461801,29.279999999999998,8.266666666666667
14,15,-102818928#0,18.016216216216215,1069.5851827437195
16,17,-102818928#1,31.18688524590164,2978.1916610524745
18,19,-103053747,10.35,2.8392857142857144
20,21,-103053774#0,19.78217821782178,2738.3922772277238
22,23,-103053774#1,22.28333333333333,3055.938771517996
24,25,-103053774#2,25.82608695652174,3018.253196930946
26,27,-103053774#3,9.466666666666667,0.361111111111111
28,29,-103053774#4,4.457142857142857,0.5714285714285715
30,31,-103053774#5,3.1999999999999997,0.33333333333333326
32,33,-103053774#6,2.16,0.5894736842105261
34,35,-103053774#7,3.12,2.3
36,37,-103053803,11.679999999999998,3.923809523809523
38,39,-103396186,6.64390243902439,3.2048780487804875
40,41,-103512657,50.16,5285.536842105264
42,43,-103512667#0,17.305099394987035,319.5951676720307
44,45,-103512667#2,7.0582031249999995,72.6575778577102
46,47,-103512672,64.13333333333333,805.7908496732025
48,49,-103671248,4.848,0.45666666666666655
50,51,-103671254,7.35,0.410714285714286
52,53,-103671264,4.338461538461538,0.242914979757085
54,55,-103671267#0,23.142857142857142,4.23809523809524
56,57,-103671267#1,4.061538461538461,0.9230769230769228
58,59,-103671267#10,2.1,0.25
60,61,-103671267#11,3.5999999999999996,0.0
62,63,-103671267#12,2.8000000000000003,0.2666666666666666
64,65,-103671267#13,3.3,0.25000000000000006
66,67,-103671267#14,27.599999999999998,3.3333333333333335
68,69,-103671267#2,2.6999999999999997,0.20454545454545447
72,73,-103671267#4,3.5999999999999996,1.5
74,75,-103671267#5,4.5473684210526315,0.7309941520467835
76,77,-103671267#6,3.072,0.3399999999999999
78,79,-103671267#7,3.5999999999999996,0.0
80,81,-103671267#9,3.257142857142857,0.21164021164021168
82,83,-103671270,5.765853658536585,0.7609756097560977
84,85,-103678452,2.4,0.2857142857142859
86,87,-103678458#0,2.057142857142857,0.9047619047619048
88,89,-103678458#1,3.1384615384615384,0.25641025641025644
90,91,-103686129#1,91.5,103.80000000000001
92,93,-103687101,5.6830188679245275,476.8819407008089
94,95,-103718186,172.644,4767.5323205342265
96,97,-104010328,2.752941176470588,0.21390374331550815
98,99,-1040258009,16.852589641434264,5098.38247465718
100,101,-104236368#0,12.381818181818181,3.6558441558441563
102,103,-104236369,1.042622950819672,0.14918032786885246
104,105,-1042557946,2.489974726200505,0.1334965214784677
106,107,-1042557947,1.387878787878788,0.13216410099308182
108,109,-10425610#1,89.06911764705882,13678.632271767952
110,111,-10425611#0,72.67187222715172,12786.289260379412
112,113,-10425611#1,17.580300500834724,1840.917673287279
114,115,-10427692#1,77.69834254143647,2322.6476467756347
116,117,-10427692#2,3.470949720670391,36.764642340899314
118,119,-10427692#3,6.873029045643153,51.91041865419165
120,121,-10427692#4,5.896153846153846,10.893463654639724
122,123,-10427692#5,6.271888111888112,2.7945309592368406
124,125,-10427692#6,3.4319660537482317,0.2735654382921091
126,127,-10427692#7,7.983499288762446,8.961982225140115
128,129,-104847200,18.0,6.500000000000003
130,131,-105141980#0,26.4,648.0
132,133,-105141980#1,1.68,0.5684210526315789
134,135,-105143683#0,30.266666666666666,18.94444444444445
136,137,-105143683#1,8.85,11.125
138,139,-105467137,12.239999999999998,1.5000000000000007
142,143,-105540411,11.52,29.015384615384626
144,145,-10597452#0,14.594594594594593,1.6396396396396402
146,147,-10597452#1,13.453846153846154,4.248491704374058
148,149,-10597454#1,26.02064516129032,388.08772517804766
150,151,-10597454#2,8.505882352941176,56.02178649237475
152,153,-10597455#0,1.1142857142857143,0.07142857142857142
154,155,-10597455#1,7.257142857142856,0.3476190476190476
156,157,-106083637,8.742857142857142,2.8351648351648353
160,161,-107431496#0,6.356640344580043,3.042355661724054
162,163,-107431496#1,21.926650366748166,1.3744553952597298
166,167,-108237964#0,2.9333333333333336,0.2777777777777778
168,169,-108237964#1,12.0,3.333333333333334
170,171,-108237964#2,3.5999999999999996,0.0
172,173,-108239224#0,9.2,0.3333333333333335
174,175,-108239224#1,10.799999999999999,0.0
176,177,-108239938,10.961344537815124,1.0665147414898162
178,179,-108240279#0,7.919999999999999,1.3
180,181,-108240279#1,14.983783783783782,12.97897897897898
182,183,-108240279#2,18.610778443113773,36.73335257196448
184,185,-1082935356#0,25.527272727272727,7.218181818181819
186,187,-1082935356#1,16.32,45.3
188,189,-1082935357#1,42.53333333333333,7.777777777777779
190,191,-108310250,1.3607142857142855,0.2611808236808237
192,193,-108310251,2.0869565217391304,0.4309462915601022
194,195,-108310252,7.183561643835617,1.0692541856925422
196,197,-108310253,5.031932773109244,0.6657171343113515
