from_node,to_node,edge_id,edge_tt,edge_var
0,1,--153692837#1,8.332682926829268,6.575609756097561
2,3,-101238042,5.422857142857143,1.5714285714285712
4,5,-101731827#0,2.8038636363636362,0.9978354978354976
6,7,-101731827#1,2.7739999999999996,1.41025641025641
8,9,-101731827#2,4.745,2.0
10,11,-101731858,8.3512,2.177777777777778
12,13,-102461801,24.674,2.6666666666666665
14,15,-102818928#0,21.30126291079812,2824.304854282929
16,17,-102818928#1,19.78642723004695,1964.1660023031268
18,19,-103053747,7.863142857142858,1.9047619047619049
20,21,-103053774#0,3.4246521739130436,0.9769820971867008
22,23,-103053774#1,2.7141399999999996,0.6126530612244898
24,25,-103053774#2,3.163333333333333,1.2280701754385963
26,27,-103053774#3,7.4022,5.7
28,29,-103053774#4,1.2486842105263158,0.6725146198830408
30,31,-103053774#5,1.2653333333333332,0.3333333333333333
32,33,-103053774#6,1.304875,0.5535714285714286
34,35,-103053774#7,2.5623,0.8999999999999999
36,37,-103053803,9.0155,8.333333333333334
38,39,-103396186,3.9383500000000002,4.4499999999999975
40,41,-103512657,12.495166666666666,52.33333333333334
42,43,-103512667#0,9.758386321626617,35.22172246183337
44,45,-103512667#2,4.9432985074626865,6.161372624059185
46,47,-103512672,42.26213333333333,260.9809523809524
50,51,-103671254,4.880571428571429,2.8095238095238098
52,53,-103671264,3.1000666666666663,0.3063063063063063
54,55,-103671267#0,20.66711111111111,6.1944444444444455
56,57,-103671267#1,3.6773749999999996,0.6964285714285714
60,61,-103671267#11,1.7520000000000002,0.4743589743589742
62,63,-103671267#12,0.949,0.0
64,65,-103671267#13,1.5184,0.7999999999999999
66,67,-103671267#14,23.047142857142855,20.9047619047619
68,69,-103671267#2,1.6268571428571428,0.9047619047619048
70,71,-103671267#3,3.08425,0.25
72,73,-103671267#4,2.847,0.0
74,75,-103671267#5,3.796,0.0
76,77,-103671267#6,2.588181818181818,0.2181818181818181
78,79,-103671267#7,1.7398333333333331,1.7666666666666664
80,81,-103671267#9,2.7607272727272725,0.2909090909090909
82,83,-103671270,20.106146666666667,3630.045765765767
84,85,-103678452,1.2653333333333332,0.3333333333333333
86,87,-103678458#0,3.796,0.0
88,89,-103678458#1,2.214333333333333,2.333333333333333
90,91,-103686129#1,78.45066666666666,60.74999999999999
92,93,-103687101,5.01072,7.960000000000001
94,95,-103718186,68.2781775,8453.48345238095
96,97,-104010328,1.898,0.1818181818181818
98,99,-1040258009,8.158524242424242,1.2637237320090124
100,101,-104236368#0,9.371374999999999,2.982142857142855
102,103,-104236369,0.9183870967741935,0.032258064516129
104,105,-1042557946,1.9051174999999998,0.097687969924812
106,107,-1042557947,1.0794875,0.118890977443609
108,109,-10425610#1,38.508931372549014,5683.485117711209
110,111,-10425611#0,30.61096227929374,5254.381791048626
112,113,-10425611#1,11.6771484375,908.9594776192332
114,115,-10427692#1,39.84637959183673,1236.0367346938772
116,117,-10427692#2,2.1534999999999997,20.61819082205348
118,119,-10427692#3,4.463200873362445,49.98161342220181
120,121,-10427692#4,4.828612334801763,24.87715878523256
122,123,-10427692#5,5.9795398230088495,29.935732546706003
124,125,-10427692#6,2.742484581497797,0.3285252036957622
126,127,-10427692#7,6.218447368421052,0.7505216786459541
128,129,-104847200,15.09772727272727,13.290909090909093
130,131,-105141980#0,34.164,0.0
132,133,-105141980#1,2.5306666666666664,0.2666666666666666
134,135,-105143683#0,28.786333333333328,57.33333333333333
136,137,-105143683#1,5.694,2.0
138,139,-105467137,10.083124999999999,3.982142857142856
140,141,-105482066,7.1175,0.5
142,143,-105540411,7.592,1.7142857142857142
144,145,-10597452#0,11.252428571428572,1.4761904761904765
146,147,-10597452#1,10.498312499999999,3.3958333333333357
148,149,-10597454#1,17.7479649122807,261.6773182957393
150,151,-10597454#2,5.38375,23.989064856711927
152,153,-10597455#0,1.2078181818181817,0.2181818181818181
154,155,-10597455#1,5.8973571428571425,1.8736263736263743
160,161,-107431496#0,5.113133545310016,2.0148856237278854
162,163,-107431496#1,15.59285770750988,1.9011466364027725
166,167,-108237964#0,2.60975,0.2499999999999999
168,169,-108237964#1,9.49,0.0
170,171,-108237964#2,1.898,1.0
176,177,-108239938,9.167698113207546,1.7670537010159657
178,179,-108240279#0,5.8838,23.7
180,181,-108240279#1,15.247266666666667,2.780952380952382
182,183,-108240279#2,15.388897727272726,33.78043364681296
184,185,-1082935356#0,20.878,0.0
190,191,-108310250,0.9998392857142857,0.1243506493506494
192,193,-108310251,1.5389189189189187,0.5195195195195192
194,195,-108310252,6.010333333333333,0.685714285714286
196,197,-108310253,4.100396226415095,1.1451378809869373
200,201,-10941814,7.378317880794702,0.8822958057395147
202,203,-10941825,10.133964285714285,1.7129870129870135
204,205,-109483355,7.592,0.0
206,207,-11014139#1,33.106098360655736,2496.05397602153
208,209,-110212545,27.9955,17.428571428571427
210,211,-110750652,40.806999999999995,2.5
214,215,-111120105#0,18.663666666666668,5.333333333333332
218,219,-112979065#1,0.949,0.0
224,225,-112979077,6.343315789473684,5.894736842105264
226,227,-112979081,18.347333333333328,0.333333333333333
228,229,-112979094#0,6.0736,2.4631578947368427
230,231,-112979094#1,2.555,1.3974358974358971
232,233,-112979110,6.733380952380951,2.490476190476191
234,235,-113796178#0,2.3725,1.105263157894737
236,237,-113796178#1,3.4401249999999997,1.05
238,239,-113796181#1,4.290270833333333,14.850620567375891
240,241,-113796181#2,2.588181818181818,3.4458874458874456
242,243,-113796181#3,2.13525,0.2142857142857142
248,249,-113796182,5.100874999999999,1.410714285714286
250,251,-113796184,5.2195,0.7
252,253,-113796194#0,13.8554,2.8
256,257,-113796197,5.694,12.4
258,259,-113796198,6.326666666666666,0.3333333333333332
260,261,-114198606#1,19.980763636363633,199.0061718098416
262,263,-114325482,42.07233333333333,2.333333333333334
264,265,-115082348,34.292394117647056,873.2854763144194
266,267,-115082374#0,11.577799999999998,135.73333333333332
268,269,-115881035#0,9.173666666666666,2.333333333333334
270,271,-115881035#1,22.301499999999997,12.5
272,273,-115881035#2,11.862499999999999,12.5
280,281,-115881035#6,5.694,0.0
286,287,-115881041#0,11.129181818181818,4.01818181818182
288,289,-115881041#1,2.847,0.0
294,295,-115881041#4,11.388,0.0
296,297,-115881043#0,12.5149375,1.3625
298,299,-115881043#10,2.847,0.0
300,301,-115881043#11,14.867666666666665,1.0666666666666669
302,303,-115881043#2,4.6263749999999995,0.3833333333333332
304,305,-115881043#4,3.592642857142857,2.027472527472528
306,307,-115881043#5,6.010333333333333,1.5
308,309,-115881043#7,2.3725,0.5
310,311,-115881043#8,2.2775999999999996,0.3
312,313,-115881043#9,7.592,0.0
314,315,-115881046,24.515833333333326,4.5666666666666655
320,321,-115881048#1,9.0155,0.5
326,327,-115881049#2,21.826999999999998,0.0
332,333,-116765451#1,10.942257575757576,2.2593282629778995
334,335,-116765451#2,1.3132626262626264,0.2377622377622374
336,337,-116765457#1,17.608521594684387,2518.506692400056
338,339,-117070809,54.092999999999996,79.0
340,341,-117560677,10.5339,7.21111111111111
344,345,-118004624#1,45.0775,44.3
346,347,-118004640#1,6.247583333333333,0.8106060606060607
348,349,-118004640#1.47,6.297909090909091,53.85454545454545
350,351,-118004640#2,2.0034444444444444,0.3611111111111111
352,353,-118004640#4,1.779375,0.4107142857142856
354,355,-118004640#5,5.377666666666666,65.41176470588233
360,361,-118604348#0,3.895149253731343,0.549525101763908
362,363,-118604348#1,1.9424843749999998,0.0771329365079364
364,365,-118604350,3.796,2.0000000000000004
366,367,-118604351#0,2.13525,0.9166666666666666
368,369,-118604351#1,6.010333333333333,2.333333333333333
370,371,-118604351#2,11.388,0.0
372,373,-118604351#3,1.4235,0.5
374,375,-118604351#4,17.8412,1.6999999999999995
376,377,-118604352,4.745,0.0
378,379,-118604353,1.898,0.0
380,381,-118604354,3.3215,4.5
382,383,-118604355,4.2705,1.9
384,385,-118604356,4.112333333333333,5.333333333333333
386,387,-118604357,4.2705,0.5
390,391,-118604359,2.847,1.8333333333333333
392,393,-118604360,2.5306666666666664,1.3333333333333337
394,395,-118604365,4.50775,1.583333333333333
396,397,-118604366,4.745,3.0000000000000004
398,399,-118604367,4.112333333333333,1.4666666666666663
400,401,-118607467,18.136444444444443,6.861111111111108
402,403,-118607469#0,12.847999999999999,1.6899038461538456
404,405,-118607469#1,20.6882,4.693750000000001
406,407,-118607469#2,30.3096,9.714903846153842
408,409,-118607469#3,15.36767741935484,2.879957694341617
410,411,-118607469#4,10.628799999999998,0.6999999999999996
412,413,-118607471,6.010333333333333,0.3333333333333332
414,415,-118607473,7.592,0.0
416,417,-118607475#1,62.950333333333326,101.33333333333331
418,419,-118607475#2,26.572,19.0
422,423,-118607480,4.4286666666666665,2.333333333333333
424,425,-118607482,20.27409090909091,8.854545454545452
426,427,-118607484,4.112333333333333,2.333333333333334
428,429,-118607485,18.742749999999997,8.916666666666666
430,431,-118607487#0,1.120801724137931,0.2017241379310345
432,433,-118607487#1,9.672834862385322,1.268093781855251
434,435,-118607487#10,1.4590875,0.302373417721519
436,437,-118607487#11,1.5694999999999997,0.359140859140859
438,439,-118607487#12,1.2112236842105264,0.2559649122807017
440,441,-118607487#13,1.6119999999999999,0.3523592085235921
442,443,-118607487#14,1.3963857142857143,0.3107660455486541
444,445,-118607487#15,0.9773283582089553,0.120307553143374
446,447,-118607487#2,1.4013271028037382,0.2706753658966671
448,449,-118607487#3,0.7953523809523809,0.1562271062271062
450,451,-118607487#4,1.247257142857143,0.2175824175824176
452,453,-118607487#5,1.4099428571428572,0.2714285714285714
454,455,-118607487#6,1.4421078431372547,0.4105028149873811
456,457,-118607487#7,1.3755168539325842,0.2502553626149131
458,459,-118607487#8,1.4714831460674156,0.341164453524004
460,461,-118607487#9,1.1749523809523807,0.2076878944348824
462,463,-118607492,22.776,8.000000000000002
464,465,-118607497#0,2.908225806451613,0.5956989247311827
466,467,-118607504#4,89.20599999999999,46.500000000000014
468,469,-118607504#5,22.301499999999997,6.333333333333335
470,471,-118607504#6,21.6372,0.1999999999999997
472,473,-118607504#7,1.4235,0.5
476,477,-118619445#0,1.8302142857142858,0.6868131868131868
478,479,-118619445#1,4.745,1.5555555555555556
480,481,-118619463,69.277,0.0
482,483,-118619465#0,1.66075,0.25
484,485,-118619465#1,6.326666666666666,0.3333333333333335
486,487,-118619467,6.643,0.0
494,495,-11940927#0,4.006888888888889,1.1572327044025157
496,497,-11940927#1,2.4596530612244893,0.2465986394557822
498,499,-11940927#2,5.887673469387755,0.4991496598639455
500,501,-11940927#3,2.091673469387755,1.3741496598639455
502,503,-11940927#4,6.619853658536585,0.1743902439024391
506,507,-119621356#0,225.55112068965514,640.3294010889284
508,509,-119621360#0,1.7016551724137932,2.2722323049001805
512,513,-120033060#0,19.929,7.0
516,517,-120033065,11.388,4.2
518,519,-120033067,15.500333333333332,0.3333333333333339
522,523,-120033068#1,4.4286666666666665,0.3333333333333335
526,527,-120033074#1,2.847,0.0
530,531,-120033091#0,22.776,18.0
532,533,-120033091#1,59.3125,4.5
534,535,-120033097,2.214333333333333,5.333333333333334
536,537,-120033098#0,3.4796666666666662,0.3333333333333333
538,539,-120033098#3,6.405749999999999,0.2499999999999999
542,543,-120033098#5,15.184,4.666666666666667
544,545,-120033098#6,1.1453448275862068,0.1699507389162561
546,547,-120033098#7,2.0737407407407407,0.3874643874643872
548,549,-120033100#0,31.723714285714287,19.61904761904762
550,551,-120033100#1,1.5816666666666666,0.5
552,553,-120033103,19.4545,3.0
554,555,-120033104#0,6.815545454545454,1.3636363636363638
556,557,-120033104#1,2.847,0.6666666666666666
558,559,-120125554,9.49,5.499999999999999
560,561,-120365432,9.49,0.0
566,567,-120416766#0,6.8328,1.288888888888889
568,569,-120416766#1,17.26591472868217,4.270635016267017
570,571,-120416786,20.74965163934426,6.849946029818523
572,573,-120416814#0,19.4545,5.142857142857143
574,575,-120416814#1,0.949,0.0
576,577,-121110648#0,13.286,3.0
578,579,-121110648#1,9.0155,4.5
580,581,-121460647,1.898,0.0
582,583,-121460649#0,2.847,0.0
