from_node,to_node,edge_id,edge_tt,edge_var
0,1,--153692837#1,10.54728,8.0
2,3,-101238042,4.218912,0.0
4,5,-101731827#0,3.1641840000000006,0.6666666666666666
6,7,-101731827#1,4.218912,1.0
8,9,-101731827#2,3.867336,0.3333333333333332
10,11,-101731858,10.9691712,0.7999999999999999
12,13,-102461801,33.751296,21.0
14,15,-102818928#0,6.557656695652175,26.025575447570336
16,17,-102818928#1,20.16211930434783,1215.6040068201196
18,19,-103053747,10.54728,0.0
20,21,-103053774#0,3.4806024000000004,1.122222222222222
22,23,-103053774#1,2.7422928000000004,1.3
24,25,-103053774#2,2.5313472000000004,0.8
28,29,-103053774#4,3.51576,0.3333333333333333
32,33,-103053774#6,1.054728,0.0
38,39,-103396186,5.27364,0.0
42,43,-103512667#0,9.262429527272728,2.8404040404040414
44,45,-103512667#2,4.818189272727273,0.948731501057082
46,47,-103512672,36.388116000000004,4.5
50,51,-103671254,6.780394285714287,2.2857142857142856
52,53,-103671264,3.3751296000000006,0.2
54,55,-103671267#0,26.3682,0.0
56,57,-103671267#1,5.27364,0.0
58,59,-103671267#10,2.109456,0.0
62,63,-103671267#12,2.63682,0.5
64,65,-103671267#13,1.7578800000000003,1.3333333333333337
68,69,-103671267#2,4.218912,0.0
74,75,-103671267#5,3.1641840000000006,0.0
76,77,-103671267#6,3.1641840000000006,0.0
78,79,-103671267#7,4.218912,0.0
80,81,-103671267#9,3.1641840000000006,0.0
82,83,-103671270,4.8517488,0.2999999999999999
86,87,-103678458#0,1.5820920000000003,0.5
88,89,-103678458#1,3.691548,0.5
90,91,-103686129#1,84.37824,32.0
92,93,-103687101,5.6955312000000005,6.8
94,95,-103718186,35.31740727272727,600.4564007421151
96,97,-104010328,2.34384,0.1944444444444444
98,99,-1040258009,9.026218255192877,1.0985763741698458
100,101,-104236368#0,11.074644000000001,0.5
102,103,-104236369,0.9888075000000001,0.0624999999999999
104,105,-1042557946,2.0748747540983605,0.1304289243206826
106,107,-1042557947,1.218988918032787,0.1318437008758142
108,109,-10425610#1,51.76587297478993,8310.757313051803
110,111,-10425611#0,12.275118793057409,30.864903650500143
112,113,-10425611#1,7.0338483178807945,0.7151439562949047
114,115,-10427692#1,28.817108689655175,324.7789361133388
116,117,-10427692#2,1.865067804878049,0.3036735922914785
118,119,-10427692#3,3.691548,0.3518518518518519
120,121,-10427692#4,4.746276000000001,0.3797468354430385
122,123,-10427692#5,5.708715300000001,1.1568037974683545
124,125,-10427692#6,3.0191589,0.2466772151898734
126,127,-10427692#7,6.776627400000001,0.6778481012658227
130,131,-105141980#0,46.408032,0.0
132,133,-105141980#1,2.63682,0.5
134,135,-105143683#0,28.477656000000003,0.0
138,139,-105467137,11.86569,4.916666666666667
140,141,-105482066,7.383096,0.0
142,143,-105540411,8.2268784,2.7
144,145,-10597452#0,13.711464000000001,0.0
146,147,-10597452#1,11.602008,5.333333333333332
148,149,-10597454#1,21.328944000000003,285.1025641025641
150,151,-10597454#2,5.361534,1.297101449275363
152,153,-10597455#0,0.4520262857142856,0.2857142857142857
154,155,-10597455#1,7.514937000000001,0.4107142857142856
156,157,-106083637,4.218912,0.0
160,161,-107431496#0,5.60965953982301,2.3247197640118005
162,163,-107431496#1,17.07848030769231,1.7252443688907786
166,167,-108237964#0,2.109456,0.0
170,171,-108237964#2,3.1641840000000006,0.0
174,175,-108239224#1,7.383096,0.0
176,177,-108239938,9.857650153846157,1.6753846153846157
178,179,-108240279#0,7.9104600000000005,0.5
180,181,-108240279#1,16.084602,7.0
182,183,-108240279#2,16.595032293577983,33.289670404349295
186,187,-1082935356#1,16.875648,0.0
188,189,-1082935357#1,38.497572,40.5
190,191,-108310250,1.1358609230769232,0.1781376518218623
192,193,-108310251,1.7798535000000002,0.2291666666666666
194,195,-108310252,6.514496470588236,0.6544117647058825
196,197,-108310253,4.25947846153846,0.8384615384615384
200,201,-10941814,8.08976376,1.0920202020202017
202,203,-10941825,10.935864000000002,1.6900584795321634
206,207,-11014139#1,14.440341073170732,52.33000133280019
208,209,-110212545,33.751296,16.000000000000004
212,213,-111120103,4.218912,0.0
224,225,-112979077,6.1174224,0.4571428571428574
226,227,-112979081,22.940334000000004,6.249999999999997
228,229,-112979094#0,7.196967529411766,0.904411764705882
230,231,-112979094#1,2.9632834285714287,0.661904761904762
232,233,-112979110,7.315049032258065,0.9956989247311828
234,235,-113796178#0,2.461032,0.3333333333333333
236,237,-113796178#1,2.109456,0.0
238,239,-113796181#1,3.691548,11.526315789473683
240,241,-113796181#2,3.5597070000000004,2.5535714285714293
242,243,-113796181#3,3.3751296000000006,7.7
244,245,-113796181#4,7.119414000000001,2.25
246,247,-113796181#5,9.492552000000002,0.0
248,249,-113796182,7.119414000000001,1.583333333333333
250,251,-113796184,6.328368000000001,0.0
254,255,-113796195,2.8126080000000004,1.3333333333333337
256,257,-113796197,5.484585600000001,1.7000000000000002
258,259,-113796198,8.086248000000001,4.333333333333333
260,261,-114198606#1,25.383787199999997,184.96666666666675
264,265,-115082348,21.322822029850748,232.38138256087984
266,267,-115082374#0,9.023784,20.52777777777778
268,269,-115881035#0,18.985104000000003,0.0
270,271,-115881035#1,11.86569,2.9166666666666665
280,281,-115881035#6,13.711464000000001,8.0
282,283,-115881035#7,16.875648,0.0
286,287,-115881041#0,13.535676000000002,2.166666666666666
288,289,-115881041#1,2.900502,0.9166666666666666
290,291,-115881041#2,15.820920000000001,0.0
292,293,-115881041#3,4.746276000000001,0.5
294,295,-115881041#4,11.602008,0.0
296,297,-115881043#0,13.447782000000002,0.25
298,299,-115881043#10,3.1641840000000006,0.6666666666666666
300,301,-115881043#11,16.348284,0.333333333333333
302,303,-115881043#2,3.867336,2.333333333333333
304,305,-115881043#4,5.27364,0.0
306,307,-115881043#5,6.855732000000001,3.0
308,309,-115881043#7,2.109456,0.0
310,311,-115881043#8,2.63682,0.3333333333333333
312,313,-115881043#9,6.855732000000001,0.5
318,319,-115881048#0,4.9220640000000015,0.6666666666666667
322,323,-115881049#0,17.327674285714284,1.6190476190476204
324,325,-115881049#1,1.7578800000000003,0.6666666666666666
326,327,-115881049#2,19.77615,5.583333333333331
328,329,-115881050,23.204016,0.0
332,333,-116765451#1,12.142062577540106,2.49115356255682
334,335,-116765451#2,1.4703982841823062,0.2391061050434533
336,337,-116765457#1,4.83598224742268,1.5721117392750232
340,341,-117560677,11.250432000000004,6.333333333333334
344,345,-118004624#1,48.64932900000001,48.41071428571427
346,347,-118004640#1,7.383096,3.333333333333333
348,349,-118004640#1.47,3.4278660000000003,0.25
350,351,-118004640#2,2.109456,1.0
352,353,-118004640#4,2.461032,0.3333333333333333
354,355,-118004640#5,3.5860752000000002,0.2999999999999999
360,361,-118604348#0,4.317792750000001,0.6038306451612903
362,363,-118604348#1,2.1821958620689657,0.1379310344827586
366,367,-118604351#0,1.5820920000000003,0.3333333333333333
368,369,-118604351#1,7.6844468571428575,1.238095238095238
370,371,-118604351#2,12.958086857142858,1.9047619047619044
372,373,-118604351#3,1.875072,0.1944444444444444
374,375,-118604351#4,20.039832,3.500000000000001
380,381,-118604354,2.109456,0.0
382,383,-118604355,2.109456,0.0
384,385,-118604356,4.218912,0.0
386,387,-118604357,5.27364,2.0
394,395,-118604365,4.6408032000000015,3.8
396,397,-118604366,4.218912,0.0
398,399,-118604367,4.9220640000000015,0.3333333333333332
400,401,-118607467,15.820920000000001,0.0
402,403,-118607469#0,14.293382896551725,2.327586206896552
404,405,-118607469#1,23.430029142857144,6.248677248677251
406,407,-118607469#2,34.046619840000005,12.043333333333331
408,409,-118607469#3,17.170971840000004,3.960000000000001
410,411,-118607469#4,9.492552000000002,0.0
414,415,-118607473,5.27364,0.0
416,417,-118607475#1,64.338408,12.0
418,419,-118607475#2,27.071352000000005,3.466666666666668
