from_node,to_node,edge_id,edge_tt,edge_var
0,1,--153692837#1,12.0,0.0
4,5,-101731827#0,3.3333333333333335,0.33333333333333337
6,7,-101731827#1,4.0,1.0
8,9,-101731827#2,3.6666666666666665,0.33333333333333326
12,13,-102461801,33.0,0.0
14,15,-102818928#0,10.846153846153847,116.64102564102565
16,17,-102818928#1,38.84615384615385,4718.807692307692
24,25,-103053774#2,2.0,0.0
28,29,-103053774#4,3.3333333333333335,0.33333333333333337
38,39,-103396186,5.0,0.0
42,43,-103512667#0,7.714285714285714,2.6813186813186816
44,45,-103512667#2,4.375,0.5535714285714286
50,51,-103671254,4.0,0.0
52,53,-103671264,3.5,0.5
62,63,-103671267#12,2.5,0.5
82,83,-103671270,5.0,0.0
92,93,-103687101,4.333333333333333,9.333333333333332
94,95,-103718186,33.370370370370374,766.0113960113961
98,99,-1040258009,8.477777777777778,0.993882646691635
104,105,-1042557946,2.0,0.10869565217391297
106,107,-1042557947,1.118279569892473,0.10542309490416084
108,109,-10425610#1,67.09375,10313.70535714285
110,111,-10425611#0,12.95360824742268,54.74913199081243
112,113,-10425611#1,6.597938144329897,0.6043480583302179
114,115,-10427692#1,28.08823529411765,316.8707664884135
116,117,-10427692#2,1.8,0.4413793103448275
118,119,-10427692#3,3.5357142857142856,0.4801587301587302
120,121,-10427692#4,4.769230769230769,0.584615384615385
122,123,-10427692#5,5.884615384615385,2.2661538461538457
124,125,-10427692#6,2.923076923076923,0.3138461538461539
126,127,-10427692#7,6.346153846153846,0.8753846153846156
132,133,-105141980#1,2.0,0.0
146,147,-10597452#1,13.0,0.0
148,149,-10597454#1,41.5,112.5
150,151,-10597454#2,5.0,0.0
152,153,-10597455#0,0.5,0.5
154,155,-10597455#1,6.5,0.5
156,157,-106083637,4.0,0.0
160,161,-107431496#0,5.211538461538462,2.0916289592760187
162,163,-107431496#1,15.975,1.7685897435897442
176,177,-108239938,9.0,2.0
178,179,-108240279#0,8.0,0.0
180,181,-108240279#1,16.666666666666668,0.33333333333333304
182,183,-108240279#2,17.04,64.12333333333333
186,187,-1082935356#1,16.0,0.0
190,191,-108310250,1.1666666666666667,0.16666666666666669
196,197,-108310253,3.5,0.5
200,201,-10941814,7.904761904761905,0.5904761904761904
202,203,-10941825,10.0,0.0
206,207,-11014139#1,12.290322580645162,50.946236559139784
224,225,-112979077,5.0,0.0
226,227,-112979081,19.0,0.0
228,229,-112979094#0,7.0,0.0
230,231,-112979094#1,1.6666666666666667,1.3333333333333335
232,233,-112979110,6.909090909090909,0.6909090909090908
234,235,-113796178#0,3.0,0.0
236,237,-113796178#1,2.0,0.0
238,239,-113796181#1,4.0,0.0
240,241,-113796181#2,3.0,0.0
242,243,-113796181#3,3.0,0.0
244,245,-113796181#4,6.0,0.0
250,251,-113796184,6.0,0.0
