from_node,to_node,edge_id,edge_tt,edge_var
0,1,--153692837#1,11.0,2.6766666666666663
2,3,-101238042,6.0,2.090909090909091
4,5,-101731827#0,4.0,1.4545454545454546
6,7,-101731827#1,3.0,1.6727272727272726
8,9,-101731827#2,6.0,4.142857142857142
10,11,-101731858,11.0,1.25
12,13,-102461801,29.0,9.211111111111112
14,15,-102818928#0,5.0,9.737921169739359
16,17,-102818928#1,14.0,3640.790146066914
18,19,-103053747,10.8,11.5
20,21,-103053774#0,4.0,0.6288798920377868
22,23,-103053774#1,4.0,0.9199134199134198
24,25,-103053774#2,3.0,1.2933333333333334
26,27,-103053774#3,5.8999999999999995,24.5
28,29,-103053774#4,4.0,1.1555555555555554
30,31,-103053774#5,2.0,0.14285714285714285
34,35,-103053774#7,3.8,1.3333333333333335
36,37,-103053803,10.1,0.9166666666666665
38,39,-103396186,6.0,2.3999999999999995
40,41,-103512657,11.1,1.5833333333333328
42,43,-103512667#0,9.0,2.6122429459588714
44,45,-103512667#2,4.0,0.9485592820028338
46,47,-103512672,34.0,211.70000000000002
48,49,-103671248,4.0,0.3611111111111111
50,51,-103671254,6.0,0.7666666666666667
52,53,-103671264,4.0,0.141025641025641
54,55,-103671267#0,20.4,33.15151515151515
56,57,-103671267#1,4.0,0.3333333333333333
58,59,-103671267#10,2.0,0.0
60,61,-103671267#11,2.0,0.6666666666666666
62,63,-103671267#12,3.0,0.2666666666666666
64,65,-103671267#13,2.0,0.6111111111111112
66,67,-103671267#14,23.0,5.000000000000001
68,69,-103671267#2,2.0,0.38636363636363646
74,75,-103671267#5,3.8,1.0
76,77,-103671267#6,2.8,0.3
78,79,-103671267#7,3.0,0.4444444444444445
80,81,-103671267#9,3.0,0.125
82,83,-103671270,4.8999999999999995,0.26785714285714296
86,87,-103678458#0,2.0,0.21428571428571425
88,89,-103678458#1,3.0,0.2573529411764705
90,91,-103686129#1,79.2,46.699999999999996
92,93,-103687101,6.0,6.702448979591838
94,95,-103718186,58.0,651.915915166266
96,97,-104010328,2.0,0.0
98,99,-1040258009,9.0,0.902266796617097
