from_node,to_node,edge_id,edge_tt,edge_var
4,5,-101731827#0,0.30910000000000004,0.3333333333333333
6,7,-101731827#1,0.5951000000000001,0.9166666666666666
14,15,-102818928#0,4.0381,0.4275362318840581
16,17,-102818928#1,8.002500000000001,1.0416666666666674
20,21,-103053774#0,0.7315000000000002,0.33333333333333337
22,23,-103053774#1,0.05500000000000001,1.3333333333333333
24,25,-103053774#2,0.6347,0.0
40,41,-103512657,8.295100000000001,2.5666666666666673
42,43,-103512667#0,5.6771,2.7142857142857126
44,45,-103512667#2,2.4563,0.41666666666666685
52,53,-103671264,2.5806000000000004,0.20000000000000004
64,65,-103671267#13,0.6446000000000001,0.0
66,67,-103671267#14,18.6582,2.0
70,71,-103671267#3,0.8052,0.0
72,73,-103671267#4,0.38830000000000003,0.5
74,75,-103671267#5,0.5973,0.0
76,77,-103671267#6,0.7183,0.0
80,81,-103671267#9,1.0329,0.0
82,83,-103671270,3.8555,0.7999999999999999
84,85,-103678452,0.0396,0.0
90,91,-103686129#1,70.37580000000001,112.91666666666667
92,93,-103687101,0.0792,1.0
94,95,-103718186,1.1011,832.930619796485
96,97,-104010328,0.15400000000000003,0.0
98,99,-1040258009,8.4799,1.0469802134051598
102,103,-104236369,0.4202,0.125
104,105,-1042557946,1.1198000000000001,0.08667024337901766
106,107,-1042557947,0.5654,0.07711066673169782
108,109,-10425610#1,2.4321,128.02855924978692
110,111,-10425611#0,7.956300000000001,17.936728951735073
112,113,-10425611#1,4.9621,0.8642955053747923
114,115,-10427692#1,3.2087,210.6341463414634
116,117,-10427692#2,0.7777000000000001,0.19802555168408825
118,119,-10427692#3,1.5048000000000001,0.24680603948896634
120,121,-10427692#4,1.7006000000000001,0.23461091753774677
122,123,-10427692#5,4.626600000000001,0.6633444075304544
124,125,-10427692#6,2.4926000000000004,0.37320044296788474
126,127,-10427692#7,4.315300000000001,0.575858250276855
134,135,-105143683#0,22.168300000000002,32.0
142,143,-105540411,7.244600000000001,0.0
144,145,-10597452#0,11.455400000000001,0.0
146,147,-10597452#1,9.168500000000002,0.0
148,149,-10597454#1,1.045,24.7
150,151,-10597454#2,2.2858,3.2
152,153,-10597455#0,0.0396,0.0
154,155,-10597455#1,3.5497,4.25
160,161,-107431496#0,4.008400000000001,2.8977560050568907
162,163,-107431496#1,12.392600000000002,2.5261278805582603
166,167,-108237964#0,0.7502000000000001,0.0
168,169,-108237964#1,10.2916,0.0
170,171,-108237964#2,1.1946,0.20000000000000004
172,173,-108239224#0,7.1929,0.0
174,175,-108239224#1,6.7771,8.0
176,177,-108239938,9.458900000000002,2.489010989010988
178,179,-108240279#0,2.0493,15.366666666666665
180,181,-108240279#1,7.5493000000000015,3.186813186813187
182,183,-108240279#2,7.5933,25.5978959672706
184,185,-1082935356#0,20.1003,0.0
186,187,-1082935356#1,14.193300000000002,2.0
190,191,-108310250,0.3531,0.09999999999999999
192,193,-108310251,1.0406,0.2857142857142857
194,195,-108310252,5.106200000000001,0.24999999999999994
196,197,-108310253,1.3178,0.5274725274725274
200,201,-10941814,7.9046,0.8735177865612648
202,203,-10941825,10.256400000000001,1.6999999999999997
204,205,-109483355,6.033500000000001,0.0
206,207,-11014139#1,4.455,65.28492063492064
208,209,-110212545,28.9993,4.5
210,211,-110750652,34.6148,0.0
232,233,-112979110,4.0821000000000005,0.5
234,235,-113796178#0,0.1441,0.5
236,237,-113796178#1,2.9810000000000003,0.0
238,239,-113796181#1,0.10890000000000001,0.6045751633986925
240,241,-113796181#2,0.027500000000000004,1.3
242,243,-113796181#3,0.44660000000000005,0.0
252,253,-113796194#0,13.625700000000002,0.0
254,255,-113796195,2.3111,0.0
256,257,-113796197,4.2339,0.0
260,261,-114198606#1,2.2187,178.79064039408868
264,265,-115082348,0.49940000000000007,409.030303030303
266,267,-115082374#0,1.6742000000000001,4.333333333333332
268,269,-115881035#0,9.895600000000002,2.0
296,297,-115881043#0,9.812000000000001,0.0
300,301,-115881043#11,13.596,0.0
302,303,-115881043#2,2.53,0.0
304,305,-115881043#4,2.6653000000000002,0.0
306,307,-115881043#5,4.863100000000001,0.0
308,309,-115881043#7,0.5643,0.0
310,311,-115881043#8,1.2133,0.0
312,313,-115881043#9,6.0852,2.0
318,319,-115881048#0,2.5333,0.0
320,321,-115881048#1,6.659400000000001,0.0
328,329,-115881050,14.9534,2.3333333333333326
332,333,-116765451#1,10.6051,1.6376259523224403
334,335,-116765451#2,0.3179,0.24281150159744413
336,337,-116765457#1,0.1617,1.309488877306104
338,339,-117070809,53.109100000000005,101.66666666666667
344,345,-118004624#1,32.5094,0.5
346,347,-118004640#1,4.697,0.5
348,349,-118004640#1.47,1.1649,0.5
350,351,-118004640#2,0.0176,0.5
352,353,-118004640#4,0.33,0.5
354,355,-118004640#5,1.2716,0.0
360,361,-118604348#0,3.311,0.5157894736842105
362,363,-118604348#1,1.7325000000000002,0.20000000000000004
364,365,-118604350,2.6730000000000005,0.0
366,367,-118604351#0,1.0208000000000002,0.0
368,369,-118604351#1,6.290900000000001,1.7
370,371,-118604351#2,11.419100000000002,2.333333333333334
372,373,-118604351#3,0.5060000000000001,0.33333333333333337
374,375,-118604351#4,17.466900000000003,6.25
376,377,-118604352,2.5168,0.0
380,381,-118604354,2.5817,0.0
386,387,-118604357,2.5663000000000005,0.0
388,389,-118604358,2.4948,0.0
390,391,-118604359,2.4574000000000003,0.0
394,395,-118604365,3.1394,0.0
398,399,-118604367,2.4035,0.0
400,401,-118607467,17.3547,10.299999999999999
402,403,-118607469#0,13.5036,2.4710526315789485
404,405,-118607469#1,22.2607,7.1684210526315795
406,407,-118607469#2,32.990100000000005,14.735294117647049
408,409,-118607469#3,14.4144,4.058823529411767
410,411,-118607469#4,9.2125,0.0
412,413,-118607471,4.6035,0.0
418,419,-118607475#2,24.918300000000002,0.0
420,421,-118607478,4.0557,2.0
426,427,-118607484,3.8126000000000007,0.0
428,429,-118607485,17.5527,0.0
430,431,-118607487#0,0.1573,0.5681818181818182
432,433,-118607487#1,9.8373,1.259259259259259
434,435,-118607487#10,0.7051000000000001,0.26190476190476186
436,437,-118607487#11,0.8041,0.39826839826839827
438,439,-118607487#12,0.5005000000000001,0.2526315789473685
440,441,-118607487#13,0.8360000000000001,0.26315789473684204
442,443,-118607487#14,0.7139000000000001,0.26315789473684204
444,445,-118607487#15,0.7370000000000001,0.1342105263157894
446,447,-118607487#2,0.6039000000000001,0.23538461538461541
448,449,-118607487#3,0.539,0.039999999999999994
450,451,-118607487#4,0.47080000000000005,0.32333333333333336
452,453,-118607487#5,0.7040000000000001,0.23188405797101444
454,455,-118607487#6,0.6633,0.33152173913043465
456,457,-118607487#7,0.5896000000000001,0.25691699604743085
458,459,-118607487#8,0.6952,0.2619047619047619
460,461,-118607487#9,0.4499,0.12337662337662338
462,463,-118607492,21.0243,0.0
464,465,-118607497#0,0.0396,0.9523809523809524
468,469,-118607504#5,22.844800000000003,0.0
470,471,-118607504#6,22.1111,0.0
484,485,-118619465#1,4.8235,0.5
494,495,-11940927#0,2.6752000000000002,1.9
496,497,-11940927#1,2.3936,0.3
498,499,-11940927#2,6.254600000000001,0.6999999999999997
500,501,-11940927#3,1.0241000000000002,1.7999999999999998
502,503,-11940927#4,3.0129,0.3333333333333335
506,507,-119621356#0,215.27330000000003,550.4057971014488
508,509,-119621360#0,0.0396,1.6
512,513,-120033060#0,19.940800000000003,0.0
514,515,-120033060#1,29.854000000000003,0.5
516,517,-120033065,9.3401,1.3000000000000003
518,519,-120033067,13.5388,0.5
520,521,-120033068#0,19.0344,2.5714285714285716
522,523,-120033068#1,2.2649000000000004,0.2857142857142857
524,525,-120033074#0,29.3084,0.0
526,527,-120033074#1,3.7136,0.0
528,529,-120033077,19.976000000000003,0.0
530,531,-120033091#0,19.899,4.5
534,535,-120033097,0.9988000000000001,0.41071428571428564
536,537,-120033098#0,0.0396,2.3333333333333335
538,539,-120033098#3,3.9391000000000003,0.3333333333333333
540,541,-120033098#4,23.149500000000003,2.0
542,543,-120033098#5,12.201200000000002,3.7666666666666666
544,545,-120033098#6,0.33,0.05555555555555555
546,547,-120033098#7,0.0396,0.40952380952380946
548,549,-120033100#0,29.025700000000004,12.142857142857146
550,551,-120033100#1,0.0396,0.14285714285714288
552,553,-120033103,18.013600000000004,2.333333333333335
554,555,-120033104#0,4.3681,2.2
556,557,-120033104#1,0.7612,0.24999999999999997
558,559,-120125554,7.145600000000001,0.0
560,561,-120365432,10.440100000000001,3.3333333333333335
566,567,-120416766#0,5.2976,0.20000000000000007
568,569,-120416766#1,14.680600000000002,2.895833333333333
570,571,-120416786,18.9805,4.606451612903228
572,573,-120416814#0,18.2611,3.333333333333334
576,577,-121110648#0,11.750200000000001,12.0
578,579,-121110648#1,9.395100000000001,12.333333333333332
580,581,-121460647,0.0396,0.0
584,585,-121460649#1,15.276800000000001,0.0
586,587,-121549474,2.9953000000000003,0.3333333333333335
588,589,-124194339#0,7.522900000000001,1.5833333333333337
590,591,-124194339#1,2.5432,0.33333333333333326
592,593,-125002584,7.806700000000001,1.031583419884808
594,595,-125002604#0,1.1110000000000002,0.33986928104575165
596,597,-125002604#1,3.4595000000000002,0.25163398692810457
600,601,-125014858#0,10.7987,4.5
