,from_node,to_node,edge_tt
19087,14,15,7.83
19088,16,17,16.375
19089,98,99,7.304
19090,102,103,0.516
19091,104,105,1.17
19092,106,107,0.583
19093,108,109,5.193
19094,160,161,6.621
19095,162,163,15.116
19096,164,165,5.032
19097,176,177,8.205
19098,190,191,0.533
19099,192,193,1.104
19100,194,195,4.713
19101,196,197,1.345
19102,200,201,9.038
19103,202,203,4.899
19104,332,333,11.695
19105,334,335,0.272
19106,336,337,0.178
19107,494,495,2.753
19108,496,497,2.391
19109,498,499,6.168
19110,500,501,1.035
19111,502,503,3.002
19112,504,505,29.055
19113,592,593,8.28
19114,594,595,1.569
19115,596,597,3.796
19116,624,625,31.088
19117,626,627,0.543
19118,628,629,8.16
19119,630,631,0.781
19120,632,633,0.254
19121,666,667,5.721
19122,738,739,8.151
19123,740,741,1.614
19124,742,743,3.086
19125,748,749,15.984
19126,750,751,6.719
19127,868,869,0.685
19128,870,871,6.918
19129,872,873,1.898
19130,874,875,0.792
19131,876,877,5.994
19132,880,881,4.039
19133,1048,1049,1.168
19134,1050,1051,1.239
19135,1052,1053,2.946
19136,1054,1055,3.819
19137,1056,1057,2.908
19138,1216,1217,4.884
19139,1218,1219,3.071
19140,1220,1221,3.059
19141,1222,1223,5.648
19142,1224,1225,3.547
19143,1238,1239,30.851
19144,1428,1429,16.531
19145,1430,1431,27.888
19146,1432,1433,6.4
19147,1434,1435,6.652
19148,1436,1437,4.907
19149,1438,1439,4.477
19150,1440,1441,4.033
19151,1442,1443,0.319
19152,1444,1445,1.325
19153,1500,1501,12.123
19154,1502,1503,2.73
19155,1598,1599,0.251
19156,1600,1601,4.125
19157,1602,1603,10.113
19158,1604,1605,0.971
19159,1606,1607,13.062
19160,1608,1609,14.001
19161,1610,1611,9.056
19162,1616,1617,6.066
19163,1620,1621,1.78
19164,1690,1691,0.844
19165,1694,1695,3.469
19166,1938,1939,8.502
19167,1940,1941,12.15
19168,1944,1945,2.837
19169,1946,1947,2.037
19170,2012,2013,11.896
19171,2014,2015,0.592
19172,2024,2025,3.108
19173,2068,2069,3.982
19174,2070,2071,3.661
19175,2072,2073,2.337
19176,2074,2075,3.906
19177,2076,2077,1.821
19178,2078,2079,4.681
19179,2150,2151,33.241
19180,2152,2153,0.085
19181,2154,2155,0.206
19182,2156,2157,0.814
19183,2158,2159,1.868
19184,2160,2161,0.11
19185,2162,2163,3.17
19186,2164,2165,1.992
19187,2166,2167,0.944
19188,2168,2169,2.125
19189,2170,2171,4.599
19190,2172,2173,1.473
19191,2174,2175,1.521
19192,2176,2177,1.03
19193,2190,2191,3.903
19194,2192,2193,1.44
19195,2194,2195,1.129
19196,2196,2197,4.493
19197,2202,2203,22.328
19198,2324,2325,0.011
19199,2350,2351,13.733
19200,2358,2359,25.633
19201,2392,2393,6.927
19202,2394,2395,2.167
19203,2396,2397,14.987
19204,2466,2467,15.303
19205,2556,2557,0.495
19206,2558,2559,2.718
19207,2560,2561,5.667
19208,2626,2627,7.594
19209,2628,2629,15.949
19210,2664,2665,4.469
19211,2666,2667,9.309
19212,2668,2669,1.105
19213,2670,2671,0.892
19214,2832,2833,1.714
19215,2834,2835,0.015
19216,2836,2837,2.845
19217,2838,2839,0.405
19218,2840,2841,7.939
19219,2842,2843,4.173
19220,2844,2845,13.001
19221,2846,2847,0.534
19222,2848,2849,18.754
19223,2850,2851,6.935
19224,2852,2853,9.201
19225,2854,2855,7.354
19226,2856,2857,1.806
19227,2858,2859,6.824
19228,2916,2917,0.874
19229,2918,2919,0.221
19230,2920,2921,3.312
19231,2922,2923,0.023
19232,2958,2959,9.117
19233,2960,2961,7.088
19234,2962,2963,1.638
19235,3354,3355,1.464
19236,3366,3367,8.651
19237,3368,3369,18.496
19238,3484,3485,5.121
19239,3486,3487,1.322
