,from_node,to_node,edge_tt,edge_std,edge_cfv
0,0,1,4.0,0.0,4.0
1,2,3,4.0,0.0,4.0
2,8,9,4.0,0.0,4.0
3,12,13,25.0,5.904,25.0
4,14,15,5.101,5.991,5.101
5,16,17,8.37,0.936,8.37
6,18,19,9.75,1.708,9.75
7,20,21,1.15,0.671,1.15
8,26,27,4.0,0.0,4.0
9,34,35,2.333,0.577,2.333
10,36,37,8.0,1.225,8.0
11,38,39,1.455,0.522,1.455
12,40,41,51.0,83.315,51.0
13,42,43,5.813,0.754,5.813
14,44,45,3.147,0.85,3.147
15,50,51,5.0,1.0,5.0
16,52,53,2.611,0.502,2.611
17,54,55,19.267,2.549,19.267
18,56,57,2.5,0.527,2.5
19,66,67,14.8,8.136,14.8
20,80,81,1.143,0.378,1.143
21,82,83,3.611,0.608,3.611
22,90,91,74.857,26.441,74.857
23,94,95,14.909,24.455,14.909
24,98,99,8.562,1.121,8.562
25,100,101,8.25,0.5,8.25
26,104,105,1.097,0.296,1.097
27,108,109,39.743,24.966,39.743
28,110,111,10.721,5.313,10.721
29,112,113,4.935,0.66,4.935
30,114,115,26.638,26.499,26.638
31,116,117,1.31,2.073,1.31
32,118,119,1.955,3.084,1.955
33,120,121,3.128,0.887,3.128
34,122,123,6.901,2.902,6.901
35,124,125,2.735,0.611,2.735
36,126,127,4.63,0.651,4.63
37,128,129,14.25,1.258,14.25
38,136,137,22.333,14.154,22.333
39,142,143,7.333,0.577,7.333
40,144,145,12.286,1.59,12.286
41,146,147,9.062,1.063,9.062
42,148,149,11.5,11.902,11.5
43,150,151,3.167,0.753,3.167
44,154,155,3.667,0.516,3.667
45,160,161,4.57,0.9,4.57
46,162,163,13.749,1.035,13.749
47,172,173,8.333,0.577,8.333
48,176,177,9.316,0.873,9.316
49,180,181,8.625,1.302,8.625
50,182,183,8.717,1.045,8.717
51,184,185,20.0,0.0,20.0
52,186,187,16.0,1.414,16.0
53,194,195,5.407,0.636,5.407
54,196,197,1.421,0.5,1.421
55,198,199,13.0,0.0,13.0
56,200,201,7.537,1.128,7.537
57,202,203,10.231,1.691,10.231
58,204,205,6.286,0.914,6.286
59,206,207,28.479,20.647,28.479
60,208,209,30.833,2.639,30.833
61,210,211,41.167,5.289,41.167
62,224,225,5.357,1.447,5.357
63,226,227,18.5,1.871,18.5
64,228,229,4.667,0.724,4.667
65,232,233,5.0,0.577,5.0
66,234,235,1.5,1.0,1.5
67,236,237,3.0,0.816,3.0
68,238,239,4.429,2.936,4.429
69,240,241,2.0,0.0,2.0
70,242,243,1.2,0.632,1.2
71,244,245,8.0,2.646,8.0
72,252,253,16.333,2.309,16.333
73,260,261,20.967,13.218,20.967
74,264,265,16.296,18.778,16.296
75,266,267,1.5,0.577,1.5
76,272,273,12.0,1.414,12.0
77,274,275,11.0,0.0,11.0
78,276,277,18.0,0.0,18.0
79,280,281,9.0,1.414,9.0
80,286,287,10.167,1.169,10.167
81,288,289,2.5,0.707,2.5
82,290,291,14.0,2.828,14.0
83,292,293,3.5,0.707,3.5
84,294,295,9.0,1.414,9.0
85,316,317,9.0,0.0,9.0
86,322,323,14.0,0.0,14.0
87,326,327,17.0,0.0,17.0
88,332,333,12.967,4.067,12.967
89,336,337,1.022,0.211,1.022
90,338,339,54.0,0.0,54.0
91,344,345,39.667,4.041,39.667
92,346,347,4.667,0.577,4.667
93,348,349,2.333,1.528,2.333
94,354,355,1.5,0.707,1.5
95,360,361,3.273,0.55,3.273
96,362,363,1.545,0.51,1.545
97,364,365,3.0,0.0,3.0
98,366,367,2.0,0.0,2.0
99,368,369,9.0,0.0,9.0
100,370,371,13.0,4.243,13.0
101,374,375,24.0,0.0,24.0
102,376,377,3.0,0.0,3.0
103,378,379,3.0,0.0,3.0
104,382,383,3.0,0.0,3.0
105,384,385,2.0,0.0,2.0
106,386,387,9.333,11.846,9.333
107,388,389,3.5,0.707,3.5
108,390,391,3.0,0.0,3.0
109,392,393,2.0,0.0,2.0
110,394,395,3.2,0.447,3.2
111,396,397,3.0,0.0,3.0
112,398,399,2.0,0.0,2.0
113,402,403,13.091,1.477,13.091
114,404,405,21.864,2.713,21.864
115,406,407,31.571,4.643,31.571
116,408,409,14.75,1.773,14.75
117,410,411,9.5,0.577,9.5
118,420,421,5.0,0.0,5.0
119,422,423,3.0,0.0,3.0
120,426,427,4.5,0.707,4.5
121,428,429,17.0,1.0,17.0
122,432,433,9.581,1.2,9.581
123,436,437,1.036,0.189,1.036
124,440,441,1.074,0.267,1.074
125,442,443,1.174,0.388,1.174
126,446,447,1.05,0.224,1.05
127,452,453,1.033,0.183,1.033
128,462,463,22.0,0.0,22.0
129,466,467,93.0,0.0,93.0
130,470,471,24.0,0.0,24.0
131,486,487,6.5,0.707,6.5
132,494,495,3.879,1.023,3.879
133,496,497,2.296,0.465,2.296
134,498,499,6.148,1.027,6.148
135,500,501,1.407,0.797,1.407
136,502,503,5.136,0.351,5.136
137,506,507,197.043,64.893,197.043
138,512,513,19.667,0.577,19.667
139,514,515,29.333,1.155,29.333
140,516,517,9.571,0.976,9.571
141,518,519,14.143,1.215,14.143
142,520,521,22.0,0.0,22.0
143,522,523,2.5,0.548,2.5
144,528,529,21.5,3.317,21.5
145,530,531,20.0,0.0,20.0
146,534,535,1.2,0.447,1.2
147,538,539,4.5,0.707,4.5
148,542,543,12.2,1.304,12.2
