,from_node,to_node,edge_tt,edge_std
0,0,1,4.242,0.663
1,2,3,3.5,0.837
2,10,11,7.75,0.957
3,12,13,24.0,2.828
4,14,15,13.885,24.474
5,16,17,19.955,28.685
6,18,19,8.0,0.632
7,20,21,2.231,1.799
8,22,23,2.167,2.401
9,28,29,1.5,0.707
10,34,35,1.25,0.5
11,36,37,8.5,1.195
12,38,39,1.6,0.894
13,40,41,26.0,22.627
14,42,43,28.202,79.089
15,44,45,15.421,56.637
16,46,47,31.5,2.121
17,50,51,4.333,0.577
18,52,53,513.19,261.32
19,54,55,18.5,2.121
20,56,57,2.0,0.0
21,78,79,1.25,0.5
22,82,83,813.64,408.012
23,90,91,86.667,16.258
24,94,95,26.686,63.229
25,98,99,9.568,6.192
26,100,101,12.0,5.129
27,104,105,1.129,0.336
28,108,109,62.827,35.674
29,110,111,46.366,89.909
30,112,113,11.799,33.845
31,114,115,83.344,98.043
32,116,117,8.774,26.559
33,118,119,16.2,41.064
34,120,121,21.9,46.008
35,122,123,49.935,73.066
36,124,125,25.767,49.458
37,126,127,33.905,64.524
38,130,131,42.333,6.11
39,134,135,23.0,0.0
40,136,137,15.545,15.227
41,138,139,9.636,0.505
42,140,141,6.25,0.5
43,142,143,9.0,3.317
44,144,145,11.2,1.095
45,146,147,8.0,0.707
46,148,149,20.167,24.848
47,150,151,2.905,0.539
48,154,155,3.5,0.516
49,156,157,6.0,0.0
50,160,161,4.693,0.89
51,162,163,13.737,1.357
52,170,171,1.667,0.577
53,172,173,7.0,0.0
54,176,177,9.48,1.129
55,180,181,8.154,1.281
56,182,183,15.483,24.699
57,186,187,14.0,0.0
58,192,193,1.143,0.355
59,194,195,5.091,0.843
60,196,197,1.34,0.479
61,198,199,12.5,1.378
62,200,201,7.754,0.992
63,202,203,10.405,1.708
64,204,205,7.0,1.0
65,206,207,35.757,32.507
66,208,209,30.619,3.427
67,210,211,42.4,4.722
68,214,215,26.0,0.0
69,216,217,5.0,0.0
70,218,219,1.667,0.577
71,224,225,5.517,0.785
72,226,227,19.333,2.082
73,228,229,4.294,0.836
74,230,231,1.412,0.507
75,232,233,5.414,1.268
76,234,235,4.5,0.707
77,236,237,3.286,0.488
78,238,239,21.0,24.042
79,240,241,29.0,0.0
80,242,243,1.2,0.447
81,244,245,6.0,0.0
82,246,247,9.0,0.0
