,from_node,to_node,veh_spec_mean,veh_spec_std,distance,edge_tt,edge_std
0,0,1,10.742417974914376,1.0215234908292812,43.86,4.12,0.388
1,2,3,7.22881294693478,1.2557952334259248,25.49,3.633,0.613
2,4,5,2.8005084215931464,1.801328756054119,1.56,0.788,0.358
3,6,7,2.9550354099010367,2.3561658277364383,3.01,1.666,0.812
4,10,11,7.635870352328504,0.5093628113385461,60.57,7.968,0.529
5,12,13,5.313195561615823,0.6871211440934509,126.31,24.17,3.074
6,14,15,9.0856582961319,4.2857952004028474,50.99,6.861,2.647
7,16,17,9.724232046882763,3.972550321207814,101.05,12.126,4.245
8,18,19,5.212756742536295,0.41031197870849434,41.6,8.03,0.628
9,20,21,3.3691200290726058,1.734288057160531,3.7,1.389,0.565
10,22,23,1.3159903088636598,1.998467737412151,0.28,0.703,0.323
11,24,25,4.378914798997718,0.8675944247577898,3.21,0.762,0.145
12,28,29,5.6614938244793365,0.038799784113122536,6.06,1.07,0.007
13,32,33,3.1918671552790334,0.0,0.2,0.063,0.0
14,34,35,4.963649362559389,0.8626959137443418,8.85,1.837,0.31
15,36,37,4.8322091139683705,0.4936569570244552,41.75,8.73,0.883
16,38,39,5.724051003783949,1.7483320169708534,9.08,1.734,0.485
17,40,41,2.6603941428701106,2.3021476678590305,41.93,27.563,13.638
18,42,43,6.86897920351687,2.2946511677597363,42.99,6.957,2.091
19,44,45,5.905843725383053,1.9337505179651364,18.6,3.487,1.031
20,46,47,5.141516759096321,0.402692019131857,160.59,31.426,2.446
21,50,51,4.903106985888087,0.683887213623439,23.07,4.797,0.656
22,52,53,0.06902911500766151,0.04894655732244246,32.59,709.493,334.766
23,54,55,5.0379722183708315,0.40155763860944227,94.21,18.819,1.491
24,56,57,5.428969637638902,0.8012059550410412,11.5,2.164,0.313
25,58,59,4.579692675530366,1.329440905362524,2.46,0.582,0.156
26,60,61,4.76212863269852,1.2852259883037456,2.47,0.556,0.14
27,74,75,2.840622166887302,2.4856173253587532,3.02,1.877,0.93
28,78,79,5.622789354851028,0.6166261346304519,6.15,1.107,0.12
