"simulation_index","MOD_demand_subset","fleet_size","network_name","rq_file","demand_name","vehtype","objective_function","evaluation_int_start","evaluation_int_end","random_seed","start_time","end_time","op_module","op_init_veh_distribution","network_type","sim_env","sumo_t_update","sumo_fcd_vehicles","rerouting_sc","hybrid_router","p_ref","reliable_tt_det","f_det","reliable_tt_prob","k_quantile","sim_declined_rq","rtt_corr_add","op_max_wait_time","routing_behavior_scenario","op_const_boarding_time","routing_behavior_scenario2","Simulated?"
"0","","0","sumo_example","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"1","","80","sumo_example","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"2","","80","sumo_example_mean_s_0-4","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"3","","80","sumo_example_p_50_s_0-4","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"4","","80","sumo_example_p_60_s_0-4","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"5","","80","sumo_example_p_70_s_0-4","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"6","","80","sumo_example_p_80_s_0-4","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"7","","80","sumo_example_p_90_s_0-4","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"8","","80","sumo_example_p_95_s_0-4","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"9","","80","sumo_example_p_97_s_0-4","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"10","","80","sumo_example_p_99_s_0-4","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"11","","80","sumo_example_cf_1.1_s_0-4","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"12","","80","sumo_example_cf_1.2_s_0-4","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"13","","80","sumo_example_cf_1.3_s_0-4","sumo_example.csv","sumo_example","FP_pooling_vehtype","total_system_time","0","7200","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
